trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
0,0_0,RUNNING,GenerationStep_0,,,497,3378,4814,0.711793015241622972766322163807,0.010000000000000000208166817117
1,1_0,RUNNING,GenerationStep_0,,,4457,2451,403,0.363409933410584917723440412374,0.000000010000000000000000209226
2,2_0,RUNNING,GenerationStep_0,,,2865,4214,2671,0.968011198084801405272514784883,0.000100000000000000004792173602
3,3_0,RUNNING,GenerationStep_0,,,2186,120,2077,0.073738841632381077473290531543,0.699999999999999955591079014994
4,4_0,RUNNING,GenerationStep_0,,,1662,4913,689,0.185727017547935246977175438587,0.900000000000000022204460492503
5,5_0,RUNNING,GenerationStep_0,,,3288,822,3784,0.772024248445406513496891420800,0.000000999999999999999954748112
6,6_0,RUNNING,GenerationStep_0,,,4353,2517,1828,0.380068417867645613750227084893,0.000000000009999999999999999395
7,7_0,RUNNING,GenerationStep_0,,,695,1588,3739,0.545227323122322582449328365328,0.200000000000000011102230246252
8,8_0,RUNNING,GenerationStep_0,,,1077,4030,1530,0.833761214170604891826599214255,0.000000000100000000000000003643
9,9_0,RUNNING,GenerationStep_0,,,3953,621,3374,0.247464401530101907322745091733,0.100000000000000005551115123126
10,10_0,RUNNING,GenerationStep_0,,,3689,3536,950,0.608240402011200775866939238767,0.500000000000000000000000000000
11,11_0,RUNNING,GenerationStep_0,,,1282,1965,4110,0.443080959528684592552139065447,0.001000000000000000020816681712
12,12_0,RUNNING,GenerationStep_0,,,2411,2993,3036,0.299905298484489324373214458319,0.000010000000000000000818030539
13,13_0,RUNNING,GenerationStep_0,,,2620,1420,2375,0.648289866521954527556204084249,0.800000000000000044408920985006
14,14_0,RUNNING,GenerationStep_0,,,4701,4422,4487,0.012493431944400071320622203075,0.299999999999999988897769753748
15,15_0,RUNNING,GenerationStep_0,,,272,1015,143,0.906764422090724164782216121239,0.000000000000999999999999999980
16,16_0,FAILED,GenerationStep_0,,,139,4613,3242,0.419405395574867723151868403875,0.599999999999999977795539507497
17,17_0,FAILED,GenerationStep_0,,,4891,1206,1387,0.507645403703674724660288575251,0.000010000000000000000818030539
18,18_0,FAILED,GenerationStep_0,,,2752,2959,4281,0.145447738492861383674537023580,0.000000010000000000000000209226
19,19_0,FAILED,GenerationStep_0,,,2220,1385,1130,0.810548469211906152942503922532,0.010000000000000000208166817117
20,20_0,FAILED,GenerationStep_0,,,1473,3658,2204,0.945928811172023431552702277259,0.299999999999999988897769753748
21,21_0,FAILED,GenerationStep_0,,,3558,2087,2855,0.097599129240959883735406776850,0.000000000100000000000000003643
22,22_0,FAILED,GenerationStep_0,,,3763,3753,275,0.734821526370942557093712821370,0.000000099999999999999995474811
23,23_0,FAILED,GenerationStep_0,,,1209,343,4629,0.338603522514924426545235291997,0.800000000000000044408920985006
24,24_0,FAILED,GenerationStep_0,,,809,2786,583,0.034582542570307850393618309681,0.001000000000000000020816681712
25,25_0,FAILED,GenerationStep_0,,,4145,1857,4984,0.882912639040499880316303915606,0.500000000000000000000000000000
26,26_0,FAILED,GenerationStep_0,,,3177,4801,1934,0.276870183542370806861754317652,0.200000000000000011102230246252
27,27_0,FAILED,GenerationStep_0,,,1874,711,2539,0.673087653888389425560490053613,0.000000001000000000000000062282
28,28_0,FAILED,GenerationStep_0,,,1974,4258,3926,0.568894797056913370525421669299,0.000000000009999999999999999395
