trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
0,0_0,COMPLETED,Sobol,SOBOL,0.739999999999999991118215802999,8.000000000000000000000000000000,1805,1049,0.339940486490726445634180663546,38,0.025
1,1_0,COMPLETED,Sobol,SOBOL,0.729999999999999982236431605997,4.000000000000000000000000000000,4327,4143,0.666193685077130837157710629981,25,0.25
2,2_0,COMPLETED,Sobol,SOBOL,0.729999999999999982236431605997,6.000000000000000000000000000000,2644,1491,0.778249274721369177498786484648,2,0.005
3,3_0,COMPLETED,Sobol,SOBOL,0.729999999999999982236431605997,3.000000000000000000000000000000,132,3399,0.231248476630076776894284762420,37,0.25
4,4_0,COMPLETED,Sobol,SOBOL,0.729999999999999982236431605997,4.000000000000000000000000000000,893,2461,0.529093715840950662432362605614,9,0.01
5,5_0,COMPLETED,Sobol,SOBOL,0.729999999999999982236431605997,4.000000000000000000000000000000,3366,3053,0.481096903273835752035125779003,29,0.05
6,6_0,COMPLETED,Sobol,SOBOL,0.739999999999999991118215802999,88.000000000000000000000000000000,4816,81,0.090057989563792947840248359626,46,0.01
7,7_0,COMPLETED,Sobol,SOBOL,0.729999999999999982236431605997,3.000000000000000000000000000000,2333,4486,0.915307191472500614182195022295,17,0.1
8,8_0,COMPLETED,Sobol,SOBOL,0.739999999999999991118215802999,7.000000000000000000000000000000,1939,1672,0.173996782450005410547433370994,14,0.01
9,9_0,COMPLETED,Sobol,SOBOL,0.739999999999999991118215802999,6.000000000000000000000000000000,4428,3519,0.812607054723426647235839936911,50,0.05
10,10_0,COMPLETED,Sobol,SOBOL,0.750000000000000000000000000000,8.000000000000000000000000000000,3603,869,0.740950158357620236593277240900,26,0.25
11,11_0,COMPLETED,Sobol,SOBOL,0.729999999999999982236431605997,3.000000000000000000000000000000,1126,4020,0.256814059242606140820441851247,13,0.025
12,12_0,COMPLETED,Sobol,SOBOL,0.739999999999999991118215802999,5.000000000000000000000000000000,363,583,0.990836506966501495696775236866,34,0.05
13,13_0,COMPLETED,Sobol,SOBOL,0.729999999999999982236431605997,3.000000000000000000000000000000,2881,4932,0.007696779239922762159975544449,5,0.25
14,14_0,COMPLETED,Sobol,SOBOL,0.739999999999999991118215802999,10.000000000000000000000000000000,3939,1957,0.423148508237674858545318556935,22,0.001
15,15_0,COMPLETED,Sobol,SOBOL,0.729999999999999982236431605997,23.000000000000000000000000000000,1413,2610,0.562762409122660733906684527028,41,0.1
16,16_0,COMPLETED,Sobol,SOBOL,0.739999999999999991118215802999,5.000000000000000000000000000000,1344,2142,0.440724125197157257094460192093,43,0.005
17,17_0,COMPLETED,Sobol,SOBOL,0.739999999999999991118215802999,6.000000000000000000000000000000,3852,2738,0.549151879375800455740375127789,21,0.05
18,18_0,COMPLETED,Sobol,SOBOL,0.750000000000000000000000000000,10.000000000000000000000000000000,3125,401,0.879689359374344337361151247023,7,0.025
19,19_0,COMPLETED,Sobol,SOBOL,0.729999999999999982236431605997,3.000000000000000000000000000000,588,4801,0.114863603912293915643161312801,33,0.1
20,20_0,COMPLETED,Sobol,SOBOL,0.750000000000000000000000000000,8.000000000000000000000000000000,1037,738,0.629810717847198220376014887734,11,0.1
21,21_0,COMPLETED,Sobol,SOBOL,0.729999999999999982236431605997,5.000000000000000000000000000000,3536,3838,0.363988472025841447443639253834,27,0.01
22,22_0,COMPLETED,Sobol,SOBOL,0.739999999999999991118215802999,5.000000000000000000000000000000,4652,1801,0.191579928034916524559605477407,48,0.05
23,23_0,COMPLETED,Sobol,SOBOL,0.719999999999999973354647408996,3.000000000000000000000000000000,2184,3704,0.799004172572866044887973657751,16,0.001
24,24_0,COMPLETED,Sobol,SOBOL,0.750000000000000000000000000000,7.000000000000000000000000000000,2421,267,0.041369166195392610696490720557,19,0.25
25,25_0,COMPLETED,Sobol,SOBOL,0.739999999999999991118215802999,4.000000000000000000000000000000,4884,4612,0.960179395839571903081832715543,45,0.1
26,26_0,COMPLETED,Sobol,SOBOL,0.739999999999999991118215802999,5.000000000000000000000000000000,3142,2272,0.608979062406346249858302144276,31,0.005
