trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
0,0_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,4115,2417,734,137,1
1,1_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,2371,4268,69,114,9
2,2_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,996,803,784,223,7
3,3_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,2989,2660,386,29,4
4,4_0,COMPLETED,SOBOL,0.920000000000000039968028886506,9.000000000000000000000000000000,3469,283,246,37,5
5,5_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,516,3424,581,216,8
6,6_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,1598,1814,305,75,10
7,7_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,4888,4960,904,176,3
8,8_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,4678,973,325,196,8
9,9_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,1338,2831,977,49,1
10,10_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,310,1943,127,164,3
11,11_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,3207,3794,543,95,6
12,12_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,2749,1331,837,102,7
13,13_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,768,4477,489,157,4
14,14_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,2127,445,645,10,2
15,15_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,3889,3585,64,235,10
16,16_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,3952,564,969,71,4
17,17_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,1908,3710,364,188,6
18,18_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,822,1534,520,41,9
19,19_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,2539,4674,182,204,2
20,20_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,3310,2053,450,228,3
21,21_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,51,3909,845,18,10
22,22_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,1430,1166,9,133,8
23,23_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,4430,3018,669,125,5
24,24_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,4834,1695,124,6,6
25,25_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,1808,4835,711,247,3
26,26_0,COMPLETED,SOBOL,0.920000000000000039968028886506,8.000000000000000000000000000000,453,81,425,106,1
27,27_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,3688,3227,776,145,8
28,28_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,2897,693,604,168,9
29,29_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,1244,2545,191,82,2
30,30_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,8.000000000000000000000000000000,1566,1,676,250,10
31,31_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,10.000000000000000000000000000000,4353,1,1000,250,10
32,32_0,COMPLETED,BOTORCH_MODULAR,0.890000000000000013322676295502,0.000000000000000000000000000000,1,1,556,250,6
33,33_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,3.000000000000000000000000000000,4062,508,527,250,10
34,34_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,0.000000000000000000000000000000,1,1,475,250,10
35,35_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,0.000000000000000000000000000000,1,5000,2,2,10
36,36_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,12.000000000000000000000000000000,4017,373,472,250,1
37,37_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,0.000000000000000000000000000000,1,1932,1000,2,10
38,38_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,0.000000000000000000000000000000,1,1,392,214,4
39,39_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,0.000000000000000000000000000000,1,1,788,250,10
40,40_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,4282,1000,250,1
41,41_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,13.000000000000000000000000000000,4397,1,605,250,10
42,42_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,5000,460,2,10
43,43_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,0.000000000000000000000000000000,1304,1870,1000,250,10
44,44_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,10.000000000000000000000000000000,5000,412,518,250,1
45,45_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,113.000000000000000000000000000000,5000,1,500,250,1
46,46_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,0.000000000000000000000000000000,1,3172,2,2,1
47,47_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,0.000000000000000000000000000000,1,356,403,250,1
48,48_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,115.000000000000000000000000000000,5000,1,350,231,1
49,49_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,144.000000000000000000000000000000,5000,1,437,250,1
50,50_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,19.000000000000000000000000000000,5000,214,1000,250,1
51,51_0,COMPLETED,BOTORCH_MODULAR,0.880000000000000004440892098501,1.000000000000000000000000000000,1,1,628,250,1
52,52_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,2600,2,250,10
53,53_0,FAILED,BOTORCH_MODULAR,,,1,1,458,2,10
54,54_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,11.000000000000000000000000000000,4896,1,728,250,10
55,55_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,1903,1000,2,1
56,56_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,11.000000000000000000000000000000,5000,1,542,205,10
57,57_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,956,1000,250,10
58,58_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,5000,199,2,10
59,59_0,FAILED,BOTORCH_MODULAR,,,5000,1,1000,2,10
60,60_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,8.000000000000000000000000000000,4380,248,941,248,10
61,61_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,1.000000000000000000000000000000,150,222,376,110,6
62,62_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,0.000000000000000000000000000000,1,2928,2,250,10
63,63_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,0.000000000000000000000000000000,623,2357,746,2,10
64,64_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,7.000000000000000000000000000000,1773,228,716,250,10
65,65_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,4590,1000,2,10
66,66_0,FAILED,BOTORCH_MODULAR,,,1,230,1000,2,5
67,67_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,16.000000000000000000000000000000,4334,136,464,223,5
68,68_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,0.000000000000000000000000000000,1,4087,2,2,1
69,69_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,3446,1000,2,1
70,70_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,0.000000000000000000000000000000,1,1458,2,2,1
71,71_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,0.000000000000000000000000000000,1,311,298,232,10
72,72_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,4054,833,250,10
73,73_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,0.000000000000000000000000000000,1,2559,1000,250,10
