trial_index,arm_name,trial_status,generation_node,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
0,0_0,RUNNING,SOBOL,329,4475,72,933,0.817028818130493217353205182008
1,1_0,RUNNING,SOBOL,3635,2286,10,129,0.300622227177023915167808354454
2,2_0,RUNNING,SOBOL,4315,3277,81,688,0.130679350769147273325643254793
3,3_0,RUNNING,SOBOL,2308,1092,39,383,0.736993408400565375160340408911
4,4_0,RUNNING,SOBOL,1498,2692,22,359,0.591225221505388587317497695039
5,5_0,RUNNING,SOBOL,4500,505,61,586,0.043632458750158552296394276482
6,6_0,RUNNING,SOBOL,2512,3967,30,105,0.404356549823656652442593895103
7,7_0,RUNNING,SOBOL,828,1779,89,832,0.979482248634099939010866364697
8,8_0,RUNNING,SOBOL,962,3466,37,514,0.364996233377605672210108878062
9,9_0,RUNNING,SOBOL,3046,654,96,303,0.752783753117546416966376909841
10,10_0,RUNNING,SOBOL,4942,4761,15,759,0.676639651000499720012726356799
11,11_0,RUNNING,SOBOL,1715,1947,54,48,0.191147796088829646787843330458
12,12_0,RUNNING,SOBOL,2135,4331,87,213,0.107875957623124130169145473701
13,13_0,RUNNING,SOBOL,3898,1517,45,971,0.526851806441322012553030162962
14,14_0,RUNNING,SOBOL,3154,3114,66,467,0.919015375960618219330910960707
15,15_0,RUNNING,SOBOL,229,303,4,725,0.464709686344489447673566928643
16,16_0,RUNNING,SOBOL,65,2881,100,67,0.708727848792448655856901496009
17,17_0,RUNNING,SOBOL,3311,67,32,872,0.156991914302110679990676089801
18,18_0,RUNNING,SOBOL,4052,4095,53,314,0.272356667568907140353218210294
19,19_0,RUNNING,SOBOL,1987,1284,17,618,0.843341358426958342953128067165
20,20_0,FAILED,SOBOL,1860,4994,49,642,0.951220466351136550997580343392
21,21_0,FAILED,SOBOL,4805,2182,83,415,0.430672890681773445908930852966
22,22_0,FAILED,SOBOL,2872,3701,2,895,0.015370676467195153874767399316
23,23_0,FAILED,SOBOL,1128,888,68,169,0.617541562363505325272683421645
24,24_0,FAILED,SOBOL,677,3888,8,487,0.225257234621793034357040141913
25,25_0,FAILED,SOBOL,2665,1701,74,698,0.640577216392382964293972236192
26,26_0,FAILED,SOBOL,4661,2614,43,241,0.786893191650509860046724952554
27,27_0,FAILED,SOBOL,1335,426,77,952,0.328933798769488916491354757454
28,28_0,FAILED,SOBOL,2478,3357,59,788,0.498822902202606222044067862953
29,29_0,FAILED,SOBOL,4142,1167,23,30,0.882956718677654905924612194212
30,30_0,RUNNING,SOBOL,3494,4552,94,535,0.560965022299438675901228634757
31,31_0,RUNNING,SOBOL,472,2366,26,277,0.071817300340160733496119860320
32,32_0,RUNNING,SOBOL,566,3126,14,184,0.989985233206301940001026196114
33,33_0,RUNNING,SOBOL,3560,940,56,879,0.376118785714730619051948679044
34,34_0,RUNNING,SOBOL,4078,4431,35,437,0.054144473955035209156161357669
35,35_0,RUNNING,SOBOL,2383,2243,97,633,0.562996510336175592925656019361
36,36_0,RUNNING,SOBOL,1261,4002,64,609,0.732032086998224307272664646007
37,37_0,RUNNING,SOBOL,4576,1812,5,336,0.149352332735434162325205420530
38,38_0,RUNNING,SOBOL,2748,2774,86,856,0.295654730442911406473882607315
39,39_0,RUNNING,SOBOL,752,588,47,82,0.835695579221472195641240432451
40,40_0,RUNNING,SOBOL,1194,4776,79,264,0.444397787684574718802821280406
41,41_0,RUNNING,SOBOL,2966,1961,40,553,0.921850423932075502264638089400
42,42_0,RUNNING,SOBOL,4710,3568,71,10,0.506534661909565309123593124241
43,43_0,RUNNING,SOBOL,1796,757,12,799,0.110705782029777766162226271263
44,44_0,RUNNING,SOBOL,1902,2982,29,963,0.217487710839137426965805843793
45,45_0,FAILED,SOBOL,3978,171,91,221,0.663751564431935503485249228106
46,46_0,FAILED,SOBOL,3386,4267,20,716,0.779133672574535030008746616659
47,47_0,FAILED,SOBOL,148,1454,62,474,0.352118129208683960928993883499
48,48_0,FAILED,SOBOL,302,4189,42,818,0.599058974687010081794369398267
49,49_0,FAILED,SOBOL,3235,1376,78,122,0.020035065164789558206370756466
50,50_0,FAILED,SOBOL,3815,2905,7,563,0.412181250065565107920662057950
51,51_0,FAILED,SOBOL,2063,91,75,368,0.955875824416056230070637411700
52,52_0,FAILED,SOBOL,1623,3648,93,392,0.871754206761717775897579940647
53,53_0,FAILED,SOBOL,4880,833,27,665,0.261541484842076898953422414706
54,54_0,FAILED,SOBOL,3109,4852,58,146,0.185410960275679825848271775612
55,55_0,FAILED,SOBOL,1053,2041,24,919,0.697918841397389799752204453398
56,56_0,FAILED,SOBOL,909,2542,52,737,0.084393248239532120402728310182
57,57_0,FAILED,SOBOL,2584,352,18,448,0.534800251260399872599293757958
58,58_0,FAILED,SOBOL,4429,3765,99,992,0.895537890141829828749564512691
59,59_0,FAILED,SOBOL,1415,1580,33,203,0.472663377035409226767370682865
60,60_0,RUNNING,SOBOL,2246,4665,1,38,0.325801758607849489823848898595
61,61_0,RUNNING,SOBOL,4223,2477,69,780,0.807395425114780684872073379665
62,62_0,RUNNING,SOBOL,3726,3362,48,284,0.637435193831101032380104243202
63,63_0,RUNNING,SOBOL,392,1173,84,526,0.245749463379383081829132606799
64,64_0,RUNNING,SOBOL,432,2742,45,443,0.387801383202895533219844992345
65,65_0,RUNNING,SOBOL,3689,552,87,748,0.993902126062661372962736550107
66,66_0,RUNNING,SOBOL,4262,4034,5,190,0.574708612600341450793450803758
67,67_0,RUNNING,SOBOL,2205,1848,65,995,0.058028054967522620100073282856
68,68_0,RUNNING,SOBOL,1454,4386,94,768,0.145438057238236079227178265683
69,69_0,RUNNING,SOBOL,4388,2200,38,41,0.720350679218769052170046052197
70,70_0,RUNNING,SOBOL,2624,3171,54,521,0.831808904966339413000753211236
71,71_0,RUNNING,SOBOL,872,983,16,295,0.283941914353519675451309467462
72,72_0,RUNNING,SOBOL,1094,4222,60,114,0.933532783478498440210557873797
73,73_0,RUNNING,SOBOL,3071,1411,22,825,0.448314918482676127986508163303
74,74_0,RUNNING,SOBOL,4918,3027,88,367,0.122417646352201703319195758013
75,75_0,RUNNING,SOBOL,1583,214,32,578,0.510418480863794710167269386147
76,76_0,RUNNING,SOBOL,2100,3535,11,664,0.659837526876479341098047370906
77,77_0,RUNNING,SOBOL,3776,721,71,406,0.205806065117940306663513183594
78,78_0,RUNNING,SOBOL,3276,4808,39,910,0.348231692895293210021634422446
79,79_0,RUNNING,SOBOL,263,1997,81,153,0.767420618543401378275348179159
80,80_0,RUNNING,SOBOL,109,4888,23,558,0.031711684366688128178246586231
81,81_0,RUNNING,SOBOL,3423,2074,59,253,0.602970365140587105656777566765
82,82_0,RUNNING,SOBOL,3940,3611,27,812,0.967585755461826901857591565204
83,83_0,RUNNING,SOBOL,1943,801,93,7,0.416063135743141188083171755352
84,84_0,RUNNING,SOBOL,1757,2948,73,234,0.257629380563274001936235890753
85,85_0,RUNNING,SOBOL,4751,136,10,960,0.860074494317173976476453844953
86,86_0,RUNNING,SOBOL,2926,4145,76,479,0.694038145428523378654972475488
87,87_0,RUNNING,SOBOL,1231,1332,44,706,0.173703646589070559436152052513
88,88_0,RUNNING,SOBOL,711,3405,83,888,0.546477108404040290423608894343
89,89_0,RUNNING,SOBOL,2787,1218,50,177,0.088304400751367209676523373219
90,90_0,RUNNING,SOBOL,4539,4621,66,634,0.484373546022921819265150134015
91,91_0,RUNNING,SOBOL,1301,2433,3,423,0.899419537877663932690097681188
92,92_0,RUNNING,SOBOL,2346,3801,33,337,0.803483082894235867144061558065
93,93_0,RUNNING,SOBOL,4118,1612,99,594,0.314122284105047611113548100548
94,94_0,RUNNING,SOBOL,3519,2505,17,91,0.241868529468774795532226562500
95,95_0,RUNNING,SOBOL,604,320,53,849,0.625728118086233742189961049007
96,96_0,RUNNING,SOBOL,512,3932,90,693,0.312301969364285447738893708447
97,97_0,RUNNING,SOBOL,3457,1745,30,498,0.820940928915515510944089783152
98,98_0,RUNNING,SOBOL,4181,2727,62,939,0.748700751829892374722419390309
99,99_0,RUNNING,SOBOL,2437,538,20,244,0.134560076480731372061683259744
100,100_0,RUNNING,SOBOL,1373,3235,41,17,0.039721038553863767528451234057
101,101_0,RUNNING,SOBOL,4620,1046,79,791,0.579548572560772301542897366744
102,102_0,RUNNING,SOBOL,2705,4517,13,272,0.975600333213806125698397408996
103,103_0,RUNNING,SOBOL,640,2332,69,545,0.392646589035168303016831714558
104,104_0,RUNNING,SOBOL,1169,3071,7,863,0.764463257363066084337788197445
105,105_0,RUNNING,SOBOL,2834,257,63,74,0.368908605340868223088079957961
106,106_0,RUNNING,SOBOL,4842,4373,47,617,0.202854901576414697883521398580
107,107_0,RUNNING,SOBOL,1820,1563,85,328,0.680520614653825739459591659397
108,108_0,FAILED,SOBOL,2025,4726,56,414,0.522940624186769120740336802555
109,109_0,FAILED,SOBOL,4012,1914,14,657,0.096199070736765868172568616501
110,110_0,FAILED,SOBOL,3352,3501,96,160,0.460828008865937610583074501847
111,111_0,FAILED,SOBOL,26,687,36,902,0.907305177230387949194323482516
112,112_0,FAILED,SOBOL,189,3734,68,308,0.168673292338848118676608578426
113,113_0,FAILED,SOBOL,3192,923,2,503,0.712642094546928950293818161299
114,114_0,FAILED,SOBOL,3859,4960,84,61,0.855054144773632285314590717462
115,115_0,FAILED,SOBOL,2175,2148,48,756,0.276243312081322078821443710694
116,116_0,FAILED,SOBOL,1677,4141,18,983,0.426756027568131690586028526013
117,117_0,FAILED,SOBOL,4983,1326,51,210,0.939537898605689369979643288389
118,118_0,FAILED,SOBOL,3007,2835,35,730,0.613658011093735744623245409457
119,119_0,FAILED,SOBOL,999,24,98,456,0.003658603945747017881229279368
120,120_0,RUNNING,SOBOL,787,4597,28,137,0.652258832370862351446305638092
121,121_0,RUNNING,SOBOL,2550,2408,91,926,0.229171242434531463594282740814
122,122_0,RUNNING,SOBOL,4463,3311,25,384,0.340646823057904835074793936656
123,123_0,RUNNING,SOBOL,1538,1126,57,673,0.790779598221182822292973924050
124,124_0,RUNNING,SOBOL,2271,2648,78,587,0.879039617622271229890884569613
125,125_0,RUNNING,SOBOL,4355,461,42,345,0.487140572398900961736956105597
126,126_0,RUNNING,SOBOL,3594,3854,74,841,0.067933511128649121113554087970
127,127_0,RUNNING,SOBOL,367,1667,8,98,0.549253187719732527405369637563
128,128_0,RUNNING,SOBOL,377,3590,76,763,0.060832388006150719950149152737
129,129_0,RUNNING,SOBOL,3624,779,44,52,0.573339573891833431673603627132
130,130_0,RUNNING,SOBOL,4365,4787,73,509,0.996210700046271102614525716490
131,131_0,RUNNING,SOBOL,2299,1974,9,298,0.385999178988859048544668439717
132,132_0,RUNNING,SOBOL,1548,4280,27,462,0.287259346451610331207859871938
133,133_0,RUNNING,SOBOL,4492,1466,93,720,0.830954616038128701660525621264
134,134_0,RUNNING,SOBOL,2559,3004,24,215,0.724102957285940651566136239126
135,135_0,RUNNING,SOBOL,817,193,58,973,0.145077846901491280817708684481
136,136_0,RUNNING,SOBOL,990,4449,18,683,0.513002003965899344706258489168
137,137_0,RUNNING,SOBOL,2977,2259,52,378,0.121315102394670248919794630638
138,138_0,RUNNING,SOBOL,4973,3153,33,936,0.450356997715309237406700049178
139,139_0,FAILED,SOBOL,1648,967,99,132,0.931951389200985413907574184122
140,140_0,FAILED,SOBOL,2165,2801,67,108,0.770471555890515413800301303127
141,141_0,FAILED,SOBOL,3831,615,3,835,0.347598213903605957053599695428
142,142_0,FAILED,SOBOL,3182,4018,82,355,0.209337533248588447687410507569
143,143_0,FAILED,SOBOL,159,1830,50,581,0.659743811290711135164599454583
144,144_0,FAILED,SOBOL,17,3783,54,238,0.420112424589693556065128632326
145,145_0,FAILED,SOBOL,3322,1596,16,949,0.960152072506025411335883745778
146,146_0,FAILED,SOBOL,4002,2568,95,493,0.607452819492667939194063819741
147,147_0,FAILED,SOBOL,1996,380,37,704,0.024773760465905070304870605469
148,148_0,FAILED,SOBOL,1810,3389,4,539,0.179187255691736935236946237637
149,149_0,FAILED,SOBOL,4813,1200,65,281,0.688040492935106162697422860219
150,150_0,RUNNING,SOBOL,2825,4681,46,785,0.865064024828374411590914405679
151,151_0,RUNNING,SOBOL,1140,2496,87,27,0.251196882100775842339146493032
152,152_0,RUNNING,SOBOL,649,2927,39,319,0.903689636660739759044247421116
153,153_0,RUNNING,SOBOL,2734,113,80,623,0.476673368316143764022996265339
154,154_0,RUNNING,SOBOL,4630,4200,11,64,0.093053349854424594056467867631
155,155_0,RUNNING,SOBOL,1402,1390,72,869,0.539318374566733815811403474072
156,156_0,RUNNING,SOBOL,2448,4865,89,892,0.631478221939876682711201283382
157,157_0,FAILED,SOBOL,4210,2053,31,166,0.235650067038834093446908468650
158,158_0,FAILED,SOBOL,3466,3669,60,647,0.319332624552771449089050292969
159,159_0,FAILED,SOBOL,542,856,22,420,0.796784089680761087315374879836
160,160_0,FAILED,SOBOL,614,4744,34,13,0.140298781437799335858329641269
161,161_0,FAILED,SOBOL,3548,1930,98,802,0.742470845889300123943144171790
162,162_0,FAILED,SOBOL,4129,3438,19,258,0.826170312138274298696671849029
163,163_0,FAILED,SOBOL,2375,628,51,547,0.305622004054486751112307274525
164,164_0,FAILED,SOBOL,1311,3087,83,712,0.396928086714819050584424076078
165,165_0,FAILED,SOBOL,4567,275,49,470,0.967911599017679646905776280619
166,166_0,FAILED,SOBOL,2796,4314,68,966,0.584278478888794805534701026772
167,167_0,FAILED,SOBOL,741,1500,2,224,0.032543276812881230530827281200
168,168_0,FAILED,SOBOL,1222,3256,74,432,0.686023281402885931612445347128
169,169_0,FAILED,SOBOL,2896,1069,8,628,0.196876262115314615286365551583
170,170_0,FAILED,SOBOL,4741,4462,77,187,0.373886722084134814902967036687
171,171_0,FAILED,SOBOL,1728,2274,43,882,0.758019330261275214866145688575
172,172_0,FAILED,SOBOL,1933,3955,25,859,0.911335408430546500824220856884
