trial_index,arm_name,trial_status,generation_node,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
0,0_0,FAILED,SOBOL,716,0.415262788951396955017258960652,0.134409428685903553635228036001,2553,2506,2797
1,1_0,FAILED,SOBOL,4759,0.729090781308710522701233003318,0.884961440127342902073337427282,1140,232,1914
2,2_0,FAILED,SOBOL,2860,0.176523931948468076891245459592,0.310101833611726773742844898152,4997,2483,497
3,3_0,FAILED,SOBOL,1356,0.989352884437888824287199440732,0.561615775303915154559319944383,1392,4777,4838
4,4_0,FAILED,SOBOL,2281,0.118334110625088209656219362387,0.797350468171760473623521647824,2438,4209,3724
5,5_0,FAILED,SOBOL,3199,0.806412514733150564971708718076,0.050734967697411773035476301175,3831,1816,1571
6,6_0,FAILED,SOBOL,3790,0.349373160775750868367595103336,0.629493067480623724740951274725,33,785,801
7,7_0,FAILED,SOBOL,411,0.538450616834685202860555364168,0.381839498186483994324191826308,3619,3198,3872
8,8_0,FAILED,SOBOL,98,0.240547482494264830421570877661,0.688083814132958604403711433406,4125,491,4519
9,9_0,FAILED,SOBOL,4140,0.928618640532717143365459833149,0.440445469392463540003745947615,2106,2862,188
10,10_0,FAILED,SOBOL,3482,0.477458931118249885194870785199,0.863768605852499593567017655005,3405,4498,2209
11,11_0,FAILED,SOBOL,1977,0.666529148543253513459205805702,0.117107416845858097742549830400,443,2146,3121
12,12_0,FAILED,SOBOL,1652,0.286210126539692299996175961496,0.368433699648827328587685769890,886,1528,4195
13,13_0,FAILED,SOBOL,2571,0.600029910836368807203200503864,0.619993322437629057475305671687,2925,3862,1095
14,14_0,FAILED,SOBOL,4421,0.057242125028744338111064138275,0.200568686680868274452294031107,1567,3467,1263
15,15_0,FAILED,SOBOL,1043,0.870062849938869509180960903905,0.951105465203523681161357217206,4548,1151,3406
16,16_0,FAILED,SOBOL,1230,0.026362984513863922664267391838,0.469125819083303197132295281335,189,4935,1053
17,17_0,FAILED,SOBOL,4570,0.835292912084609318057459859119,0.720556001564487846877682386548,3463,2329,4281
18,18_0,FAILED,SOBOL,2661,0.257386813828721638941487981356,0.084417834313586348482516541480,2281,78,3199
19,19_0,FAILED,SOBOL,1860,0.567315778478980070609338781651,0.834809944257140168488717790751,3988,2665,1514
20,20_0,FAILED,SOBOL,2160,0.448757459450513151999473393516,0.587379886839538789544690189359,4841,3351,87
21,21_0,FAILED,SOBOL,3626,0.633936827486380916063524182391,0.339886210678145284092011024768,1548,626,4585
22,22_0,FAILED,SOBOL,4226,0.210033835366368298869232944526,0.979922878632321969760710089759,2710,1656,2855
23,23_0,FAILED,SOBOL,300,0.894214166322722991964155880851,0.233391129933297636345201908625,983,4363,2440
24,24_0,FAILED,SOBOL,599,0.319461022935807692491039233573,0.913519969223067218599965144676,1724,1992,1827
25,25_0,FAILED,SOBOL,3939,0.504632438512519043705140120437,0.167003452513366928977589509486,4391,4656,3502
26,26_0,FAILED,SOBOL,3289,0.090508242260664700795658177412,0.528804368458688278664681092778,730,3021,3982
27,27_0,FAILED,SOBOL,2489,0.774680613322183519997565781523,0.281265011200681314118554610104,3081,337,725
28,28_0,FAILED,SOBOL,1539,0.148819904627278454256611439632,0.018243348976597191513082663050,3248,993,2111
29,29_0,FAILED,SOBOL,3003,0.957742794327437918511236603081,0.768681147452443869205751525442,600,3620,2556
30,30_0,FAILED,SOBOL,4845,0.385716132415458545779074484017,0.410778724774718273504703347498,4280,4016,4889
