trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,feature_id,threshold,window_size
0,0_0,FAILED,GenerationStep_0,,,3726,4,0.492326081395149217634354954498,4285
1,1_0,FAILED,GenerationStep_0,,,2423,1,0.739869440907612418989458547003,42
2,2_0,FAILED,GenerationStep_0,,,1112,2,0.192304534995928394502939795530,3053
3,3_0,RUNNING,GenerationStep_0,,,4886,0,0.946827089579775904581993017928,1352
4,4_0,RUNNING,GenerationStep_0,,,3939,3,0.572699806174263303937266300636,2372
5,5_0,RUNNING,GenerationStep_0,,,223,0,0.317405675662681463489178668169,3127
6,6_0,RUNNING,GenerationStep_0,,,1553,4,0.865423741621896613906983475317,1218
7,7_0,RUNNING,GenerationStep_0,,,2760,2,0.118743323018774396548913330207,4516
8,8_0,RUNNING,GenerationStep_0,,,2825,3,0.793058844955638053697555278632,3461
9,9_0,RUNNING,GenerationStep_0,,,1609,1,0.034683061802759769520765331663,2038
10,10_0,RUNNING,GenerationStep_0,,,444,4,0.516416269058361687704916676012,4807
11,11_0,RUNNING,GenerationStep_0,,,4150,1,0.280614378096535777018516455428,926
12,12_0,RUNNING,GenerationStep_0,,,4531,3,0.155025810053572049573844537917,376
13,13_0,RUNNING,GenerationStep_0,,,727,1,0.890056125087663518868907885917,3952
14,14_0,RUNNING,GenerationStep_0,,,1912,3,0.408753235472366194258597715816,1643
15,15_0,RUNNING,GenerationStep_0,,,3186,0,0.667991964181885111706549196242,2762
16,16_0,RUNNING,GenerationStep_0,,,3425,3,0.006751383719965815821684174125,1071
17,17_0,RUNNING,GenerationStep_0,,,2141,0,0.761045484488829915292740224686,4682
18,18_0,RUNNING,GenerationStep_0,,,810,3,0.306597740864381185232900861592,2225
19,19_0,RUNNING,GenerationStep_0,,,4605,2,0.554278248695656672317966240371,3294
20,20_0,RUNNING,GenerationStep_0,,,4223,4,0.928215178707614496644850987650,2907
21,21_0,RUNNING,GenerationStep_0,,,528,1,0.181671725319698440515026049979,1518
22,22_0,RUNNING,GenerationStep_0,,,1839,2,0.635681537168100496693057266384,4139
23,23_0,RUNNING,GenerationStep_0,,,3063,1,0.380159012326970691120209266955,208
24,24_0,FAILED,GenerationStep_0,,,2520,4,0.704148055819794560505897607072,1809
25,25_0,FAILED,GenerationStep_0,,,1325,2,0.468117651557549807606051217590,2616
26,26_0,COMPLETED,GenerationStep_0,0.040000000000000000832667268469,1001.000000000000000000000000000000,140,3,0.980600218838080794903078185598,542
27,27_0,FAILED,GenerationStep_0,,,3865,0,0.222361519871279611493264383171,3805
28,28_0,FAILED,GenerationStep_0,,,4813,2,0.347774962792173014669572239654,4974
29,29_0,FAILED,GenerationStep_0,,,1029,0,0.607150716202333518012324020674,779
30,30_0,FAILED,GenerationStep_0,,,2193,4,0.094222603010013700197688990556,3628
31,31_0,FAILED,GenerationStep_0,,,3488,1,0.829024583199992726179061719449,1891
32,32_0,FAILED,GenerationStep_0,,,3572,2,0.508372592704370629412835569383,295
33,33_0,FAILED,GenerationStep_0,,,2268,0,0.256991681823506956661162803357,4189
34,34_0,FAILED,GenerationStep_0,,,956,4,0.801149172762408823267321622552,1411
35,35_0,FAILED,GenerationStep_0,,,4732,1,0.058260980414226649914954947462,2838
36,36_0,FAILED,GenerationStep_0,,,3784,4,0.431957942461594912586519967590,3381
37,37_0,FAILED,GenerationStep_0,,,68,2,0.675495884565636472984806459863,2274
38,38_0,COMPLETED,GenerationStep_1,0.050000000000000002775557561563,3086.000000000000000000000000000000,1,4,0.030197076444898024449869922137,1051
39,39_0,FAILED,GenerationStep_1,,,715,0,0.548799800257904091260741097358,1213
40,40_0,FAILED,GenerationStep_1,,,2645,0,0.998999999999999999111821580300,1
41,41_0,FAILED,GenerationStep_1,,,5000,2,0.976511573379973962794053932157,5000
42,42_0,FAILED,GenerationStep_1,,,5000,0,0.622672349439643446622483224928,4750
43,43_0,COMPLETED,GenerationStep_1,0.029999999999999998889776975375,4155.000000000000000000000000000000,1,0,0.001000000000000000020816681712,5000
44,44_0,COMPLETED,GenerationStep_1,0.040000000000000000832667268469,3230.000000000000000000000000000000,1,2,0.035996790278144938368676264417,4786
45,45_0,FAILED,GenerationStep_1,,,5000,1,0.374433102478523072154104056608,5000
46,46_0,COMPLETED,GenerationStep_1,0.029999999999999998889776975375,2257.000000000000000000000000000000,1,2,0.998999999999999999111821580300,4293
47,47_0,FAILED,GenerationStep_1,,,5000,4,0.001000000000000000020816681712,5000
48,48_0,FAILED,GenerationStep_1,,,498,0,0.998999999999999999111821580300,1
49,49_0,FAILED,GenerationStep_1,,,1708,2,0.117965206935300465085347809691,1
50,50_0,COMPLETED,GenerationStep_1,0.040000000000000000832667268469,1531.000000000000000000000000000000,3306,3,0.998999999999999999111821580300,5000
51,51_0,COMPLETED,GenerationStep_1,0.029999999999999998889776975375,2769.000000000000000000000000000000,1,0,0.998999999999999999111821580300,2136
52,52_0,FAILED,GenerationStep_1,,,1916,4,0.919122692818151398874704227637,4085
53,53_0,FAILED,GenerationStep_1,,,5000,0,0.001000000000000000020816681712,5000
54,54_0,COMPLETED,GenerationStep_1,0.029999999999999998889776975375,2712.000000000000000000000000000000,1,0,0.177526123166055621593883984133,488
55,55_0,FAILED,GenerationStep_1,,,5000,4,0.998999999999999999111821580300,1436
56,56_0,FAILED,GenerationStep_1,,,5000,4,0.713201463578188588066097963747,4830
57,57_0,FAILED,GenerationStep_1,,,2480,4,0.028373793746740930826755189287,5000
58,58_0,FAILED,GenerationStep_1,,,5000,2,0.997484090662035360885795398644,1
59,59_0,FAILED,GenerationStep_1,,,293,4,0.980750610323604776752404177387,5000
60,60_0,COMPLETED,GenerationStep_1,0.050000000000000002775557561563,1981.000000000000000000000000000000,1,4,0.998999999999999999111821580300,1
61,47_0,FAILED,GenerationStep_1,,,5000,4,0.001000000000000000020816681712,5000
62,62_0,FAILED,GenerationStep_1,,,4955,4,0.652418874561555006685864555038,1
63,63_0,FAILED,GenerationStep_1,,,736,4,0.689170483433026559438872027386,404
64,64_0,COMPLETED,GenerationStep_1,0.050000000000000002775557561563,3355.000000000000000000000000000000,1,4,0.001000000000000000020816681712,5000
65,65_0,FAILED,GenerationStep_1,,,5000,4,0.998999999999999999111821580300,1
66,66_0,COMPLETED,GenerationStep_1,0.029999999999999998889776975375,2340.000000000000000000000000000000,1,4,0.942150280389857708307488337596,2617
67,67_0,FAILED,GenerationStep_1,,,4865,4,0.672956125004422367474887778371,4116
68,68_0,COMPLETED,GenerationStep_1,0.050000000000000002775557561563,1967.000000000000000000000000000000,1,4,0.491494674551657739769439103839,1
69,69_0,FAILED,GenerationStep_1,,,1440,4,0.738411130983907426639234472532,5000
70,70_0,FAILED,GenerationStep_1,,,5000,4,0.001000000000000000020816681712,1
71,71_0,FAILED,GenerationStep_1,,,5000,4,0.429528574711304678146461810684,3146
72,72_0,FAILED,GenerationStep_1,,,2345,4,0.998999999999999999111821580300,2513
73,73_0,COMPLETED,GenerationStep_1,0.050000000000000002775557561563,3306.000000000000000000000000000000,1,4,0.299992388859383618537890470179,5000
74,74_0,FAILED,GenerationStep_1,,,5000,3,0.001000000000000000020816681712,5000
75,75_0,FAILED,GenerationStep_1,,,5000,4,0.406640592354105545602749316458,1
76,76_0,FAILED,GenerationStep_1,,,5000,4,0.860892601799011059071631279949,5000
77,77_0,FAILED,GenerationStep_1,,,5000,3,0.001000000000000000020816681712,1
78,78_0,FAILED,GenerationStep_1,,,4983,4,0.800845692703737399575913968874,134
79,79_0,FAILED,GenerationStep_1,,,39,4,0.811806917008249584455370495562,1185
80,80_0,FAILED,GenerationStep_1,,,2506,4,0.892752195628020883688691355928,55
81,81_0,FAILED,GenerationStep_1,,,1566,3,0.611626187483379601950161941204,1
82,82_0,FAILED,GenerationStep_1,,,5000,4,0.207863815918783528813307270866,5000
83,83_0,COMPLETED,GenerationStep_1,0.100000000000000005551115123126,755.000000000000000000000000000000,1,3,0.001000000000000000020816681712,1
84,84_0,COMPLETED,GenerationStep_1,0.029999999999999998889776975375,2292.000000000000000000000000000000,1,4,0.998999999999999999111821580300,3548
85,85_0,FAILED,GenerationStep_1,,,3827,3,0.896473667570585774910796317272,1
86,86_0,FAILED,GenerationStep_1,,,2732,4,0.998999999999999999111821580300,1
87,87_0,FAILED,GenerationStep_1,,,4170,4,0.468113952406622846336148313640,5000
88,88_0,FAILED,GenerationStep_1,,,1636,4,0.372061165675027227806026530743,1542
89,89_0,FAILED,GenerationStep_1,,,5000,4,0.190501708359975152617948879197,1641
90,90_0,RUNNING,GenerationStep_1,,,954,3,0.083544710827359133786806921762,1
91,91_0,COMPLETED,GenerationStep_1,0.100000000000000005551115123126,623.000000000000000000000000000000,1,3,0.098677178905062445934959214355,1
92,92_0,RUNNING,GenerationStep_1,,,524,3,0.001000000000000000020816681712,579
93,93_0,COMPLETED,GenerationStep_1,0.100000000000000005551115123126,1646.000000000000000000000000000000,1,3,0.001000000000000000020816681712,881
94,94_0,FAILED,GenerationStep_1,,,396,3,0.119788636006764551145131747489,1254
95,95_0,FAILED,GenerationStep_1,,,727,3,0.001000000000000000020816681712,1
96,96_0,FAILED,GenerationStep_1,,,243,2,0.269772730078895017769013975339,1
97,97_0,FAILED,GenerationStep_1,,,370,3,0.194355963862755415361149857745,1
98,98_0,FAILED,GenerationStep_1,,,1687,3,0.188774611401312575331701282266,802
99,99_0,FAILED,GenerationStep_1,,,1489,3,0.001000000000000000020816681712,1
100,100_0,COMPLETED,GenerationStep_1,0.100000000000000005551115123126,1719.000000000000000000000000000000,1,3,0.001000000000000000020816681712,337
101,101_0,FAILED,GenerationStep_1,,,356,3,0.001000000000000000020816681712,1
102,102_0,FAILED,GenerationStep_1,,,2244,3,0.001000000000000000020816681712,796
103,103_0,FAILED,GenerationStep_1,,,2641,3,0.522895600641829716437314345967,1
