trial_index,arm_name,trial_status,generation_node,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
0,0_0,ABANDONED,SOBOL,223,1,474,1461,223
1,1_0,ABANDONED,SOBOL,1191,3,41,663,1514
2,2_0,ABANDONED,SOBOL,1607,1,346,1641,1319
3,3_0,ABANDONED,SOBOL,577,3,170,484,916
4,4_0,ABANDONED,SOBOL,945,0,100,121,553
5,5_0,FAILED,SOBOL,1975,2,417,1755,1214
6,6_0,ABANDONED,SOBOL,1322,2,221,800,1893
7,7_0,ABANDONED,SOBOL,355,4,296,1074,375
8,8_0,ABANDONED,SOBOL,494,0,209,1984,1649
9,9_0,FAILED,SOBOL,1462,3,276,140,115
10,10_0,FAILED,SOBOL,1863,1,80,1181,810
11,11_0,ABANDONED,SOBOL,832,4,404,945,1455
12,12_0,ABANDONED,SOBOL,716,1,335,582,1076
13,13_0,FAILED,SOBOL,1748,4,152,1294,657
14,14_0,ABANDONED,SOBOL,1079,0,456,276,478
15,15_0,ABANDONED,SOBOL,110,3,31,1598,1754
16,16_0,ABANDONED,SOBOL,60,0,257,866,947
17,17_0,ABANDONED,SOBOL,1027,2,200,1009,1286
18,18_0,ABANDONED,SOBOL,1673,2,379,62,1606
19,19_0,ABANDONED,SOBOL,643,4,78,1814,126
20,20_0,ABANDONED,SOBOL,774,1,130,1709,278
21,21_0,ABANDONED,SOBOL,1805,4,321,418,1985
22,22_0,ABANDONED,SOBOL,1396,0,1,1403,1180
23,23_0,ABANDONED,SOBOL,428,3,451,721,584
24,24_0,ABANDONED,SOBOL,287,2,54,343,1424
25,25_0,ABANDONED,SOBOL,1257,4,497,1532,843
26,26_0,FAILED,SOBOL,1917,0,176,523,22
27,27_0,ABANDONED,SOBOL,886,2,375,1353,1746
28,28_0,ABANDONED,SOBOL,503,1,427,1248,1851
29,29_0,FAILED,SOBOL,1533,3,118,878,386
30,30_0,ABANDONED,SOBOL,1140,1,297,1926,691
31,31_0,ABANDONED,SOBOL,172,3,247,198,1045
32,32_0,ABANDONED,SOBOL,153,0,89,704,341
33,33_0,ABANDONED,SOBOL,1184,3,397,1420,1923
34,34_0,ABANDONED,SOBOL,1517,1,218,401,1242
35,35_0,ABANDONED,SOBOL,549,3,268,1725,521
36,36_0,ABANDONED,SOBOL,931,2,463,1862,884
37,37_0,ABANDONED,SOBOL,1898,4,21,14,1348
38,38_0,ABANDONED,SOBOL,1302,0,342,1057,1545
39,39_0,ABANDONED,SOBOL,272,2,142,817,189
40,40_0,ABANDONED,SOBOL,382,1,355,243,1788
41,41_0,ABANDONED,SOBOL,1412,4,163,1881,448
42,42_0,FAILED,SOBOL,1761,0,484,923,629
43,43_0,ABANDONED,SOBOL,792,3,34,1202,1108
44,44_0,ABANDONED,SOBOL,658,0,229,1339,1487
45,45_0,ABANDONED,SOBOL,1627,3,287,537,781
46,46_0,ABANDONED,SOBOL,1047,1,108,1518,85
47,47_0,ABANDONED,SOBOL,15,4,408,356,1682
48,48_0,ABANDONED,SOBOL,67,2,181,1124,616
49,49_0,ABANDONED,SOBOL,1097,4,364,750,1152
50,50_0,ABANDONED,SOBOL,1701,0,60,1804,1955
51,51_0,ABANDONED,SOBOL,733,2,485,72,312
52,52_0,FAILED,SOBOL,851,0,309,466,160
53,53_0,FAILED,SOBOL,1819,3,242,1660,1576
54,54_0,ABANDONED,SOBOL,1479,1,438,645,1257
55,55_0,ABANDONED,SOBOL,448,4,113,1479,979
56,56_0,ABANDONED,SOBOL,337,0,384,1584,1013
57,57_0,ABANDONED,SOBOL,1369,2,67,290,719
58,58_0,FAILED,SOBOL,1957,2,263,1281,416
59,59_0,ABANDONED,SOBOL,988,4,188,595,1817
60,60_0,ABANDONED,SOBOL,623,1,12,990,1711
61,61_0,FAILED,SOBOL,1591,3,445,1136,53
62,62_0,ABANDONED,SOBOL,1235,1,141,184,871
63,63_0,ABANDONED,SOBOL,204,3,316,1940,1392
64,64_0,ABANDONED,SOBOL,193,0,154,305,1913
65,65_0,ABANDONED,SOBOL,1224,2,330,1569,323
66,66_0,FAILED,SOBOL,1570,2,25,611,503
67,67_0,ABANDONED,SOBOL,602,4,459,1265,1233
68,68_0,ABANDONED,SOBOL,971,1,280,1152,1361
69,69_0,FAILED,SOBOL,1938,3,207,974,906
70,70_0,ABANDONED,SOBOL,1355,0,401,1955,210
71,71_0,ABANDONED,SOBOL,325,3,85,169,1558
72,72_0,ABANDONED,SOBOL,468,2,420,766,465
73,73_0,ABANDONED,SOBOL,1499,4,96,1108,1798
74,74_0,ABANDONED,SOBOL,1830,0,291,87,1118
