trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
0,0_0,ABANDONED,SOBOL,,,,4965,11,193,1759,1340
1,1_0,ABANDONED,SOBOL,,,,1340,40,433,52,264
2,2_0,ABANDONED,SOBOL,,,,1218,26,99,1323,728
3,3_0,ABANDONED,SOBOL,,,,2596,70,278,617,1680
4,4_0,ABANDONED,SOBOL,,,,3265,33,471,752,1872
5,5_0,ABANDONED,SOBOL,,,,578,58,155,1059,793
6,6_0,ABANDONED,SOBOL,,,,2019,0,314,316,196
7,7_0,ABANDONED,SOBOL,,,,4335,47,63,1624,1149
8,8_0,ABANDONED,SOBOL,,,,3810,18,355,1206,397
9,9_0,ABANDONED,SOBOL,,,,2378,65,20,983,1441
10,10_0,ABANDONED,SOBOL,,,,68,15,448,1641,1532
11,11_0,ABANDONED,SOBOL,,,,3629,40,178,419,611
12,12_0,ABANDONED,SOBOL,,,,3009,8,78,215,926
13,13_0,ABANDONED,SOBOL,,,,639,52,297,1974,1974
14,14_0,ABANDONED,SOBOL,,,,1767,29,233,649,1001
15,15_0,COMPLETED,SOBOL,0.959999999999999964472863211995,25.000000000000000000000000000000,0.000000000000000000000000000000,4391,58,392,1411,79
16,16_0,ABANDONED,SOBOL,,,,4547,27,16,272,1704
17,17_0,ABANDONED,SOBOL,,,,1611,55,360,1542,626
18,18_0,ABANDONED,SOBOL,,,,796,6,171,833,348
19,19_0,ABANDONED,SOBOL,,,,2853,49,455,1102,1302
20,20_0,ABANDONED,SOBOL,,,,3473,17,293,1279,1235
21,21_0,ABANDONED,SOBOL,,,,225,43,83,534,158
22,22_0,ABANDONED,SOBOL,,,,2222,20,385,1841,818
23,23_0,ABANDONED,SOBOL,,,,3966,66,240,95,1769
24,24_0,ABANDONED,SOBOL,,,,4178,2,409,700,525
25,25_0,ABANDONED,SOBOL,,,,2175,49,218,1486,1571
26,26_0,ABANDONED,SOBOL,,,,422,35,251,141,1420
27,27_0,ABANDONED,SOBOL,,,,3421,60,125,1924,497
28,28_0,FAILED,SOBOL,,,,2753,24,131,1692,56
29,29_0,ABANDONED,SOBOL,,,,1062,67,496,494,1102
30,30_0,ABANDONED,SOBOL,,,,1496,9,36,1133,1886
31,31_0,ABANDONED,SOBOL,,,,4808,37,340,932,966
32,32_0,ABANDONED,SOBOL,,,,4743,24,445,65,1161
33,33_0,ABANDONED,SOBOL,,,,1414,71,180,1874,240
34,34_0,ABANDONED,SOBOL,,,,990,13,351,502,767
35,35_0,ABANDONED,SOBOL,,,,2658,38,25,1309,1812
36,36_0,ABANDONED,SOBOL,,,,3357,1,222,1073,1630
37,37_0,ABANDONED,SOBOL,,,,341,45,403,867,708
38,38_0,FAILED,SOBOL,,,,2104,31,65,1509,298
39,39_0,ABANDONED,SOBOL,,,,4085,60,311,302,1345
40,40_0,COMPLETED,SOBOL,0.959999999999999964472863211995,7.000000000000000000000000000000,0.000000000000000000000000000000,4062,13,104,899,107
41,41_0,ABANDONED,SOBOL,,,,2291,42,272,1161,1059
42,42_0,ABANDONED,SOBOL,,,,304,19,197,464,1961
43,43_0,ABANDONED,SOBOL,,,,3539,63,430,1725,884
44,44_0,ABANDONED,SOBOL,,,,2950,31,326,1890,575
45,45_0,ABANDONED,SOBOL,,,,866,56,50,170,1528
46,46_0,ABANDONED,SOBOL,,,,1691,6,482,1456,1494
47,47_0,ABANDONED,SOBOL,,,,4615,53,145,733,415
48,48_0,ABANDONED,SOBOL,,,,4458,4,264,1591,1790
49,49_0,ABANDONED,SOBOL,,,,1847,51,113,344,867
50,50_0,ABANDONED,SOBOL,,,,710,29,419,1029,153
51,51_0,ABANDONED,SOBOL,,,,3106,54,207,785,1200
52,52_0,ABANDONED,SOBOL,,,,3696,22,41,583,1258
53,53_0,ABANDONED,SOBOL,,,,147,65,335,1352,338
54,54_0,ABANDONED,SOBOL,,,,2447,16,134,22,685
55,55_0,ABANDONED,SOBOL,,,,3906,44,492,1792,1731
56,56_0,ABANDONED,SOBOL,,,,4241,34,160,1382,969
57,57_0,ABANDONED,SOBOL,,,,1947,62,466,683,1923
58,58_0,ABANDONED,SOBOL,,,,497,4,2,1942,1083
59,59_0,COMPLETED,SOBOL,0.959999999999999964472863211995,32.000000000000000000000000000000,0.000000000000000000000000000000,3201,47,373,244,5
60,60_0,ABANDONED,SOBOL,,,,2502,11,383,391,440
61,61_0,ABANDONED,SOBOL,,,,1146,36,243,1674,1391
62,62_0,ABANDONED,SOBOL,,,,1258,22,288,950,1614
63,63_0,ABANDONED,SOBOL,,,,4899,69,88,1236,537
64,64_0,ABANDONED,SOBOL,,,,4862,32,304,668,234
65,65_0,ABANDONED,SOBOL,,,,1296,60,72,1397,1186
66,66_0,ABANDONED,SOBOL,,,,1106,1,399,228,1838
67,67_0,ABANDONED,SOBOL,,,,2543,45,228,1958,761
68,68_0,ABANDONED,SOBOL,,,,3163,12,19,1660,702
69,69_0,ABANDONED,SOBOL,,,,535,39,358,405,1655
70,70_0,ABANDONED,SOBOL,,,,1907,25,176,1219,1371
71,71_0,ABANDONED,SOBOL,,,,4281,71,451,966,292
72,72_0,ABANDONED,SOBOL,,,,3863,7,149,361,1038
73,73_0,FAILED,SOBOL,,,,2490,53,476,1574,117
74,74_0,ABANDONED,SOBOL,,,,112,30,57,799,894
75,75_0,ABANDONED,SOBOL,,,,3731,57,319,1015,1939
76,76_0,ABANDONED,SOBOL,,,,3063,19,434,1368,1507
77,77_0,ABANDONED,SOBOL,,,,752,64,191,567,585
78,78_0,COMPLETED,SOBOL,0.959999999999999964472863211995,14.000000000000000000000000000000,0.000000000000000000000000000000,1812,14,279,1806,424
79,79_0,ABANDONED,SOBOL,,,,4493,41,97,8,1472
80,80_0,ABANDONED,SOBOL,,,,4650,16,497,1176,846
81,81_0,ABANDONED,SOBOL,,,,1655,44,129,884,1800
82,82_0,ABANDONED,SOBOL,,,,908,21,341,1741,1210
83,83_0,ABANDONED,SOBOL,,,,2907,65,34,448,132
84,84_0,ABANDONED,SOBOL,,,,3575,28,212,184,317
85,85_0,ABANDONED,SOBOL,,,,268,54,414,1876,1268
86,86_0,ABANDONED,SOBOL,,,,2334,5,119,749,1741
