trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
0,0_0,RUNNING,SOBOL,,,4087,911,60,131,3
1,1_0,RUNNING,SOBOL,,,1824,2926,797,69,6
2,2_0,COMPLETED,SOBOL,0.419999999999999984456877655248,4743.000000000000000000000000000000,637,2181,336,217,10
3,3_0,RUNNING,SOBOL,,,3375,4161,566,29,2
4,4_0,RUNNING,SOBOL,,,2878,1733,946,52,2
5,5_0,RUNNING,SOBOL,,,606,4451,217,237,9
6,6_0,RUNNING,SOBOL,,,1933,499,663,105,8
7,7_0,RUNNING,SOBOL,,,4662,3181,424,168,5
8,8_0,RUNNING,SOBOL,,,4750,2400,733,222,6
9,9_0,RUNNING,SOBOL,,,2490,3780,496,36,4
10,10_0,COMPLETED,SOBOL,0.250000000000000000000000000000,2254.000000000000000000000000000000,50,1171,880,184,3
11,11_0,RUNNING,SOBOL,,,2790,2514,149,121,10
12,12_0,COMPLETED,SOBOL,0.390000000000000013322676295502,5671.000000000000000000000000000000,3463,253,280,85,8
13,13_0,RUNNING,SOBOL,,,1194,3588,510,146,1
14,14_0,COMPLETED,SOBOL,0.270000000000000017763568394003,5605.000000000000000000000000000000,1268,1519,111,14,5
15,15_0,RUNNING,SOBOL,,,3999,4817,849,201,7
16,16_0,RUNNING,SOBOL,,,3781,1307,450,101,2
17,17_0,RUNNING,SOBOL,,,1520,4878,719,164,10
18,18_0,COMPLETED,SOBOL,0.380000000000000004440892098501,5212.000000000000000000000000000000,942,76,164,64,6
19,19_0,RUNNING,SOBOL,,,3680,3605,925,249,3
20,20_0,COMPLETED,SOBOL,0.440000000000000002220446049250,3585.000000000000000000000000000000,2578,1032,556,205,5
21,21_0,COMPLETED,SOBOL,0.230000000000000009992007221626,5510.000000000000000000000000000000,306,2805,295,17,8
22,22_0,COMPLETED,SOBOL,0.369999999999999995559107901499,4103.000000000000000000000000000000,2234,2305,834,135,9
23,23_0,RUNNING,SOBOL,,,4962,4036,65,73,1
24,24_0,FAILED,SOBOL,,,4445,443,780,2,10
25,25_0,COMPLETED,SOBOL,0.380000000000000004440892098501,5568.000000000000000000000000000000,2185,3398,12,190,3
26,26_0,COMPLETED,SOBOL,0.429999999999999993338661852249,4319.000000000000000000000000000000,355,1712,614,88,4
27,27_0,RUNNING,SOBOL,,,3096,4625,352,150,7
28,28_0,FAILED,SOBOL,,,3163,1886,233,180,7
29,29_0,FAILED,SOBOL,,,893,4294,994,117,5
30,30_0,FAILED,SOBOL,,,1568,659,376,233,1
31,31_0,FAILED,SOBOL,,,4300,3026,646,47,8
32,32_0,FAILED,SOBOL,,,4247,2057,906,77,5
33,33_0,FAILED,SOBOL,,,1665,4104,138,139,7
34,34_0,COMPLETED,SOBOL,0.239999999999999991118215802999,3134.000000000000000000000000000000,797,791,737,21,9
35,35_0,FAILED,SOBOL,,,3216,2874,476,209,2
36,36_0,COMPLETED,SOBOL,0.479999999999999982236431605997,5556.000000000000000000000000000000,3029,614,107,245,2
37,37_0,COMPLETED,SOBOL,0.400000000000000022204460492503,5950.000000000000000000000000000000,456,3208,869,60,10
38,38_0,COMPLETED,SOBOL,0.289999999999999980015985556747,3439.000000000000000000000000000000,2084,1843,253,160,6
39,39_0,FAILED,SOBOL,,,4512,4474,522,97,3
40,40_0,FAILED,SOBOL,,,4912,1192,324,44,7
