trial_index,arm_name,trial_status,generation_method,n_samples,threshold,outlier_detector_kwargs
0,0_0,FAILED,Sobol,736,0.235674537718296051025390625000,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
1,1_0,FAILED,Sobol,310,0.210085575841367250271574107501,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
2,2_0,FAILED,Sobol,518,0.322154106199741385729851117503,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
3,3_0,FAILED,Sobol,232,0.407403875701129458697380414378,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
4,4_0,FAILED,Sobol,664,0.278523470461368605199936610006,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
5,5_0,FAILED,Sobol,283,0.739638555794954299926757812500,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
6,6_0,FAILED,Sobol,977,0.510097381472587652062600227509,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
7,7_0,FAILED,Sobol,123,0.246681018732488183120565850004,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
8,8_0,FAILED,Sobol,466,0.475881591625511690679672938131,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
9,9_0,FAILED,Sobol,103,0.641803879477083727422837000631,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
10,10_0,FAILED,Sobol,678,0.707952971383929430260195658775,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
11,11_0,FAILED,Sobol,366,0.226709753647446637936369029376,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
12,12_0,FAILED,Sobol,571,0.732513981126248880926254969381,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
13,13_0,FAILED,Sobol,348,0.562549487501382894372170540009,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
14,14_0,FAILED,Sobol,524,0.286161436699330806732177734375,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
15,15_0,FAILED,Sobol,707,0.618121459148824214935302734375,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
16,16_0,FAILED,Sobol,207,0.661887672729790210723876953125,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
17,17_0,FAILED,Sobol,129,0.388379167206585440563770816880,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
18,18_0,FAILED,Sobol,620,0.513920534588396593633774500631,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
19,19_0,FAILED,Sobol,726,0.768179369717836513231645767519,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
20,20_0,FAILED,Sobol,517,0.520011380873620643328081314394,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
21,21_0,FAILED,Sobol,483,0.786238964647054672241210937500,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
22,22_0,FAILED,Sobol,249,0.726337960176169916692856531881,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
23,23_0,FAILED,Sobol,896,0.671563713811337947845458984375,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
24,24_0,RUNNING,Sobol,976,0.626339576579630463726289235638,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
25,25_0,FAILED,Sobol,820,0.458585321530699752123894086253,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
26,26_0,FAILED,Sobol,161,0.227774139679968373739527010002,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
27,27_0,FAILED,Sobol,767,0.460714123211801107604657090633,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
28,28_0,FAILED,Sobol,353,0.769247818738222122192382812500,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
29,29_0,FAILED,Sobol,614,0.231442057713866250479028963127,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
30,30_0,FAILED,Sobol,736,0.322528287209570441174122379380,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
31,31_0,FAILED,Sobol,480,0.361755183339118990826221988755,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
32,32_0,FAILED,Sobol,842,0.261748903430998325347900390625,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
33,33_0,FAILED,Sobol,389,0.559379686973989098675019704388,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
34,34_0,FAILED,Sobol,550,0.320804052054882049560546875000,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
35,35_0,FAILED,Sobol,496,0.762713290937244936529282313131,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
36,36_0,FAILED,Sobol,703,0.398569804057478938030811832505,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
37,37_0,FAILED,Sobol,712,0.602744825929403371667092415009,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
38,38_0,FAILED,Sobol,554,0.590992222540080547332763671875,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
39,39_0,FAILED,Sobol,899,0.280871545523405097277702680003,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
40,40_0,FAILED,Sobol,413,0.277390775270760059356689453125,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
