trial_index,arm_name,trial_status,generation_method,result,n_samples,n_permutations,update_interval,n_consecutive_deviations
0,0_0,COMPLETED,Sobol,0.265782682103232081871624359337,998,19,92,3
1,1_0,COMPLETED,Sobol,0.261207187650747685303542766633,920,31,60,1
2,2_0,COMPLETED,Sobol,0.266424264351181827592540685146,901,17,111,2
3,3_0,COMPLETED,Sobol,0.285676555716353086644687664375,471,11,166,2
4,4_0,COMPLETED,Sobol,0.280047033285094060239828195336,456,27,158,3
5,5_0,COMPLETED,Sobol,0.292668837433671003012136679899,182,36,225,2
6,6_0,COMPLETED,Sobol,0.295984081041968161152055927232,427,22,236,3
7,7_0,COMPLETED,Sobol,0.268381572600096429681570953107,476,39,93,5
8,8_0,COMPLETED,Sobol,0.284101543656536392745692864992,229,13,183,4
9,9_0,COMPLETED,Sobol,0.266823444283646904473528138624,298,24,148,4
10,10_0,COMPLETED,Sobol,0.270007235890014518631119244674,752,35,127,5
11,11_0,COMPLETED,Sobol,0.287061022672455368187627300358,555,18,224,1
12,12_0,COMPLETED,Sobol,0.297696575012059816423004576791,478,30,238,3
13,13_0,COMPLETED,Sobol,0.289335504100337703725642768404,684,29,250,1
14,14_0,COMPLETED,Sobol,0.272499999999999964472863211995,241,13,124,4
15,15_0,COMPLETED,Sobol,0.285660877954655112453963283770,726,37,236,3
16,16_0,COMPLETED,Sobol,0.262942595272551815632766647468,846,48,55,5
17,17_0,COMPLETED,Sobol,0.272390255668113812070885160210,580,50,165,5
18,18_0,COMPLETED,Sobol,0.270660877954655099131286988268,287,29,152,2
19,19_0,COMPLETED,Sobol,0.270463096960926185907680974196,542,31,74,1
20,20_0,COMPLETED,BoTorch,0.263540762180414889215285256796,952,40,66,3
21,21_0,COMPLETED,BoTorch,0.277383019778099426666528870555,138,36,127,4
22,22_0,COMPLETED,BoTorch,0.261406174626145682005073922483,846,29,50,3
23,23_0,COMPLETED,BoTorch,0.265563193439459666045365793252,1000,36,89,1
24,24_0,COMPLETED,BoTorch,0.259251085383502166692437640449,989,18,54,1
25,25_0,COMPLETED,BoTorch,0.258573323685480027656069523800,874,50,50,2
26,26_0,COMPLETED,BoTorch,0.266852387843704796921429078793,1000,50,90,3
