trial_index,arm_name,trial_status,generation_method,result,n_samples,n_permutations,update_interval,n_consecutive_deviations
0,0_0,COMPLETED,Sobol,0.314328582145536383762873811065,249,31,230,1
1,1_0,COMPLETED,Sobol,0.272818204551137810653926862869,276,27,149,4
2,2_0,COMPLETED,Sobol,0.300325081270317539861025579739,915,30,103,1
3,3_0,COMPLETED,Sobol,0.311577894473618388637703446875,827,46,184,3
4,4_0,COMPLETED,Sobol,0.286571642910727675257476221304,135,30,239,2
5,5_0,COMPLETED,Sobol,0.307576894223555941110248568293,519,37,156,5
6,6_0,COMPLETED,Sobol,0.246561640410102533849112660391,460,32,72,3
7,7_0,COMPLETED,Sobol,0.308577144286071525236536672310,662,44,250,1
8,8_0,COMPLETED,Sobol,0.291572893223305817933521666419,438,11,186,2
9,9_0,COMPLETED,Sobol,0.290322580645161254508934689511,499,36,160,4
10,10_0,COMPLETED,Sobol,0.311077769442360541063408163609,871,50,138,1
11,11_0,COMPLETED,Sobol,0.288572143035758954532354891853,699,37,209,5
12,12_0,COMPLETED,Sobol,0.326081520380094969091544498951,830,29,205,3
13,13_0,COMPLETED,Sobol,0.299824956239059803309032758989,573,31,219,1
14,14_0,COMPLETED,Sobol,0.209552388097024255841915874043,245,31,54,2
15,15_0,COMPLETED,Sobol,0.324831207801950516689259984560,958,14,228,3
16,16_0,COMPLETED,Sobol,0.283570892723180811856309446739,261,27,202,2
17,17_0,COMPLETED,Sobol,0.292823205801450381358108643326,396,44,240,3
18,18_0,COMPLETED,Sobol,0.264816204051012804576714643190,380,33,166,2
19,19_0,COMPLETED,Sobol,0.261065266316579114302953712468,338,13,87,5
20,20_0,COMPLETED,BoTorch,0.208052013003250824141332486761,164,26,50,2
21,21_0,COMPLETED,BoTorch,0.229057264316078978971802371234,209,40,50,2
22,22_0,COMPLETED,BoTorch,0.212553138284571119243082648609,304,26,50,2
23,23_0,COMPLETED,BoTorch,0.225056264066016531444347492652,164,31,50,3
24,24_0,COMPLETED,BoTorch,0.218054513628407109493423376989,282,32,50,1
25,25_0,COMPLETED,BoTorch,0.233058264566141537521559712332,186,32,80,2
26,26_0,COMPLETED,BoTorch,0.235808952238059532646730076522,100,32,50,2
27,27_0,COMPLETED,BoTorch,0.225306326581645399720343903027,208,18,51,2
28,28_0,COMPLETED,BoTorch,0.222305576394098536319177128462,307,39,50,2
29,29_0,COMPLETED,BoTorch,0.240310077519379827748480238370,129,26,83,2
30,30_0,COMPLETED,BoTorch,0.218804701175293825343715070630,161,41,50,3
31,31_0,COMPLETED,BoTorch,0.209052263065766408267620590777,126,18,50,3
32,32_0,COMPLETED,BoTorch,0.210552638159539839968203978060,204,22,50,1
33,33_0,COMPLETED,BoTorch,0.248312078019504833825692458049,100,42,61,2
34,34_0,COMPLETED,BoTorch,0.215803950987746961942548296065,234,40,71,1
35,35_0,COMPLETED,BoTorch,0.253563390847711955800036776054,285,36,72,2
36,36_0,COMPLETED,BoTorch,0.214053513378344550943666035892,141,30,50,1
37,37_0,COMPLETED,BoTorch,0.217554388597149261919128093723,322,17,50,1
38,38_0,COMPLETED,BoTorch,0.251812953238309544801154515881,100,36,82,1
39,39_0,COMPLETED,BoTorch,0.240810202550637675322775521636,229,25,73,2
40,40_0,COMPLETED,BoTorch,0.202050512628156986316696475114,213,27,50,2
41,41_0,COMPLETED,BoTorch,0.239809952488121980174184955104,133,19,78,2
42,42_0,COMPLETED,BoTorch,0.205051262815703960740165712195,143,12,50,3
43,43_0,COMPLETED,BoTorch,0.214553638409602398517961319158,103,11,50,1
44,44_0,COMPLETED,BoTorch,0.226056514128532115570635596669,100,21,50,1
45,45_0,COMPLETED,BoTorch,0.204051012753188265591575145663,202,10,50,1
46,46_0,COMPLETED,BoTorch,0.231307826956739237544979914674,100,14,50,5
47,47_0,COMPLETED,BoTorch,0.222055513878469668043180718087,290,10,50,3
48,48_0,COMPLETED,BoTorch,0.222055513878469668043180718087,100,26,50,5
49,49_0,COMPLETED,BoTorch,0.211052763190797687542499261326,246,20,50,3
50,50_0,COMPLETED,BoTorch,0.209552388097024255841915874043,303,29,50,1
51,51_0,COMPLETED,BoTorch,0.234308577144286100946146689239,100,10,50,4
52,52_0,COMPLETED,BoTorch,0.229557389347336826546097654500,419,50,50,1
53,53_0,COMPLETED,BoTorch,0.200550137534383554616113087832,244,28,50,1
54,54_0,COMPLETED,BoTorch,0.234558639659914969222143099614,100,10,50,2
55,55_0,COMPLETED,BoTorch,0.214553638409602398517961319158,112,24,50,3
56,56_0,COMPLETED,BoTorch,0.243810952738184538723942296201,408,15,50,3
57,57_0,COMPLETED,BoTorch,0.226056514128532115570635596669,271,38,50,5
58,58_0,COMPLETED,BoTorch,0.233058264566141537521559712332,197,10,50,3
59,59_0,COMPLETED,BoTorch,0.214553638409602398517961319158,195,10,50,2
60,60_0,COMPLETED,BoTorch,0.206801700425106260716745509853,235,10,50,1
61,61_0,COMPLETED,BoTorch,0.201050262565641402190408371098,245,19,50,1
62,62_0,COMPLETED,BoTorch,0.233058264566141537521559712332,365,50,50,5
63,63_0,COMPLETED,BoTorch,0.197549387346836691214946313266,147,10,50,2
64,64_0,COMPLETED,BoTorch,0.207301825456364108291040793119,234,16,50,2
65,65_0,COMPLETED,BoTorch,0.220305076269067257044298457913,343,10,50,1
66,66_0,COMPLETED,BoTorch,0.234808702175543837498139509989,201,50,50,5
67,67_0,COMPLETED,BoTorch,0.220055013753438388768302047538,504,10,50,1
68,68_0,COMPLETED,BoTorch,0.226306576644161094868934469559,194,22,50,4
69,69_0,COMPLETED,BoTorch,0.204051012753188265591575145663,233,33,50,4
70,70_0,COMPLETED,BoTorch,0.245311327831957970424525683484,230,36,50,5
71,71_0,COMPLETED,BoTorch,0.208302075518879692417328897136,242,21,50,1
72,72_0,COMPLETED,BoTorch,0.213553388347086814391673215141,236,27,50,4
73,73_0,COMPLETED,BoTorch,0.234558639659914969222143099614,278,38,50,5
74,74_0,COMPLETED,BoTorch,0.219304826206551672918010353897,100,50,50,5
75,75_0,COMPLETED,BoTorch,0.267066766691672952127589724114,668,50,50,5
76,76_0,COMPLETED,BoTorch,0.228807201800450110695805960859,220,19,50,1
77,77_0,COMPLETED,BoTorch,0.226556639159789963144930879935,159,45,50,5
78,78_0,COMPLETED,BoTorch,0.219804951237809409470003174647,535,12,50,1
79,79_0,COMPLETED,BoTorch,0.262815703925981525301835972641,689,37,50,3
80,80_0,COMPLETED,BoTorch,0.242560640160039975299355319294,362,44,50,5
81,74_0,COMPLETED,BoTorch,0.218054513628407109493423376989,100,50,50,5
82,82_0,COMPLETED,BoTorch,0.205301325331332829016162122571,257,18,50,1
83,83_0,COMPLETED,BoTorch,0.233058264566141537521559712332,260,20,50,1
84,84_0,COMPLETED,BoTorch,0.243810952738184538723942296201,713,45,50,4
85,85_0,COMPLETED,BoTorch,0.219054763690922693619711481006,241,21,50,2
86,86_0,COMPLETED,BoTorch,0.255813953488372103350911856978,562,50,57,4
87,87_0,COMPLETED,BoTorch,0.247561890472618117975400764408,563,50,57,4
88,88_0,COMPLETED,BoTorch,0.274318579644911242354510250152,766,50,91,4
