trial_index,arm_name,trial_status,generation_method,result,n_samples,n_clusters,threshold
0,0_0,COMPLETED,Sobol,0.285714285714285698425385362498,348,2,0.060073542356491094196258018201
1,1_0,COMPLETED,Sobol,0.289734552263465117150076366670,467,1,0.060147356942296031911965314976
2,2_0,COMPLETED,Sobol,0.287696882916620766401649689215,256,3,0.062527635604143150249711879951
3,3_0,COMPLETED,Sobol,0.287917171494658008512601554685,244,1,0.027889940015971663445082384669
4,4_0,COMPLETED,Sobol,0.286265007159378748191613794916,358,4,0.068215497639030231447065943939
5,5_0,COMPLETED,Sobol,0.293754818812644535874767370842,668,2,0.033851351145654920427041645326
6,6_0,COMPLETED,Sobol,0.279656349818261928952267680870,709,4,0.034590727504342798359626698357
7,7_0,COMPLETED,Sobol,0.299647538275140457031398000254,225,3,0.065635051038116218324880435375
8,8_0,COMPLETED,Sobol,0.279656349818261928952267680870,579,4,0.015434440743178130805990377894
9,9_0,COMPLETED,Sobol,0.279656349818261928952267680870,832,1,0.005984044417738914635462865732
10,10_0,COMPLETED,Sobol,0.287476594338583524290697823744,781,3,0.068878439199179422591790000752
11,11_0,COMPLETED,Sobol,0.288578037228769734845457151096,457,1,0.042634507581591610247961909863
12,12_0,COMPLETED,Sobol,0.294801189558321352635061884939,219,1,0.017112214051187041308210723400
13,13_0,COMPLETED,Sobol,0.293589602379116687558280318626,858,3,0.065441622987389577725814149289
14,14_0,COMPLETED,Sobol,0.292322943055402628687033939059,788,2,0.043515014130622156618422025076
15,15_0,COMPLETED,Sobol,0.279656349818261928952267680870,864,2,0.020051056977361439437324008850
16,16_0,COMPLETED,Sobol,0.279656349818261928952267680870,869,2,0.023314345303922894003800792007
17,17_0,COMPLETED,Sobol,0.286485295737415990302565660386,228,4,0.045170483965426687367195057732
18,18_0,COMPLETED,Sobol,0.284282409957043680215349468199,169,3,0.003816889986395836063814979155
19,19_0,COMPLETED,Sobol,0.287586738627602200857324987737,606,1,0.046846737418323756985127914731
20,20_0,COMPLETED,BoTorch,0.279656349818261928952267680870,964,2,0.006440706098829535736216556074
21,21_0,COMPLETED,BoTorch,0.279656349818261928952267680870,870,4,0.015139047254553858121162157602
22,22_0,COMPLETED,BoTorch,0.279656349818261928952267680870,1000,1,0.017930694452499305879822344423
23,23_0,COMPLETED,BoTorch,0.279656349818261928952267680870,759,3,0.003743313175126723735264278048
24,24_0,COMPLETED,BoTorch,0.279656349818261928952267680870,1000,3,0.017818407251825763015773418374
25,25_0,COMPLETED,BoTorch,0.279656349818261928952267680870,826,2,0.002000000000000000041633363423
26,26_0,COMPLETED,BoTorch,0.279656349818261928952267680870,699,4,0.003961408212790632800415213666
27,27_0,COMPLETED,BoTorch,0.288082387928185967851391069416,535,4,0.028108361059398234704787000737
28,28_0,COMPLETED,BoTorch,0.279656349818261928952267680870,364,4,0.010995724716744630783393787965
29,29_0,COMPLETED,BoTorch,0.279656349818261928952267680870,726,4,0.021703111054831011883514690908
30,30_0,COMPLETED,BoTorch,0.279656349818261928952267680870,1000,1,0.002000000000000000041633363423
31,31_0,COMPLETED,BoTorch,0.279656349818261928952267680870,1000,2,0.018208644185763012135481631049
32,32_0,COMPLETED,BoTorch,0.279656349818261928952267680870,904,4,0.002000000000000000041633363423
33,33_0,COMPLETED,BoTorch,0.279656349818261928952267680870,826,3,0.014011524148584657625815630411
34,34_0,COMPLETED,BoTorch,0.287366450049564958746373122267,899,4,0.031426589315584348149901217084
35,35_0,COMPLETED,BoTorch,0.279656349818261928952267680870,608,3,0.002000000000000000041633363423
36,36_0,COMPLETED,BoTorch,0.279656349818261928952267680870,436,4,0.002000000000000000041633363423
37,37_0,COMPLETED,BoTorch,0.279656349818261928952267680870,884,3,0.002000000000000000041633363423
38,38_0,COMPLETED,BoTorch,0.279656349818261928952267680870,696,1,0.002000000000000000041633363423
39,39_0,COMPLETED,BoTorch,0.299922898997686981914512216463,100,4,0.014256247464616362413680761279
40,40_0,COMPLETED,BoTorch,0.279656349818261928952267680870,475,4,0.025392498925328021996961069817
41,41_0,COMPLETED,BoTorch,0.279656349818261928952267680870,1000,1,0.009551141601888217189109120397
42,42_0,COMPLETED,BoTorch,0.279656349818261928952267680870,564,4,0.002000000000000000041633363423
43,43_0,COMPLETED,BoTorch,0.279656349818261928952267680870,705,2,0.008127114054511670737657169639
44,44_0,COMPLETED,BoTorch,0.279656349818261928952267680870,1000,3,0.002000000000000000041633363423
45,45_0,COMPLETED,BoTorch,0.279656349818261928952267680870,1000,4,0.016667694161320523171809782070
46,46_0,COMPLETED,BoTorch,0.279656349818261928952267680870,548,3,0.002000000000000000041633363423
47,47_0,COMPLETED,BoTorch,0.279656349818261928952267680870,742,4,0.012496500587452568156732191085
48,48_0,COMPLETED,BoTorch,0.279656349818261928952267680870,1000,4,0.002000000000000000041633363423
49,49_0,COMPLETED,BoTorch,0.279656349818261928952267680870,897,3,0.009990621740445071452541014878
50,50_0,COMPLETED,BoTorch,0.287972243639167291284763905423,1000,4,0.027185138802143439529235280361
51,51_0,COMPLETED,BoTorch,0.279656349818261928952267680870,905,2,0.010372597541904102214083138733
52,52_0,COMPLETED,BoTorch,0.279656349818261928952267680870,785,3,0.009903397250269603199757106893
53,53_0,COMPLETED,BoTorch,0.279656349818261928952267680870,604,3,0.009669240543426120895742492678
54,54_0,COMPLETED,BoTorch,0.279656349818261928952267680870,525,2,0.002000000000000000041633363423
55,55_0,COMPLETED,BoTorch,0.279656349818261928952267680870,846,1,0.012643279132101425607515032823
56,56_0,COMPLETED,BoTorch,0.279656349818261928952267680870,1000,4,0.010234041319064253461323943384
57,57_0,COMPLETED,BoTorch,0.279656349818261928952267680870,1000,3,0.007747778179203849979739260334
58,58_0,COMPLETED,BoTorch,0.279656349818261928952267680870,420,3,0.002000000000000000041633363423
59,59_0,COMPLETED,BoTorch,0.279656349818261928952267680870,606,4,0.009813078067171162113813132066
60,60_0,COMPLETED,BoTorch,0.279656349818261928952267680870,510,4,0.009221661076831890596627872014
61,61_0,COMPLETED,BoTorch,0.279656349818261928952267680870,487,3,0.005293499506974084362065369191
62,62_0,COMPLETED,BoTorch,0.279656349818261928952267680870,546,1,0.002000000000000000041633363423
63,63_0,COMPLETED,BoTorch,0.279656349818261928952267680870,744,4,0.002000000000000000041633363423
64,64_0,COMPLETED,BoTorch,0.279656349818261928952267680870,627,2,0.002000000000000000041633363423
65,65_0,COMPLETED,BoTorch,0.279656349818261928952267680870,573,2,0.002000000000000000041633363423
66,66_0,COMPLETED,BoTorch,0.279656349818261928952267680870,866,1,0.002000000000000000041633363423
67,67_0,COMPLETED,BoTorch,0.279656349818261928952267680870,582,1,0.010675862727463281826034702249
68,68_0,COMPLETED,BoTorch,0.279656349818261928952267680870,484,2,0.008163946760472788957696543832
69,69_0,COMPLETED,BoTorch,0.290780923009141933910370880767,850,4,0.036027041959330409481854218257
70,70_0,COMPLETED,BoTorch,0.279656349818261928952267680870,439,2,0.023416705294092655942339575859
71,71_0,COMPLETED,BoTorch,0.287751955061130049173812039953,100,4,0.055261269664713341676076652220
72,72_0,COMPLETED,BoTorch,0.290175129419539601371980097611,1000,4,0.052930652833244995481010164440
73,73_0,COMPLETED,BoTorch,0.296949003194184379950115726388,100,4,0.024196377910024914614783853040
74,74_0,COMPLETED,BoTorch,0.288027315783676574056926256162,683,4,0.036636433437574361660082900016
75,75_0,COMPLETED,BoTorch,0.285879502147813657764174877229,993,4,0.035866962959401796351421864983
76,76_0,COMPLETED,BoTorch,0.278995484084150202619412084459,100,1,0.051536492364097824525615010316
77,77_0,COMPLETED,BoTorch,0.279656349818261928952267680870,421,4,0.021316259633873985146479412833
78,78_0,COMPLETED,BoTorch,0.279656349818261928952267680870,391,4,0.025150843702273807667157967671
79,79_0,COMPLETED,BoTorch,0.279656349818261928952267680870,766,4,0.030183878847912168352785045045
80,80_0,COMPLETED,BoTorch,0.286815728604471908980144689849,586,4,0.070000000000000006661338147751
81,81_0,COMPLETED,BoTorch,0.279656349818261928952267680870,440,4,0.019346768609091818946765783949
82,82_0,COMPLETED,BoTorch,0.287586738627602200857324987737,609,4,0.053039206429008035892369576914
83,83_0,COMPLETED,BoTorch,0.289514263685427875039124501200,307,4,0.055806514363990658567082903119
84,84_0,COMPLETED,BoTorch,0.279656349818261928952267680870,371,4,0.029166754372271772033364811705
85,85_0,COMPLETED,BoTorch,0.279656349818261928952267680870,290,4,0.002000000000000000041633363423
86,86_0,COMPLETED,BoTorch,0.279656349818261928952267680870,420,1,0.019583940469605806700137407006
87,87_0,COMPLETED,BoTorch,0.287917171494658008512601554685,602,4,0.066631494008342312396209194958
88,88_0,COMPLETED,BoTorch,0.279656349818261928952267680870,394,4,0.022564883309090816299047332905
89,89_0,COMPLETED,BoTorch,0.279656349818261928952267680870,743,4,0.031321141441351799117320808818
90,90_0,COMPLETED,BoTorch,0.279546205529243363407942979393,100,1,0.044668509970616304682877739651
91,91_0,COMPLETED,BoTorch,0.279656349818261928952267680870,777,1,0.025738610597478055186382306374
92,92_0,COMPLETED,BoTorch,0.279656349818261928952267680870,436,4,0.014786870176411103308677930102
93,93_0,COMPLETED,BoTorch,0.298876528252010165154217702366,124,1,0.045555649496423641919840008541
94,94_0,COMPLETED,BoTorch,0.279656349818261928952267680870,315,1,0.002000000000000000041633363423
95,95_0,COMPLETED,BoTorch,0.279656349818261928952267680870,469,4,0.017928754746189365376629609727
96,96_0,COMPLETED,BoTorch,0.279656349818261928952267680870,390,4,0.022014935013095503213431669565
97,97_0,COMPLETED,BoTorch,0.279656349818261928952267680870,732,4,0.032482221346659220784225396983
98,98_0,COMPLETED,BoTorch,0.279656349818261928952267680870,352,4,0.002000000000000000041633363423
99,99_0,COMPLETED,BoTorch,0.285989646436832223308499578707,935,1,0.018447054211126710787649329859
