start_time,end_time,run_time,program_string,n_samples,n_permutations,update_interval,n_consecutive_deviations,result,exit_code,signal,hostname,OO_Info_runtime,OO_Info_lpd
1727501118,1727501151,33,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 ImageBasedDriftDetector n_samples 276 n_permutations 27 update_interval 149 n_consecutive_deviations 4,276,27,149,4,0.2728182045511378,0,None,i7186,29,0.018454613653413353
1727501118,1727501152,34,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 ImageBasedDriftDetector n_samples 135 n_permutations 30 update_interval 239 n_consecutive_deviations 2,135,30,239,2,0.2865716429107277,0,None,i7186,30,0.01870204393203564
1727501118,1727501154,36,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 ImageBasedDriftDetector n_samples 519 n_permutations 37 update_interval 156 n_consecutive_deviations 5,519,37,156,5,0.30757689422355594,0,None,i7186,32,0.023880970242560636
1727501118,1727501155,37,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 ImageBasedDriftDetector n_samples 249 n_permutations 31 update_interval 230 n_consecutive_deviations 1,249,31,230,1,0.3143285821455364,0,None,i7186,33,0.021838793031591232
1727501118,1727501155,37,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 ImageBasedDriftDetector n_samples 915 n_permutations 30 update_interval 103 n_consecutive_deviations 1,915,30,103,1,0.30032508127031754,0,None,i7186,33,0.017079269817454366
1727501118,1727501156,38,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 ImageBasedDriftDetector n_samples 827 n_permutations 46 update_interval 184 n_consecutive_deviations 3,827,46,184,3,0.3115778944736184,0,None,i7186,34,0.023595184510413317
1727501139,1727501170,31,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 ImageBasedDriftDetector n_samples 460 n_permutations 32 update_interval 72 n_consecutive_deviations 3,460,32,72,3,0.24656164041010253,0,None,i7186,27,0.01317829457364341
1727501138,1727501174,36,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 ImageBasedDriftDetector n_samples 662 n_permutations 44 update_interval 250 n_consecutive_deviations 1,662,44,250,1,0.3085771442860715,0,None,i7186,32,0.023809523809523808
1727501156,1727501217,61,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 ImageBasedDriftDetector n_samples 245 n_permutations 31 update_interval 54 n_consecutive_deviations 2,245,31,54,2,0.20955238809702426,0,None,i7177,24,0.008823634480048583
1727501166,1727501220,54,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 ImageBasedDriftDetector n_samples 338 n_permutations 13 update_interval 87 n_consecutive_deviations 5,338,13,87,5,0.2610652663165791,0,None,i7173,27,0.019042260565141286
1727501166,1727501220,54,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 ImageBasedDriftDetector n_samples 380 n_permutations 33 update_interval 166 n_consecutive_deviations 2,380,33,166,2,0.2648162040510128,0,None,i7173,27,0.02094968186491067
1727501156,1727501221,65,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 ImageBasedDriftDetector n_samples 261 n_permutations 27 update_interval 202 n_consecutive_deviations 2,261,27,202,2,0.2835708927231808,0,None,i7177,28,0.02107879911154259
1727501156,1727501222,66,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 ImageBasedDriftDetector n_samples 499 n_permutations 36 update_interval 160 n_consecutive_deviations 4,499,36,160,4,0.29032258064516125,0,None,i7177,29,0.021974243560890224
1727501166,1727501223,57,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 ImageBasedDriftDetector n_samples 396 n_permutations 44 update_interval 240 n_consecutive_deviations 3,396,44,240,3,0.2928232058014504,0,None,i7173,30,0.026852867062919575
1727501156,1727501223,67,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 ImageBasedDriftDetector n_samples 438 n_permutations 11 update_interval 186 n_consecutive_deviations 2,438,11,186,2,0.2915728932233058,0,None,i7177,30,0.02189609902475619
1727501156,1727501223,67,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 ImageBasedDriftDetector n_samples 573 n_permutations 31 update_interval 219 n_consecutive_deviations 1,573,31,219,1,0.2998249562390598,0,None,i7177,30,0.019004751187796945
1727501156,1727501223,67,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 ImageBasedDriftDetector n_samples 699 n_permutations 37 update_interval 209 n_consecutive_deviations 5,699,37,209,5,0.28857214303575895,0,None,i7177,30,0.027179871891049683
1727501156,1727501223,67,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 ImageBasedDriftDetector n_samples 871 n_permutations 50 update_interval 138 n_consecutive_deviations 1,871,50,138,1,0.31107776944236054,0,None,i7177,30,0.019460747539826136
1727501156,1727501224,68,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 ImageBasedDriftDetector n_samples 830 n_permutations 29 update_interval 205 n_consecutive_deviations 3,830,29,205,3,0.32608152038009497,0,None,i7177,31,0.022559211231379276
1727501156,1727501226,70,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 ImageBasedDriftDetector n_samples 958 n_permutations 14 update_interval 228 n_consecutive_deviations 3,958,14,228,3,0.3248312078019505,0,None,i7177,33,0.02882538816522312
1727501358,1727501388,30,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 ImageBasedDriftDetector n_samples 209 n_permutations 40 update_interval 50 n_consecutive_deviations 2,209,40,50,2,0.22905726431607898,0,None,i7186,25,0.007789683269874073
1727501358,1727501388,30,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 ImageBasedDriftDetector n_samples 164 n_permutations 26 update_interval 50 n_consecutive_deviations 2,164,26,50,2,0.20805201300325082,0,None,i7186,26,0.007230974410269234
1727501359,1727501389,30,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 ImageBasedDriftDetector n_samples 282 n_permutations 32 update_interval 50 n_consecutive_deviations 1,282,32,50,1,0.2180545136284071,0,None,i7186,26,0.006520860984476888
1727501358,1727501389,31,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 ImageBasedDriftDetector n_samples 164 n_permutations 31 update_interval 50 n_consecutive_deviations 3,164,31,50,3,0.22505626406601653,0,None,i7186,27,0.009062048120725833
1727501358,1727501389,31,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 ImageBasedDriftDetector n_samples 304 n_permutations 26 update_interval 50 n_consecutive_deviations 2,304,26,50,2,0.21255313828457112,0,None,i7186,27,0.008101081874242145
1727501379,1727501407,28,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 ImageBasedDriftDetector n_samples 100 n_permutations 32 update_interval 50 n_consecutive_deviations 2,100,32,50,2,0.23580895223805953,0,None,i7186,25,0.006657402055431891
1727501378,1727501408,30,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 ImageBasedDriftDetector n_samples 208 n_permutations 18 update_interval 51 n_consecutive_deviations 2,208,18,51,2,0.2253063265816454,0,None,i7186,26,0.008168708843877636
1727501378,1727501409,31,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 ImageBasedDriftDetector n_samples 186 n_permutations 32 update_interval 80 n_consecutive_deviations 2,186,32,80,2,0.23305826456614154,0,None,i7186,27,0.01168149180152181
1727501396,1727501424,28,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 ImageBasedDriftDetector n_samples 204 n_permutations 22 update_interval 50 n_consecutive_deviations 1,204,22,50,1,0.21055263815953984,0,None,i7174,20,0.007071439991145328
1727501396,1727501424,28,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 ImageBasedDriftDetector n_samples 126 n_permutations 18 update_interval 50 n_consecutive_deviations 3,126,18,50,3,0.2090522630657664,0,None,i7174,20,0.008167136123653555
1727501396,1727501424,28,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 ImageBasedDriftDetector n_samples 161 n_permutations 41 update_interval 50 n_consecutive_deviations 3,161,41,50,3,0.21880470117529383,0,None,i7174,20,0.008136649547002136
1727501396,1727501425,29,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 ImageBasedDriftDetector n_samples 234 n_permutations 40 update_interval 71 n_consecutive_deviations 1,234,40,71,1,0.21580395098774696,0,None,i7174,21,0.009469033925147953
1727501396,1727501425,29,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 ImageBasedDriftDetector n_samples 129 n_permutations 26 update_interval 83 n_consecutive_deviations 2,129,26,83,2,0.24031007751937983,0,None,i7174,21,0.010568431581579605
1727501396,1727501425,29,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 ImageBasedDriftDetector n_samples 100 n_permutations 42 update_interval 61 n_consecutive_deviations 2,100,42,61,2,0.24831207801950483,0,None,i7174,21,0.008374434034040425
1727501396,1727501425,29,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 ImageBasedDriftDetector n_samples 307 n_permutations 39 update_interval 50 n_consecutive_deviations 2,307,39,50,2,0.22230557639409854,0,None,i7174,22,0.007917073608024646
1727501398,1727501426,28,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 ImageBasedDriftDetector n_samples 141 n_permutations 30 update_interval 50 n_consecutive_deviations 1,141,30,50,1,0.21405351337834455,0,None,i7186,24,0.0062008255687110185
