start_time,end_time,run_time,program_string,n_reference_samples,recent_samples_proportion,threshold,result,exit_code,signal,hostname,OO_Info_runtime,OO_Info_lpd
1727302167,1727302176,9,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 DiscriminativeDriftDetector2019 n_reference_samples 279 recent_samples_proportion 0.8911640584468842 threshold 0.5169260140508414,279,0.8911640584468842,0.5169260140508414,0.28962440797444655,0,None,i7185,6,0.0007248204825741067
1727302167,1727302177,10,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 DiscriminativeDriftDetector2019 n_reference_samples 459 recent_samples_proportion 0.12882631719112397 threshold 0.6831329035572709,459,0.12882631719112397,0.6831329035572709,0.2883577486507325,0,None,i7185,6,0.0012159349800870704
1727302167,1727302177,10,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 DiscriminativeDriftDetector2019 n_reference_samples 277 recent_samples_proportion 0.796329740807414 threshold 0.5538515927270055,277,0.796329740807414,0.5538515927270055,0.2872563057605463,0,None,i7185,6,0.0007474076754834546
1727302167,1727302177,10,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 DiscriminativeDriftDetector2019 n_reference_samples 176 recent_samples_proportion 0.1992199204862118 threshold 0.7115410847589374,176,0.1992199204862118,0.7115410847589374,0.2819693798876528,0,None,i7185,7,0.0005237360942835112
1727302167,1727302178,11,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 DiscriminativeDriftDetector2019 n_reference_samples 56 recent_samples_proportion 0.5640080939047039 threshold 0.7778040557168424,56,0.5640080939047039,0.7778040557168424,0.2876418107721115,0,None,i7185,8,0.0001796199174765094
1727302187,1727302196,9,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 DiscriminativeDriftDetector2019 n_reference_samples 346 recent_samples_proportion 0.14665257837623358 threshold 0.7362952074036002,346,0.14665257837623358,0.7362952074036002,0.2897896244079744,0,None,i7185,6,0.0009137480303278932
1727302187,1727302196,9,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 DiscriminativeDriftDetector2019 n_reference_samples 237 recent_samples_proportion 0.779963809158653 threshold 0.7207854843698442,237,0.779963809158653,0.7207854843698442,0.29177222161030947,0,None,i7185,6,0.0009509123618607044
1727302187,1727302196,9,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 DiscriminativeDriftDetector2019 n_reference_samples 423 recent_samples_proportion 0.9680545964278281 threshold 0.6966641470789909,423,0.9680545964278281,0.6966641470789909,0.30008811543121494,0,None,i7185,6,0.005745860410471038
1727302187,1727302196,9,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 DiscriminativeDriftDetector2019 n_reference_samples 346 recent_samples_proportion 0.8039055211469531 threshold 0.6813653163611889,346,0.8039055211469531,0.6813653163611889,0.29188236589932814,0,None,i7185,6,0.002667556999669564
1727302187,1727302197,10,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 DiscriminativeDriftDetector2019 n_reference_samples 63 recent_samples_proportion 0.5138353911228478 threshold 0.6575860104523599,63,0.5138353911228478,0.6575860104523599,0.2864302235929067,0,None,i7185,8,0.00018148774895112581
