start_time,end_time,run_time,program_string,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS
1745686504,1745686517,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 5000 n_samples 1 k_neighbors 69 n_permutations 1 significance_level 0.21240222624186422,5000,1,69,1,0.2124022262418642,,,1,,i7167,4772505,,,,,
1745688843,1745688857,14,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 4371 n_samples 1 k_neighbors 67 n_permutations 1 significance_level 0.8203922665391938,4371,1,67,1,0.8203922665391938,,,1,,i7161,4773154,,,,,
1745690694,1745690744,50,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 5000 n_samples 1 k_neighbors 66 n_permutations 1000 significance_level 0.999,5000,1,66,1000,0.999,,,1,,i7174,4773585,,,,,
1745692975,1745692988,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 1 n_samples 1 k_neighbors 33 n_permutations 1 significance_level 0.001,1,1,33,1,0.001,,,1,,i7176,4774778,,,,,
1745694956,1745694969,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 5000 n_samples 1 k_neighbors 66 n_permutations 1000 significance_level 0.999,5000,1,66,1000,0.999,,,1,,i7172,4775216,,,,,
1745697775,1745697788,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 911 n_samples 1 k_neighbors 70 n_permutations 1 significance_level 0.001,911,1,70,1,0.001,,,1,,i7169,4776014,,,,,
1745699578,1745699591,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 5000 n_samples 1 k_neighbors 66 n_permutations 1000 significance_level 0.999,5000,1,66,1000,0.999,,,1,,i7179,4776515,,,,,
1745701209,1745701222,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 5000 n_samples 4247 k_neighbors 100 n_permutations 1000 significance_level 0.001,5000,4247,100,1000,0.001,0.91,0.0,0,,i7164,4776953,0.0,753.828125,753.78125,-1.0,0.0
1745703502,1745703515,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 236 n_samples 1 k_neighbors 69 n_permutations 565 significance_level 0.001,236,1,69,565,0.001,,,1,,i7181,4777499,,,,,
1745705529,1745705543,14,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 5000 n_samples 1 k_neighbors 69 n_permutations 1 significance_level 0.1783579577541035,5000,1,69,1,0.1783579577541035,,,1,,i7180,4778003,,,,,
