start_time,end_time,run_time,program_string,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1746010409,1746010428,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 400 n_samples 3614 confidence 0.05 feature_proportion 0.3486088054608554 n_clusters 32,400,3614,0.3486088054608554,32,0.05,0.55,0.0,0,,i7167,0.0,632.97265625,632.9440104166666,-1.0,0.0,4856278
1746010409,1746010429,20,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 3595 n_samples 4132 confidence 0.1 feature_proportion 0.7014856169223785 n_clusters 18,3595,4132,0.7014856169223785,18,0.1,0.55,0.0,0,,i7174,0.0,620.79296875,620.6875,-1.0,0.0,4856269
1746010409,1746010430,21,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 2420 n_samples 464 confidence 0.05 feature_proportion 0.214044812804088 n_clusters 41,2420,464,0.214044812804088,41,0.05,0.55,1.0,0,,i7168,1.0,642.55859375,636.5104166666666,-1.0,0.928,4856275
1746010427,1746010440,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 4213 n_samples 2438 confidence 0.25 feature_proportion 0.8591984736863524 n_clusters 11,4213,2438,0.8591984736863524,11,0.25,0.55,0.0,0,,i7171,0.0,634.58203125,634.53515625,-1.0,0.0,4856282
1746010428,1746010441,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 2732 n_samples 785 confidence 0.1 feature_proportion 0.46644122929684817 n_clusters 47,2732,785,0.4664412292968481,47,0.1,0.55,1.0,0,,i7167,1.0,642.21484375,636.2018229166666,-1.0,0.785,4856297
1746010429,1746010442,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 1407 n_samples 4612 confidence 0.005 feature_proportion 0.9460870498660952 n_clusters 20,1407,4612,0.9460870498660952,20,0.005,0.55,0.0,0,,i7167,0.0,633.24609375,633.2174479166666,-1.0,0.0,4856296
1746010429,1746010442,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 776 n_samples 1316 confidence 0.05 feature_proportion 0.6164928294885904 n_clusters 3,776,1316,0.6164928294885904,3,0.05,0.55,0.0,0,,i7167,0.0,642.02734375,636.0638020833334,-1.0,0.0,4856292
1746010429,1746010442,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 4463 n_samples 2646 confidence 0.01 feature_proportion 0.0981081897970289 n_clusters 31,4463,2646,0.0981081897970289,31,0.01,0.55,0.0,0,,i7171,0.0,632.77734375,632.7473958333334,-1.0,0.0,4856285
1746010449,1746010462,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 1051 n_samples 4040 confidence 0.005 feature_proportion 0.1831608781348914 n_clusters 6,1051,4040,0.1831608781348914,6,0.005,0.55,0.0,0,,i7171,0.0,632.5859375,632.5559895833334,-1.0,0.0,4856309
1746010458,1746010470,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 4807 n_samples 213 confidence 0.05 feature_proportion 0.6703599213603884 n_clusters 29,4807,213,0.6703599213603884,29,0.05,0.57,3.0,0,,i7171,3.0,639.95703125,635.3997395833334,-1.0,0.9585,4856314
1746010458,1746010471,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 3863 n_samples 4713 confidence 0.001 feature_proportion 0.4355592948254198 n_clusters 8,3863,4713,0.4355592948254198,8,0.001,0.55,0.0,0,,i7169,0.0,634.0234375,633.97265625,-1.0,0.0,4856317
