start_time,end_time,run_time,program_string,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS
1747051038,1747051243,205,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 1950 n_samples 1 confidence 0.005 feature_proportion 0.999 n_clusters 31,1950,1,0.999,31,0.005,,,1,,i7186,5026632,,,,,
1747051436,1747051449,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 1926 n_samples 1 confidence 0.025 feature_proportion 0.999 n_clusters 29,1926,1,0.999,29,0.025,,,1,,i7186,5026638,,,,,
1747051518,1747051531,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 1425 n_samples 1 confidence 0.1 feature_proportion 0.999 n_clusters 23,1425,1,0.999,23,0.1,,,1,,i7186,5026639,,,,,
1747051693,1747051706,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 1889 n_samples 1 confidence 0.025 feature_proportion 0.001 n_clusters 28,1889,1,0.001,28,0.025,,,1,,i7186,5026680,,,,,
1747051826,1747051839,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 1149 n_samples 1 confidence 0.005 feature_proportion 0.999 n_clusters 31,1149,1,0.999,31,0.005,,,1,,i7186,5026683,,,,,
1747051954,1747051967,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 1920 n_samples 1 confidence 0.01 feature_proportion 0.999 n_clusters 29,1920,1,0.999,29,0.01,,,1,,i7186,5026686,,,,,
1747051287,1747052062,775,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 5000 n_samples 5000 confidence 0.05 feature_proportion 0.2176702561834791 n_clusters 50,5000,5000,0.2176702561834791,50,0.05,0.14,763.0,0,,i7186,5026636,763.0,846.703125,655.457130142405,-1.0,0.9964816532397152
1747052084,1747052109,25,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 1154 n_samples 1 confidence 0.001 feature_proportion 0.999 n_clusters 33,1154,1,0.999,33,0.001,,,1,,i7186,5026688,,,,,
1747052268,1747052293,25,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 1873 n_samples 1 confidence 0.025 feature_proportion 0.001 n_clusters 27,1873,1,0.001,27,0.025,,,1,,i7186,5026689,,,,,
1747051141,1747052427,1286,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 1941 n_samples 931 confidence 0.025 feature_proportion 0.999 n_clusters 27,1941,931,0.999,27,0.025,0.34,1190.0,0,,i7186,5026634,1190.0,772.97265625,705.1311983471074,-1.0,0.9999274056352164
1747052459,1747052490,31,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 1485 n_samples 1 confidence 0.1 feature_proportion 0.999 n_clusters 24,1485,1,0.999,24,0.1,,,1,,i7186,5026690,,,,,
1747052567,1747052580,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 1752 n_samples 1 confidence 0.025 feature_proportion 0.001 n_clusters 28,1752,1,0.001,28,0.025,,,1,,i7186,5026691,,,,,
1747052672,1747052704,32,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 1812 n_samples 1 confidence 0.01 feature_proportion 0.999 n_clusters 28,1812,1,0.999,28,0.01,,,1,,i7186,5026693,,,,,
1747052825,1747052862,37,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 1638 n_samples 1 confidence 0.1 feature_proportion 0.999 n_clusters 26,1638,1,0.999,26,0.1,,,1,,i7186,5026695,,,,,
1747052940,1747053002,62,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 1765 n_samples 1 confidence 0.005 feature_proportion 0.999 n_clusters 28,1765,1,0.999,28,0.005,,,1,,i7186,5026696,,,,,
