start_time,end_time,run_time,program_string,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID
1745669051,1745669064,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 4382 n_samples 24 k_neighbors 83 n_permutations 516 significance_level 0.9325432181637734,4382,24,83,516,0.9325432181637734,,,1,,i7184,4764600
1745824276,1745824289,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 917 n_samples 9 k_neighbors 32 n_permutations 153 significance_level 0.25321940828487277,917,9,32,153,0.2532194082848727,,,1,,i7179,4815576
1745826117,1745826130,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 4622 n_samples 13 k_neighbors 70 n_permutations 274 significance_level 0.5518250089213252,4622,13,70,274,0.5518250089213252,,,1,,i7180,4816043
1744959216,1744959229,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 1783 n_samples 1 k_neighbors 98 n_permutations 307 significance_level 0.9050694347973913,1783,1,98,307,0.9050694347973912,,,1,,i7185,4536930
1744974819,1744974832,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 2665 n_samples 23 k_neighbors 52 n_permutations 970 significance_level 0.03308075095899403,2665,23,52,970,0.033080750958994,,,1,,i7186,4539954
1745000981,1745000994,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 4802 n_samples 35 k_neighbors 90 n_permutations 100 significance_level 0.3401712360717356,4802,35,90,100,0.3401712360717356,,,1,,i7170,4550448
1745024089,1745024164,75,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 762 n_samples 18 k_neighbors 60 n_permutations 685 significance_level 0.7216782045289875,762,18,60,685,0.7216782045289875,,,1,,i7167,4570544
1747738495,1747738508,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 2178 n_samples 1407 k_neighbors 21 n_permutations 792 significance_level 0.3964934433680028,2178,1407,21,792,0.3964934433680028,,,1,,i7151,5171669
1747738885,1747738892,7,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 863 n_samples 3638 k_neighbors 89 n_permutations 497 significance_level 0.0999793329834938,863,3638,89,497,0.0999793329834938,,,1,,i7152,5171799
1747739066,1747739073,7,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 4975 n_samples 393 k_neighbors 26 n_permutations 691 significance_level 0.6845604908596724,4975,393,26,691,0.6845604908596724,,,1,,i7176,5171860
1747739247,1747739253,6,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 3755 n_samples 2889 k_neighbors 6 n_permutations 522 significance_level 0.6008889920599758,3755,2889,6,522,0.6008889920599758,,,1,,i7176,5171921
1747739398,1747739411,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 366 n_samples 1207 k_neighbors 69 n_permutations 292 significance_level 0.1874731316436082,366,1207,69,292,0.1874731316436082,,,1,,i7167,5171975
1747739820,1747739833,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 1600 n_samples 3751 k_neighbors 48 n_permutations 998 significance_level 0.3275781396366656,1600,3751,48,998,0.3275781396366656,,,1,,i7178,5172118
1747740151,1747740157,6,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 2567 n_samples 2152 k_neighbors 86 n_permutations 191 significance_level 0.8974223088044673,2567,2152,86,191,0.8974223088044673,,,1,,i7179,5172284
1747741236,1747741242,6,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 2558 n_samples 3198 k_neighbors 4 n_permutations 878 significance_level 0.26178121579438446,2558,3198,4,878,0.2617812157943844,,,1,,i7179,5172652
1747741929,1747741942,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 1571 n_samples 266 k_neighbors 67 n_permutations 185 significance_level 0.9553997494634241,1571,266,67,185,0.955399749463424,,,1,,i7164,5172890
1747742321,1747742333,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 376 n_samples 4695 k_neighbors 49 n_permutations 606 significance_level 0.5341164922043681,376,4695,49,606,0.5341164922043681,,,1,,i7184,5173022
1747742712,1747742725,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 3784 n_samples 1846 k_neighbors 88 n_permutations 333 significance_level 0.24642614831589163,3784,1846,88,333,0.2464261483158916,,,1,,i7183,5173228
1747743170,1747743176,6,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 4985 n_samples 4250 k_neighbors 58 n_permutations 378 significance_level 0.03320774399861694,4985,4250,58,378,0.0332077439986169,,,1,,i7186,5173372
1747743797,1747743810,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 892 n_samples 2337 k_neighbors 19 n_permutations 685 significance_level 0.7435126040969045,892,2337,19,685,0.7435126040969045,,,1,,i7181,5173590
1747744519,1747744525,6,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 2168 n_samples 2703 k_neighbors 91 n_permutations 106 significance_level 0.75885630242154,2168,2703,91,106,0.75885630242154,,,1,,i7184,5173887
1747745001,1747745014,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 3682 n_samples 709 k_neighbors 28 n_permutations 833 significance_level 0.4544719138685614,3682,709,28,833,0.4544719138685614,,,1,,i7184,5174050
1747745422,1747745429,7,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 3152 n_samples 4390 k_neighbors 95 n_permutations 699 significance_level 0.9334585289247334,3152,4390,95,699,0.9334585289247334,,,1,,i7181,5174203
1747745874,1747745887,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 2263 n_samples 1535 k_neighbors 33 n_permutations 490 significance_level 0.3480254819858819,2263,1535,33,490,0.3480254819858819,,,1,,i7181,5174410
1747746446,1747746459,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 948 n_samples 3503 k_neighbors 52 n_permutations 786 significance_level 0.1455548782683909,948,3503,52,786,0.1455548782683909,,,1,,i7180,5174606
1747747108,1747747115,7,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 4415 n_samples 576 k_neighbors 16 n_permutations 28 significance_level 0.5745674573797732,4415,576,16,28,0.5745674573797732,,,1,,i7184,5174820
1747747589,1747747602,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 4309 n_samples 3018 k_neighbors 43 n_permutations 199 significance_level 0.6465284135490655,4309,3018,43,199,0.6465284135490655,,,1,,i7181,5174989
