start_time,end_time,run_time,program_string,recent_samples_size,feature_id,batch_size,divergence,detect_batch,statistic,significance,subsets,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS
1744575055,1744575074,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 3716 feature_id 3 batch_size 1 divergence str\(\'H\'\) detect_batch 1 statistic str\(\'stdev\'\) significance 0.001 subsets 13,3716,3,1,str\(\'H\'\),1,str\(\'stdev\'\),0.001,13,,,1,,i7099,4333443,,,,,
1744575055,1744575074,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 3899 feature_id 3 batch_size 1 divergence str\(\'H\'\) detect_batch 1 statistic str\(\'tstat\'\) significance 0.999 subsets 56,3899,3,1,str\(\'H\'\),1,str\(\'tstat\'\),0.999,56,,,1,,i7099,4333445,,,,,
1744575063,1744575573,510,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 1 feature_id 3 batch_size 1176 divergence str\(\'KL\'\) detect_batch 3 statistic str\(\'stdev\'\) significance 0.001 subsets 2,1,3,1176,str\(\'KL\'\),3,str\(\'stdev\'\),0.001,2,0.08,493.0,0,,i7112,4333403,493.0,531.74609375,501.9812199519231,-1.0,0.24937877710509
1744575054,1744575576,522,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 3627 feature_id 3 batch_size 1220 divergence str\(\'H\'\) detect_batch 2 statistic str\(\'stdev\'\) significance 0.001 subsets 1,3627,3,1220,str\(\'H\'\),2,str\(\'stdev\'\),0.001,1,0.09,500.0,0,,i7101,4333437,500.0,570.390625,516.7922175480769,-1.0,0.499485301444718
1744575055,1744575578,523,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 2819 feature_id 3 batch_size 514 divergence str\(\'H\'\) detect_batch 3 statistic str\(\'stdev\'\) significance 0.001 subsets 20,2819,3,514,str\(\'H\'\),3,str\(\'stdev\'\),0.001,20,0.09,505.0,0,,i7103,4333429,505.0,514.828125,492.5972140330189,-1.0,0.2509970452740843
1744575054,1744575582,528,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 862 feature_id 3 batch_size 3439 divergence str\(\'H\'\) detect_batch 2 statistic str\(\'stdev\'\) significance 0.001 subsets 1,862,3,3439,str\(\'H\'\),2,str\(\'stdev\'\),0.001,1,0.09,506.0,0,,i7101,4333435,506.0,563.16015625,517.6466686320755,-1.0,0.4984026985264245
1744575054,1744575582,528,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 2254 feature_id 3 batch_size 4357 divergence str\(\'KL\'\) detect_batch 2 statistic str\(\'stdev\'\) significance 0.001 subsets 1,2254,3,4357,str\(\'KL\'\),2,str\(\'stdev\'\),0.001,1,0.09,506.0,0,,i7101,4333434,506.0,580.23046875,527.6110701650944,-1.0,0.5000606456028782
1744575055,1744575584,529,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 3466 feature_id 3 batch_size 1824 divergence str\(\'H\'\) detect_batch 2 statistic str\(\'stdev\'\) significance 0.001 subsets 1,3466,3,1824,str\(\'H\'\),2,str\(\'stdev\'\),0.001,1,0.09,517.0,0,,i7100,4333441,517.0,599.6015625,527.2489872685185,-1.0,0.499218370612719
1744575054,1744575596,542,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 2834 feature_id 3 batch_size 1872 divergence str\(\'H\'\) detect_batch 2 statistic str\(\'stdev\'\) significance 0.001 subsets 1,2834,3,1872,str\(\'H\'\),2,str\(\'stdev\'\),0.001,1,0.09,519.0,0,,i7109,4333419,519.0,569.6875,521.269675925926,-1.0,0.4988504389253689
1744575055,1744575615,560,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 1557 feature_id 3 batch_size 1012 divergence str\(\'H\'\) detect_batch 2 statistic str\(\'tstat\'\) significance 0.001 subsets 30,1557,3,1012,str\(\'H\'\),2,str\(\'tstat\'\),0.001,30,0.06,549.0,0,,i7100,4333439,549.0,508.4296875,491.8652001096491,-1.0,0.1268647395643346
1744575054,1744575633,579,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 1785 feature_id 3 batch_size 4171 divergence str\(\'H\'\) detect_batch 1 statistic str\(\'stdev\'\) significance 0.001 subsets 1,1785,3,4171,str\(\'H\'\),1,str\(\'stdev\'\),0.001,1,0.09,563.0,0,,i7104,4333424,563.0,632.83984375,558.8587129237288,-1.0,0.997745065724954
1744575054,1744575633,579,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 1512 feature_id 3 batch_size 1244 divergence str\(\'KL\'\) detect_batch 1 statistic str\(\'stdev\'\) significance 0.001 subsets 1,1512,3,1244,str\(\'KL\'\),1,str\(\'stdev\'\),0.001,1,0.1,560.0,0,,i7101,4333436,560.0,659.97265625,563.5467403017242,-1.0,0.9986500153530318
1744575063,1744575634,571,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 3955 feature_id 3 batch_size 3826 divergence str\(\'H\'\) detect_batch 1 statistic str\(\'stdev\'\) significance 0.001 subsets 1,3955,3,3826,str\(\'H\'\),1,str\(\'stdev\'\),0.001,1,0.1,550.0,0,,i7110,4333416,550.0,665.8359375,566.204221491228,-1.0,0.9979493219190344
1744575055,1744575640,585,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier CDBD recent_samples_size 2055 feature_id 3 batch_size 762 divergence str\(\'H\'\) detect_batch 2 statistic str\(\'stdev\'\) significance 0.001 subsets 30,2055,3,762,str\(\'H\'\),2,str\(\'stdev\'\),0.001,30,0.08,566.0,0,,i7099,4333444,566.0,534.19140625,503.216498940678,-1.0,0.2573438668808726
