start_time,end_time,run_time,program_string,recent_samples_size,n_samples,n_clusters,threshold,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS
1746192905,1746192931,26,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier SPLL recent_samples_size 3172 n_samples 1 n_clusters 6 threshold 0.999,3172,1,6,0.999,,,1,,i7178,4903168,,,,,
1746193175,1746193187,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier SPLL recent_samples_size 2869 n_samples 1 n_clusters 10 threshold 0.999,2869,1,10,0.999,,,1,,i7176,4903247,,,,,
1746193463,1746193476,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier SPLL recent_samples_size 3216 n_samples 1 n_clusters 6 threshold 0.999,3216,1,6,0.999,,,1,,i7176,4903318,,,,,
1746193744,1746193757,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier SPLL recent_samples_size 2860 n_samples 1 n_clusters 10 threshold 0.999,2860,1,10,0.999,,,1,,i7174,4903385,,,,,
1746194004,1746194017,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier SPLL recent_samples_size 3238 n_samples 1 n_clusters 6 threshold 0.999,3238,1,6,0.999,,,1,,i7174,4903447,,,,,
1746194304,1746194317,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier SPLL recent_samples_size 2932 n_samples 1 n_clusters 10 threshold 0.999,2932,1,10,0.999,,,1,,i7174,4903512,,,,,
1746194563,1746194576,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier SPLL recent_samples_size 2939 n_samples 1 n_clusters 10 threshold 0.001,2939,1,10,0.001,,,1,,i7172,4903564,,,,,
1746194863,1746194876,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier SPLL recent_samples_size 3212 n_samples 1 n_clusters 5 threshold 0.999,3212,1,5,0.999,,,1,,i7175,4903626,,,,,
1746195384,1746195398,14,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier SPLL recent_samples_size 3214 n_samples 1 n_clusters 5 threshold 0.999,3214,1,5,0.999,,,1,,i7170,4903736,,,,,
1746195670,1746195701,31,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier SPLL recent_samples_size 2878 n_samples 1 n_clusters 10 threshold 0.999,2878,1,10,0.999,,,1,,i7169,4903789,,,,,
1746196203,1746196216,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier SPLL recent_samples_size 3200 n_samples 1 n_clusters 6 threshold 0.999,3200,1,6,0.999,,,1,,i7169,4903884,,,,,
1746196463,1746196476,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier SPLL recent_samples_size 2833 n_samples 1 n_clusters 10 threshold 0.999,2833,1,10,0.999,,,1,,i7169,4903936,,,,,
1746196743,1746196756,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier SPLL recent_samples_size 3207 n_samples 1 n_clusters 6 threshold 0.999,3207,1,6,0.999,,,1,,i7169,4903988,,,,,
1746197005,1746197018,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier SPLL recent_samples_size 2889 n_samples 1 n_clusters 10 threshold 0.999,2889,1,10,0.999,,,1,,i7168,4904037,,,,,
1746197283,1746197296,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier SPLL recent_samples_size 2847 n_samples 1 n_clusters 10 threshold 0.001,2847,1,10,0.001,,,1,,i7167,4904089,,,,,
1746197584,1746197596,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier SPLL recent_samples_size 3209 n_samples 1 n_clusters 6 threshold 0.999,3209,1,6,0.999,,,1,,i7169,4904148,,,,,
1746197823,1746197830,7,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier SPLL recent_samples_size 2901 n_samples 1 n_clusters 10 threshold 0.999,2901,1,10,0.999,,,1,,i7167,4904191,,,,,
1746198083,1746198096,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier SPLL recent_samples_size 3237 n_samples 1 n_clusters 6 threshold 0.999,3237,1,6,0.999,,,1,,i7166,4904240,,,,,
1746203986,1746203999,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier SPLL recent_samples_size 3181 n_samples 1 n_clusters 6 threshold 0.999,3181,1,6,0.999,,,1,,i7186,4905416,,,,,
1746204206,1746204218,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier SPLL recent_samples_size 2847 n_samples 1 n_clusters 10 threshold 0.999,2847,1,10,0.999,,,1,,i7173,4905466,,,,,
1746204446,1746204459,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier SPLL recent_samples_size 2942 n_samples 1 n_clusters 10 threshold 0.001,2942,1,10,0.001,,,1,,i7173,4905513,,,,,
1746204695,1746204708,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier SPLL recent_samples_size 3170 n_samples 1 n_clusters 6 threshold 0.999,3170,1,6,0.999,,,1,,i7172,4905572,,,,,
1746204972,1746204985,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier SPLL recent_samples_size 2887 n_samples 1 n_clusters 10 threshold 0.999,2887,1,10,0.999,,,1,,i7183,4905621,,,,,
1746205205,1746205218,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier SPLL recent_samples_size 5000 n_samples 1 n_clusters 10 threshold 0.999,5000,1,10,0.999,,,1,,i7172,4905664,,,,,
1746205446,1746205459,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier SPLL recent_samples_size 3185 n_samples 1 n_clusters 5 threshold 0.999,3185,1,5,0.999,,,1,,i7171,4905718,,,,,
1746205728,1746205741,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier SPLL recent_samples_size 2979 n_samples 1 n_clusters 10 threshold 0.001,2979,1,10,0.001,,,1,,i7170,4905773,,,,,
1746206008,1746206021,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier SPLL recent_samples_size 3186 n_samples 1 n_clusters 6 threshold 0.999,3186,1,6,0.999,,,1,,i7175,4905824,,,,,
1746206254,1746206267,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier SPLL recent_samples_size 2842 n_samples 1 n_clusters 10 threshold 0.999,2842,1,10,0.999,,,1,,i7169,4905878,,,,,
1746206526,1746206539,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier SPLL recent_samples_size 3236 n_samples 1 n_clusters 6 threshold 0.999,3236,1,6,0.999,,,1,,i7183,4905928,,,,,
1746206785,1746206798,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier SPLL recent_samples_size 2902 n_samples 1 n_clusters 10 threshold 0.999,2902,1,10,0.999,,,1,,i7180,4905976,,,,,
1746207066,1746207079,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier SPLL recent_samples_size 3224 n_samples 1 n_clusters 6 threshold 0.999,3224,1,6,0.999,,,1,,i7184,4906028,,,,,
1746207584,1746207597,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier SPLL recent_samples_size 3112 n_samples 1 n_clusters 3 threshold 0.001,3112,1,3,0.001,,,1,,i7169,4906132,,,,,
1746207844,1746207857,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier SPLL recent_samples_size 3202 n_samples 1 n_clusters 5 threshold 0.999,3202,1,5,0.999,,,1,,i7169,4906177,,,,,
1746208105,1746208118,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier SPLL recent_samples_size 2936 n_samples 1 n_clusters 10 threshold 0.001,2936,1,10,0.001,,,1,,i7182,4906222,,,,,
1746208365,1746208378,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier SPLL recent_samples_size 3203 n_samples 1 n_clusters 6 threshold 0.999,3203,1,6,0.999,,,1,,i7172,4906276,,,,,
1746208645,1746208659,14,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier SPLL recent_samples_size 2939 n_samples 1 n_clusters 10 threshold 0.999,2939,1,10,0.999,,,1,,i7184,4906327,,,,,
1746208925,1746208938,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier SPLL recent_samples_size 3229 n_samples 1 n_clusters 6 threshold 0.999,3229,1,6,0.999,,,1,,i7179,4906382,,,,,
1746215047,1746215059,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier SPLL recent_samples_size 3167 n_samples 1 n_clusters 7 threshold 0.999,3167,1,7,0.999,,,1,,i7176,4907793,,,,,
1746215267,1746215280,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier SPLL recent_samples_size 2893 n_samples 1 n_clusters 10 threshold 0.999,2893,1,10,0.999,,,1,,i7175,4907842,,,,,
