start_time,end_time,run_time,program_string,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS
1745856636,1745859388,2752,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 143 significance 0.7788383952379226 gamma 0.8255363656282425 max_node_size 213 max_tree_depth 1996 max_time_stationary 2582,143,0.7788383952379226,0.8255363656282425,213,1996,2582,,,1,,i7180,4823740,,,,,
1745856903,1745860215,3312,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 3602 significance 0.4143148606531322 gamma 0.3526293656304479 max_node_size 3821 max_tree_depth 4546 max_time_stationary 612,3602,0.4143148606531322,0.3526293656304479,3821,4546,612,,,1,,i7179,4823800,,,,,
1745857294,1745860577,3283,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 3910 significance 0.575193735845387 gamma 0.6896005458831788 max_node_size 1394 max_tree_depth 2809 max_time_stationary 2470,3910,0.575193735845387,0.6896005458831788,1394,2809,2470,,,1,,i7174,4823896,,,,,
1745860175,1745862355,2180,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 2518 significance 0.9213820421192795 gamma 0.023366828605532648 max_node_size 4426 max_tree_depth 3880 max_time_stationary 1292,2518,0.9213820421192797,0.0233668286055326,4426,3880,1292,,,1,,i7155,4824502,,,,,
1745859256,1745862863,3607,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 4701 significance 0.08426090987585486 gamma 0.933408328793943 max_node_size 1999 max_tree_depth 3162 max_time_stationary 687,4701,0.0842609098758548,0.933408328793943,1999,3162,687,,,1,,i7157,4824321,,,,,
1745861336,1745863710,2374,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 1246 significance 0.25666474894061686 gamma 0.5470144171062857 max_node_size 857 max_tree_depth 1408 max_time_stationary 4248,1246,0.2566647489406168,0.5470144171062857,857,1408,4248,,,1,,i7152,4824736,,,,,
1745862303,1745865071,2768,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 783 significance 0.5178039610981942 gamma 0.08130442889407277 max_node_size 2271 max_tree_depth 4737 max_time_stationary 4866,783,0.5178039610981942,0.0813044288940727,2271,4737,4866,,,1,,i7150,4824912,,,,,
1745865136,1745867352,2216,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 1725 significance 0.4916805584616959 gamma 0.9913459216468036 max_node_size 4707 max_tree_depth 2930 max_time_stationary 2972,1725,0.4916805584616959,0.9913459216468036,4707,2930,2972,,,1,,i7183,4825418,,,,,
1745866215,1745868453,2238,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 1891 significance 0.982674291940406 gamma 0.6307074421979487 max_node_size 4102 max_tree_depth 3670 max_time_stationary 3857,1891,0.982674291940406,0.6307074421979487,4102,3670,3857,,,1,,i7181,4825612,,,,,
1745863279,1745868836,5557,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 2952 significance 0.16112479970417917 gamma 0.6137082028593868 max_node_size 3701 max_tree_depth 2424 max_time_stationary 1924,2952,0.1611247997041791,0.6137082028593868,3701,2424,1924,,,1,,i7186,4825087,,,,,
