start_time,end_time,run_time,program_string,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID
1747739066,1747739072,6,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 3258 n_samples 1856 k_neighbors 31 n_permutations 263 significance_level 0.36965666350536047,3258,1856,31,263,0.3696566635053604,,,1,,i7160,5171863
1747739066,1747739079,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 1519 n_samples 3403 k_neighbors 59 n_permutations 989 significance_level 0.8631571727208793,1519,3403,59,989,0.8631571727208793,,,1,,i7151,5171865
1747739096,1747739102,6,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 528 n_samples 4988 k_neighbors 50 n_permutations 149 significance_level 0.6729556129518897,528,4988,50,149,0.6729556129518897,,,1,,i7160,5171873
1747739096,1747739103,7,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 2285 n_samples 1923 k_neighbors 95 n_permutations 873 significance_level 0.9931328362450004,2285,1923,95,873,0.9931328362450004,,,1,,i7184,5171866
1747739096,1747739103,7,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 4689 n_samples 282 k_neighbors 65 n_permutations 601 significance_level 0.187800187215209,4689,282,65,601,0.187800187215209,,,1,,i7176,5171870
1747739096,1747739109,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 541 n_samples 286 k_neighbors 7 n_permutations 788 significance_level 0.932841087764129,541,286,7,788,0.932841087764129,,,1,,i7151,5171875
1747739096,1747739109,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 3125 n_samples 2878 k_neighbors 17 n_permutations 378 significance_level 0.4913747930992395,3125,2878,17,378,0.4913747930992395,,,1,,i7184,5171867
1747739126,1747739133,7,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 3113 n_samples 1926 k_neighbors 28 n_permutations 560 significance_level 0.2449506604205817,3113,1926,28,560,0.2449506604205817,,,1,,i7179,5171878
1747739126,1747739133,7,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 4700 n_samples 4993 k_neighbors 79 n_permutations 463 significance_level 0.4247213208116591,4700,4993,79,463,0.4247213208116591,,,1,,i7184,5171876
1747739126,1747739133,7,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 1513 n_samples 1875 k_neighbors 98 n_permutations 76 significance_level 0.618866039045155,1513,1875,98,76,0.618866039045155,,,1,,i7152,5171884
