trial_index,arm_name,trial_status,generation_node,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
0,0_0,FAILED,SOBOL,761,0.411554258704185493833449527301,0.218237166911363605903417806076,2270,2757,3479
1,1_0,FAILED,SOBOL,4604,0.702081436056643748422345652216,0.694332649454474482020316372655,2676,2345,1921
2,2_0,FAILED,SOBOL,3428,0.012787212850525975227355957031,0.375590552259236598597880174566,1113,380,1088
3,3_0,FAILED,SOBOL,1917,0.848912899086251893088217457262,0.899444275453686659105301259842,3832,4498,4529
4,4_0,FAILED,SOBOL,1829,0.144400320803746567976943993017,0.613845132755115652223310007685,4974,3816,2679
5,5_0,FAILED,SOBOL,2832,0.992399582518264655739415047719,0.107533422825857996607545885581,46,1064,1746
6,6_0,FAILED,SOBOL,4145,0.307495590791106221395523334650,0.790872732894495111821697719279,3483,1819,246
7,7_0,FAILED,SOBOL,497,0.578343348376452959236360129580,0.301133665291592467205816774367,1536,3286,4313
8,8_0,FAILED,SOBOL,164,0.084041271988302468365361619362,0.864621534980833494898888602620,387,2099,4828
9,9_0,FAILED,SOBOL,3853,0.811071688231080778486159488239,0.359284430708736168824657397636,4671,3093,771
10,10_0,FAILED,SOBOL,2538,0.496513765895739200839642535357,0.539601547546684767731051124429,1858,4790,2239
11,11_0,FAILED,SOBOL,1498,0.646636330353096089318398753676,0.048887866850942374163935255638,3199,2,3181
12,12_0,FAILED,SOBOL,2250,0.347316476939246054911336614168,0.465115109330043186020020584692,2998,723,3987
13,13_0,FAILED,SOBOL,3720,0.509068964531645185012109777745,0.942185214260593095758622439462,1986,4067,555
14,14_0,FAILED,SOBOL,4898,0.197926664300262927786988598200,0.128217783963307740968673442694,4174,3659,1439
15,15_0,FAILED,SOBOL,1092,0.905521300107240634247318666894,0.651096908936277030122141695756,811,1531,3007
16,16_0,FAILED,SOBOL,1207,0.242265524111688140829201643101,0.324508314734324787576014159640,3731,4682,398
17,17_0,FAILED,SOBOL,4700,0.903083148255944268001371710852,0.829840663889423013621637892356,1293,518,3831
18,18_0,FAILED,SOBOL,3521,0.342924882872030156732989780721,0.021783944403752687063446913385,4730,2225,2850
19,19_0,FAILED,SOBOL,2366,0.551462829058989911779065096198,0.512502387652173596599425309250,293,2594,1283
20,20_0,FAILED,SOBOL,1379,0.439512642959132782127795735505,0.969539447702467471756904160429,1022,3162,927
