trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
0,0_0,ABANDONED,SOBOL,,,,4398,9,231,1884,1411
1,1_0,ABANDONED,SOBOL,,,,716,0,356,444,126
2,2_0,ABANDONED,SOBOL,,,,1866,5,7,1441,666
3,3_0,ABANDONED,SOBOL,,,,3024,4,377,887,1890
4,4_0,ABANDONED,SOBOL,,,,3653,7,256,541,1624
5,5_0,ABANDONED,SOBOL,,,,2476,2,128,1099,839
6,6_0,ABANDONED,SOBOL,,,,105,8,477,95,360
7,7_0,ABANDONED,SOBOL,,,,3768,1,109,1546,1083
8,8_0,FAILED,SOBOL,,,,4352,5,447,1249,40
9,9_0,ABANDONED,SOBOL,,,,537,4,77,673,1252
10,10_0,ABANDONED,SOBOL,,,,1887,9,286,1677,1789
11,11_0,ABANDONED,SOBOL,,,,3226,0,160,245,514
12,12_0,ABANDONED,SOBOL,,,,2596,7,39,341,998
13,13_0,ABANDONED,SOBOL,,,,1277,2,407,1769,1711
14,14_0,ABANDONED,SOBOL,,,,1148,6,198,772,1237
15,15_0,ABANDONED,SOBOL,,,,4982,3,326,1337,461
16,16_0,ABANDONED,SOBOL,,,,4757,6,84,41,1940
17,17_0,ABANDONED,SOBOL,,,,1059,3,456,1599,726
18,18_0,ABANDONED,SOBOL,,,,1520,7,180,597,201
19,19_0,ABANDONED,SOBOL,,,,2665,2,313,1044,1477
20,20_0,ABANDONED,SOBOL,,,,3314,9,434,1385,1024
21,21_0,ABANDONED,SOBOL,,,,2111,0,59,943,310
22,22_0,ABANDONED,SOBOL,,,,468,5,335,1937,773
23,23_0,ABANDONED,SOBOL,,,,4107,4,205,391,1549
24,24_0,ABANDONED,SOBOL,,,,3993,8,368,844,563
25,25_0,ABANDONED,SOBOL,,,,192,1,235,1266,1849
26,26_0,ABANDONED,SOBOL,,,,2231,7,401,271,1327
27,27_0,FAILED,SOBOL,,,,3585,2,30,1838,105
28,28_0,FAILED,SOBOL,,,,2936,5,151,1746,401
29,29_0,ABANDONED,SOBOL,,,,1640,4,280,175,1187
