trial_index,arm_name,trial_status,generation_node,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
0,0_0,FAILED,SOBOL,3160,0.598540003299713130324732901499,0.401816046774387369833192451551,2289,4712,2946
1,1_0,FAILED,SOBOL,1781,0.333479172911494980979796309839,0.531601876473054235638926456886,3166,700,1055
2,2_0,FAILED,SOBOL,1,0.971374229487031670693397700234,0.230660694535821664263863794986,461,2022,1620
3,3_0,FAILED,SOBOL,4902,0.207224740704521542822291735320,0.827994548270478802898253434250,3764,3546,4722
4,4_0,FAILED,SOBOL,3876,0.817972050797194261129163805890,0.647801368407905142632330353081,4487,2684,3371
5,5_0,FAILED,SOBOL,1183,0.116487018143758183641445214107,0.293901251306757316239526289792,988,1789,308
6,6_0,FAILED,SOBOL,2024,0.688090048020705613573966274998,0.974878999810665836101009062986,2638,609,2046
7,7_0,FAILED,SOBOL,3072,0.485145194809883828490626456187,0.091086318934336302222121162231,1567,4021,3976
8,8_0,FAILED,SOBOL,2690,0.879599145993590347814006236149,0.936288860816508528017720891512,782,1218,4548
9,9_0,FAILED,SOBOL,2252,0.177657149942591796598634346083,0.005421822892501950569288382553,4985,4623,1483
10,10_0,FAILED,SOBOL,790,0.503662186445668291767674418224,0.701993273064494105462074458046,1460,3284,877
11,11_0,FAILED,SOBOL,4112,0.301174296632409077556502552397,0.363980102239176650513741151372,3078,2402,2810
12,12_0,FAILED,SOBOL,4650,0.661937397139146899149864111678,0.175711123887449499614277215187,3606,1368,4114
13,13_0,FAILED,SOBOL,408,0.396785051196813565166365833647,0.757713982226327020796929900825,2181,2910,2221
14,14_0,FAILED,SOBOL,1559,0.781277625262737251965461382497,0.441178972214460396461532809553,4261,4068,443
15,15_0,FAILED,SOBOL,3539,0.017219628797844051953935817778,0.617483434868976499565462745522,256,53,3547
16,16_0,FAILED,SOBOL,3653,0.773456113997846861352059022465,0.053748508224263788490837612244,2665,3684,2476
17,17_0,FAILED,SOBOL,1252,0.040638912765309218033671356807,0.887108916398137825609637729940,1862,2157,4335
18,18_0,FAILED,SOBOL,532,0.654142323432490235823877355870,0.319673204695805901476290955543,4587,838,3653
19,19_0,FAILED,SOBOL,4411,0.420169867072254399342767783310,0.747396130271255954014009148523,1210,4848,505
20,20_0,FAILED,SOBOL,4324,0.558288035495206669267531651712,0.806985296273604046923821897508,488,3843,1339
21,21_0,FAILED,SOBOL,776,0.262138665635138767839862339315,0.127536721270531422378624597513,4059,434,4526
22,22_0,FAILED,SOBOL,2434,0.934137168515473570451490559208,0.572232860377058338841038676037,2389,1612,2515
23,23_0,FAILED,SOBOL,2627,0.138716424239799379636295384444,0.485577239386737358195489377977,3388,2509,695
24,24_0,FAILED,SOBOL,2863,0.742628100285306569361409856356,0.518497714636847351066251121665,4166,2266,17
