trial_index,arm_name,trial_status,generation_node,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
0,0_0,FAILED,SOBOL,997,1230,100,663,0.227037263780832304638224172777
1,1_0,FAILED,SOBOL,3467,2589,21,211,0.508313316397368875065865267970
2,2_0,FAILED,SOBOL,4256,2173,67,972,0.920952863067388549644931572402
3,3_0,FAILED,SOBOL,1789,4167,40,395,0.313368986574932950617267124471
4,4_0,FAILED,SOBOL,2341,1375,6,275,0.412176026500761516491166958076
5,5_0,FAILED,SOBOL,4799,4926,76,852,0.822146432867273735389801458950
6,6_0,FAILED,SOBOL,3071,460,36,92,0.731855010939762018473686566722
7,7_0,FAILED,SOBOL,612,3397,60,544,0.003495941951870918263517440394
8,8_0,FAILED,SOBOL,73,2467,31,806,0.575556133201345798688919330743
9,9_0,FAILED,SOBOL,2535,3832,52,323,0.159788752175867548865895173549
10,10_0,FAILED,SOBOL,4558,930,11,622,0.255860849753022201458207973701
11,11_0,FAILED,SOBOL,2093,2930,84,14,0.978451497090980448767538746324
12,12_0,FAILED,SOBOL,1396,136,75,133,0.764637336842715731322073224874
13,13_0,FAILED,SOBOL,3850,3684,45,741,0.469675589984282826350181494490
14,14_0,FAILED,SOBOL,3390,1702,92,441,0.070739703087136146519853241443
15,15_0,FAILED,SOBOL,937,4635,16,924,0.664605524331331243281795195799
16,16_0,FAILED,SOBOL,682,1861,55,99,0.344219409566372647191201394890
17,17_0,FAILED,SOBOL,3137,4477,28,520,0.889126585224643384286480340961
18,18_0,FAILED,SOBOL,3907,286,88,283,0.539164514558389762477474960178
19,19_0,FAILED,SOBOL,1455,3535,8,829,0.195213661853224029751885382211
20,20_0,FAILED,SOBOL,1997,781,48,964,0.034286829316988585991676785625
21,21_0,FAILED,SOBOL,4460,3079,72,418,0.700091005053371184807531335537
22,22_0,FAILED,SOBOL,2751,2308,19,656,0.852934403587132683455251935811
23,23_0,FAILED,SOBOL,287,3991,89,235,0.380411011220887329553619338185
24,24_0,FAILED,SOBOL,359,624,24,496,0.946624258186668177117439881840
25,25_0,FAILED,SOBOL,2815,3233,97,886,0.286716040873900068763902027058
26,26_0,FAILED,SOBOL,4858,1529,44,187,0.127958481373265375857783965330
27,27_0,FAILED,SOBOL,2398,4772,64,702,0.606410192240029566335124400211
28,28_0,FAILED,SOBOL,1691,2019,79,568,0.632836768904700863735968141555
29,29_0,FAILED,SOBOL,4160,4321,3,53,0.101531532924622303060147032738
