trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
0,0_0,FAILED,SOBOL,,,,701,4662,2914,0.914441393971443194921278063703,0.2
1,1_0,FAILED,SOBOL,,,,4590,2238,2490,0.267462178053334331817580959978,0.3
2,2_0,FAILED,SOBOL,,,,2832,3132,4838,0.668692296437919164731056298479,0.5
3,3_0,FAILED,SOBOL,,,,1756,1181,584,0.021756875742226840925175324060,0.00001
4,4_0,FAILED,SOBOL,,,,2467,2693,1720,0.216584046211093672607006510589,0.001
5,5_0,FAILED,SOBOL,,,,3583,429,3484,0.598835928469896305870179276098,0.000001
6,6_0,FAILED,SOBOL,,,,4013,3891,1145,0.462081870758905999263532748955,0.00000000001
7,7_0,FAILED,SOBOL,,,,84,1779,4078,0.844289971737191113909659634373,0.000000000001
8,8_0,FAILED,SOBOL,,,,430,3497,927,0.524013747949153230187846475019,0.0000000001
9,9_0,FAILED,SOBOL,,,,4359,922,3851,0.157888646088540557377299933250,0.00000000001
10,10_0,FAILED,SOBOL,,,,3226,4961,1523,0.777310343595221664436678565835,0.2
11,11_0,FAILED,SOBOL,,,,2110,1911,3276,0.411137653386220325302247147192,0.00001
12,12_0,FAILED,SOBOL,,,,1477,4150,4421,0.356420098243281247007985257369,0.000001
13,13_0,COMPLETED,SOBOL,0.709999999999999964472863211995,10628.000000000000000000000000000000,1.000000000000000000000000000000,2553,1413,157,0.957059629196301053788431545399,0.00000001
14,14_0,FAILED,SOBOL,,,,4858,3019,2516,0.102872228682041169656180557013,0.6
15,15_0,FAILED,SOBOL,,,,969,131,2083,0.703559347983449656638299529732,0.01
16,16_0,FAILED,SOBOL,,,,1207,2892,4034,0.495143196366727378343597365529,0.9
17,17_0,FAILED,SOBOL,,,,4783,159,720,0.815157627541571838669653971010,0.7
18,18_0,FAILED,SOBOL,,,,2791,4277,3362,0.249704383229836818225422234718,0.5
19,19_0,FAILED,SOBOL,,,,1402,1385,1374,0.569644576581195050124506451539,0.8
20,20_0,COMPLETED,SOBOL,0.729999999999999982236431605997,11912.000000000000000000000000000000,0.810000000000000053290705182008,1882,4756,72,0.639407671386375997535367332603,0.000000000001
21,21_0,FAILED,SOBOL,,,,3310,2175,4570,0.054909572837874294493065718825,0.000000001
