trial_index,arm_name,trial_status,generation_node,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
0,0_0,FAILED,SOBOL,3387,4798,83,366,0.125703653410077081931106590673
1,1_0,FAILED,SOBOL,2281,2234,2,525,0.647488631166517780712865715032
2,2_0,FAILED,SOBOL,595,2599,58,190,0.920357735451310832175408904732
3,3_0,FAILED,SOBOL,3903,57,26,920,0.320582303876057295166646099460
4,4_0,FAILED,SOBOL,4480,3231,21,777,0.410693675473332409087134919901
5,5_0,FAILED,SOBOL,1191,676,89,116,0.824524366868659819296283330914
6,6_0,FAILED,SOBOL,1687,4177,45,671,0.613912031562998894429483698332
7,7_0,FAILED,SOBOL,2812,1605,64,440,0.153306938428431738241641824061
8,8_0,FAILED,SOBOL,2956,3030,41,9,0.692339720062911556652807121282
9,9_0,FAILED,SOBOL,1542,564,72,852,0.045827526157721877597683857175
10,10_0,FAILED,SOBOL,709,4601,16,435,0.271840436229482285135361507855
11,11_0,FAILED,SOBOL,4959,2118,97,707,0.996327737640589461420859151985
12,12_0,FAILED,SOBOL,4365,3983,53,598,0.779680936722084827472656343161
13,13_0,FAILED,SOBOL,134,1486,35,261,0.490562115162611001029091539749
14,14_0,FAILED,SOBOL,2119,3660,78,954,0.202056464824825532389240834164
15,15_0,FAILED,SOBOL,3552,1185,9,187,0.537934340881183747917759774282
16,16_0,FAILED,SOBOL,3622,3514,74,637,0.368998721128329654206368104497
17,17_0,FAILED,SOBOL,1891,1019,42,474,0.891010932318866299972626165982
18,18_0,FAILED,SOBOL,204,3817,98,813,0.664865998040884753628176895290
19,19_0,FAILED,SOBOL,4137,1340,17,79,0.064891409227624541333767638207
20,20_0,FAILED,SOBOL,4714,4435,36,226,0.159114652067422868153556692050
21,21_0,FAILED,SOBOL,800,1971,55,884,0.572717633215710564265066295775
22,22_0,FAILED,SOBOL,1297,2884,11,332,0.861119812356308078626909718878
23,23_0,FAILED,SOBOL,3047,398,80,559,0.400713400576263645280761238610
24,24_0,FAILED,SOBOL,2565,4324,7,990,0.939790930129587698260706929432
25,25_0,FAILED,SOBOL,1776,1771,88,151,0.292990588774904636704121685398
26,26_0,FAILED,SOBOL,943,3397,31,564,0.020017537409439685458512059313
27,27_0,FAILED,SOBOL,4569,822,62,296,0.744764909144491005221766499744
28,28_0,FAILED,SOBOL,3975,2765,94,401,0.523945323897525683243259209121
29,29_0,FAILED,SOBOL,369,204,25,741,0.235115125671029101539488692652
30,30_0,FAILED,SOBOL,2353,4944,69,45,0.445594960886985080872335629465
31,31_0,FAILED,SOBOL,3161,2400,50,816,0.781213242502883042917005695926
32,32_0,FAILED,SOBOL,3221,2553,14,540,0.139604703517630684972417043355
33,33_0,FAILED,SOBOL,2447,104,96,320,0.599959725458174997214655377320
34,34_0,FAILED,SOBOL,468,4727,39,903,0.841646055117249436428039643943
35,35_0,FAILED,SOBOL,4030,2305,70,238,0.428048793865367760425044707517
36,36_0,FAILED,SOBOL,4626,4112,77,67,0.333924525495618573778244808636
37,37_0,FAILED,SOBOL,1045,1671,8,793,0.933939097816124608186783007113
38,38_0,FAILED,SOBOL,1872,3180,51,486,0.629767084350809414061700408638
39,39_0,FAILED,SOBOL,2627,727,33,657,0.107730132795870306439134367338
40,40_0,FAILED,SOBOL,3102,4614,60,835,0.551278711412101940503305286256
41,41_0,FAILED,SOBOL,1396,2106,28,57,0.215635678278282283404365671231
42,42_0,FAILED,SOBOL,894,3057,84,722,0.472838910190388539422912117516
43,43_0,FAILED,SOBOL,4774,537,3,389,0.761709073334932318388723615499
44,44_0,FAILED,SOBOL,4199,3692,47,308,0.982627651641145294370005558449
45,45_0,FAILED,SOBOL,300,1153,66,584,0.257885981213301418435435152787
46,46_0,FAILED,SOBOL,1992,3991,22,139,0.062947556249797337324380919199
47,47_0,FAILED,SOBOL,3679,1479,91,970,0.709696496611461058456882255996
48,48_0,FAILED,SOBOL,3456,3844,30,459,0.383355666683986795462146801583
49,49_0,FAILED,SOBOL,2057,1313,61,683,0.844000739607959959975858055259
50,50_0,FAILED,SOBOL,77,3526,5,96,0.586671127170324324673345017800
51,51_0,FAILED,SOBOL,4264,1007,86,765,0.172815699128434058229331071743
52,52_0,FAILED,SOBOL,4860,2891,67,931,0.082864215087145573490623462476
53,53_0,FAILED,SOBOL,654,391,49,210,0.682588260540738733794796644361
54,54_0,FAILED,SOBOL,1482,4467,92,513,0.877432665055617677651866870292
55,55_0,FAILED,SOBOL,2862,1940,23,347,0.355653404407203221904154588628
56,56_0,FAILED,SOBOL,2711,3327,100,168,0.799187721390277161503945535515
57,57_0,FAILED,SOBOL,1630,893,19,942,0.463315550358965988486659171031
58,58_0,FAILED,SOBOL,1129,4278,75,281,0.221534724367782487330913454571
59,59_0,FAILED,SOBOL,4383,1817,44,610,0.510602141216397242828861635644
60,60_0,FAILED,SOBOL,3809,4893,13,696,0.727408848280087116933145807707
61,61_0,FAILED,SOBOL,535,2451,82,415,0.002896791633218526781229362754
62,62_0,FAILED,SOBOL,2226,2700,37,864,0.306941948689520349713433233774
63,63_0,FAILED,SOBOL,3288,270,56,28,0.953494111230596907979872867145
64,64_0,FAILED,SOBOL,3325,3154,34,953,0.603714595789089814026340263808
65,65_0,FAILED,SOBOL,2259,754,53,158,0.128482680972665547214361936312
66,66_0,FAILED,SOBOL,493,4098,8,620,0.432593509949743770803820552828
67,67_0,FAILED,SOBOL,3762,1685,77,272,0.829848398854955981995829006337
68,68_0,FAILED,SOBOL,4415,4722,72,409,0.922753961224108909533470068709
69,69_0,FAILED,SOBOL,1166,2310,40,701,0.337620683701708890200876567178
70,70_0,FAILED,SOBOL,1583,2521,96,22,0.095994995726272458469452431018
71,71_0,FAILED,SOBOL,2669,136,15,869,0.634371107414364865384470704157
72,72_0,FAILED,SOBOL,2814,4062,88,672,0.204452683161944148704236567937
73,73_0,FAILED,SOBOL,1440,1408,20,469,0.554972728142514859506206903461
74,74_0,FAILED,SOBOL,687,3736,63,755,0.749972270673140872787598709692
75,75_0,FAILED,SOBOL,4898,1109,44,105,0.477444598846137546743761959078
76,76_0,FAILED,SOBOL,4222,3110,1,216,0.261642993019893743689152643128
77,77_0,FAILED,SOBOL,30,484,82,926,0.971503487620502759192220310069
78,78_0,FAILED,SOBOL,2094,4679,26,353,0.714239547103643457326427324006
79,79_0,FAILED,SOBOL,3488,2040,57,508,0.051151565579697487462507154987
80,80_0,FAILED,SOBOL,3716,4513,25,51,0.854805585810914592137521594850
81,81_0,FAILED,SOBOL,2024,1894,93,841,0.379802808891981813488314401184
82,82_0,FAILED,SOBOL,259,2964,49,383,0.184897695772349823783997635473
83,83_0,FAILED,SOBOL,4153,318,68,727,0.581955330973491058443869405892
84,84_0,FAILED,SOBOL,4806,3590,87,594,0.678972764585167198880810701667
