trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
0,0_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2396,2081,1.127657700121402761794797697803,0.010510845586657524206031233405,False,False
1,1_0,COMPLETED,SOBOL,0.910000000000000031086244689504,99.000000000000000000000000000000,0.000000000000000000000000000000,4153,4882,9.742891303819604331692971754819,0.028396456387825310535566458725,True,True
2,2_0,COMPLETED,SOBOL,0.910000000000000031086244689504,70.000000000000000000000000000000,0.000000000000000000000000000000,3728,1078,2.735877071755007161613093558117,0.014254893206059934124274590772,True,True
3,3_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,331,3215,6.395573952240869886054497328587,0.044708956320770085191007581216,False,False
4,4_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,640,213,8.101104332842863797736754349899,0.042195859871804713980836254450,False,False
5,5_0,COMPLETED,SOBOL,0.910000000000000031086244689504,99.000000000000000000000000000000,0.000000000000000000000000000000,2793,2996,1.673287780334241636737147018721,0.022956551809795201768427119760,True,True
6,6_0,COMPLETED,SOBOL,0.910000000000000031086244689504,100.000000000000000000000000000000,0.000000000000000000000000000000,4467,1714,5.849922407189384720993530208943,0.032069489464163783432049115163,True,True
7,7_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1457,3833,4.377685498258099272561594261788,0.000648447838611900862805514922,False,False
8,8_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1769,665,5.522165858992376108460575778736,0.019435006298590452172847520274,True,False
9,9_0,COMPLETED,SOBOL,0.910000000000000031086244689504,70.000000000000000000000000000000,0.000000000000000000000000000000,4781,3486,4.098738186557778107044214266352,0.038094134814571592451137860280,False,True
10,10_0,COMPLETED,SOBOL,0.910000000000000031086244689504,70.000000000000000000000000000000,0.000000000000000000000000000000,3105,2435,8.419091464707626926156081026420,0.004568259805906563567057254716,False,True
11,11_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,953,4669,1.962004508366808286368154767842,0.035795654758345341051040122693,True,False
12,12_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,0.000000000000000000000000000000,18,1277,3.706894158081151857686563744210,0.026322139531839639642329942149,True,False
13,13_0,COMPLETED,SOBOL,0.910000000000000031086244689504,80.000000000000000000000000000000,0.000000000000000000000000000000,3416,4119,7.317753194701858809878558531636,0.007856186910998076700085590574,False,True
14,14_0,COMPLETED,SOBOL,0.910000000000000031086244689504,112.000000000000000000000000000000,0.000000000000000000000000000000,3840,552,0.166400485025718830600638398209,0.047181468822527682094314371852,False,True
15,15_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2084,2808,8.810952180815860401708050630987,0.016533968515228480988810133567,True,False
16,16_0,COMPLETED,SOBOL,0.910000000000000031086244689504,82.000000000000000000000000000000,0.000000000000000000000000000000,1986,383,3.857636030082590927747787645785,0.033017467298544947440497310254,False,True
17,17_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3976,2503,5.276331268989481237952077208320,0.002756781999021768771174212276,True,False
18,18_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3162,1543,2.202939788525924313944415189326,0.043193738327361647089119855991,True,False
19,19_0,COMPLETED,SOBOL,0.910000000000000031086244689504,100.000000000000000000000000000000,0.000000000000000000000000000000,311,4326,8.665092931026592282250931020826,0.025114786591380836716647095841,False,True
20,20_0,COMPLETED,SOBOL,0.910000000000000031086244689504,130.000000000000000000000000000000,0.000000000000000000000000000000,1246,2252,6.915458946672268680799788853619,0.015253869221545757195457326816,False,True
