trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
0,0_0,ABANDONED,SOBOL,,,,3133,84,241,144,220
1,1_0,ABANDONED,SOBOL,,,,2253,2586,882,18,110
2,2_0,COMPLETED,SOBOL,0.479999999999999982236431605997,7253.000000000000000000000000000000,0.940000000000000057731597280508,1016,2081,469,191,3
3,3_0,ABANDONED,SOBOL,,,,4394,4583,670,64,137
4,4_0,ABANDONED,SOBOL,,,,4292,1788,792,108,184
5,5_0,COMPLETED,SOBOL,0.280000000000000026645352591004,6459.000000000000000000000000000000,0.640000000000000013322676295502,171,4285,90,234,50
6,6_0,ABANDONED,SOBOL,,,,1408,1050,504,61,94
7,7_0,ABANDONED,SOBOL,,,,3030,3548,361,188,204
8,8_0,COMPLETED,SOBOL,0.330000000000000015543122344752,3466.000000000000000000000000000000,0.800000000000000044408920985006,2758,2191,581,250,111
9,9_0,ABANDONED,SOBOL,,,,1839,4693,283,124,249
10,10_0,COMPLETED,SOBOL,0.119999999999999995559107901499,1485.000000000000000000000000000000,0.230000000000000009992007221626,597,604,868,173,144
11,11_0,ABANDONED,SOBOL,,,,4820,921,391,2,45
12,12_0,ABANDONED,SOBOL,,,,739,3419,748,128,159
13,13_0,COMPLETED,SOBOL,0.390000000000000013322676295502,7152.000000000000000000000000000000,0.839999999999999968913755310496,3564,3785,961,206,65
14,14_0,ABANDONED,SOBOL,,,,3682,1542,270,56,128
15,15_0,COMPLETED,SOBOL,0.340000000000000024424906541753,5810.000000000000000000000000000000,0.880000000000000004440892098501,2178,4043,595,178,14
16,16_0,ABANDONED,SOBOL,,,,4939,3130,824,225,233
17,17_0,ABANDONED,SOBOL,,,,3898,349,704,196,217
18,18_0,ABANDONED,SOBOL,,,,403,2848,435,74,80
19,19_0,COMPLETED,SOBOL,0.380000000000000004440892098501,5710.000000000000000000000000000000,0.700000000000000066613381477509,1645,2483,974,150,61
20,20_0,COMPLETED,SOBOL,0.390000000000000013322676295502,3243.000000000000000000000000000000,0.810000000000000053290705182008,2833,1144,927,90,20
21,21_0,COMPLETED,SOBOL,0.300000000000000044408920985006,5193.000000000000000000000000000000,0.619999999999999995559107901499,1290,3645,196,212,154
22,22_0,ABANDONED,SOBOL,,,,53,1647,656,11,235
23,23_0,COMPLETED,SOBOL,0.110000000000000000555111512313,5763.000000000000000000000000000000,0.250000000000000000000000000000,4095,4148,483,135,125
24,24_0,COMPLETED,SOBOL,0.359999999999999986677323704498,4652.000000000000000000000000000000,0.780000000000000026645352591004,4588,1987,104,162,78
25,25_0,ABANDONED,SOBOL,,,,1132,4486,778,40,188
26,26_0,COMPLETED,SOBOL,0.110000000000000000555111512313,960.000000000000000000000000000000,0.500000000000000000000000000000,2369,224,316,240,169
27,27_0,COMPLETED,SOBOL,0.400000000000000022204460492503,6161.000000000000000000000000000000,0.760000000000000008881784197001,3327,2724,549,118,35
28,28_0,ABANDONED,SOBOL,,,,3423,2142,850,29,210
29,29_0,COMPLETED,SOBOL,0.140000000000000013322676295502,778.000000000000000000000000000000,0.289999999999999980015985556747,1184,67,576,76,53
30,30_0,COMPLETED,SOBOL,0.179999999999999993338661852249,3878.000000000000000000000000000000,0.369999999999999995559107901499,4681,2568,313,202,183
31,31_0,COMPLETED,SOBOL,0.309999999999999997779553950750,2402.000000000000000000000000000000,0.790000000000000035527136788005,4158,989,184,223,136
32,32_0,COMPLETED,SOBOL,0.359999999999999986677323704498,5285.000000000000000000000000000000,0.660000000000000031086244689504,153,3487,948,96,6
33,33_0,COMPLETED,SOBOL,0.340000000000000024424906541753,3364.000000000000000000000000000000,0.650000000000000022204460492503,1396,1804,392,176,103
34,34_0,ABANDONED,SOBOL,,,,2900,4302,722,50,225
35,35_0,COMPLETED,SOBOL,0.190000000000000002220446049250,1280.000000000000000000000000000000,0.530000000000000026645352591004,2545,504,440,112,70
36,36_0,COMPLETED,SOBOL,0.260000000000000008881784197001,4669.000000000000000000000000000000,0.540000000000000035527136788005,1588,3005,675,239,196
37,37_0,ABANDONED,SOBOL,,,,350,2325,232,34,162
38,38_0,COMPLETED,SOBOL,0.410000000000000031086244689504,10455.000000000000000000000000000000,0.839999999999999968913755310496,3808,4827,900,160,43
39,39_0,COMPLETED,SOBOL,0.410000000000000031086244689504,6678.000000000000000000000000000000,0.890000000000000013322676295502,4877,1387,530,141,28
40,40_0,ABANDONED,SOBOL,,,,833,3885,359,13,146
41,41_0,ABANDONED,SOBOL,,,,2072,786,805,218,243
42,42_0,COMPLETED,SOBOL,0.059999999999999997779553950750,1538.000000000000000000000000000000,0.130000000000000004440892098501,3498,763,626,182,177
43,43_0,COMPLETED,SOBOL,0.070000000000000006661338147751,4445.000000000000000000000000000000,0.020000000000000000416333634234,1878,3264,489,59,58
44,44_0,COMPLETED,SOBOL,0.340000000000000024424906541753,2714.000000000000000000000000000000,0.670000000000000039968028886506,639,1442,917,228,86
45,45_0,ABANDONED,SOBOL,,,,4761,3942,214,106,212
46,46_0,ABANDONED,SOBOL,,,,3926,2348,342,70,228
47,47_0,COMPLETED,SOBOL,0.320000000000000006661338147751,7205.000000000000000000000000000000,0.650000000000000022204460492503,547,4847,548,193,102
48,48_0,COMPLETED,SOBOL,0.239999999999999991118215802999,2144.000000000000000000000000000000,0.419999999999999984456877655248,1785,449,117,24,12
49,49_0,COMPLETED,SOBOL,0.149999999999999994448884876874,4341.000000000000000000000000000000,0.280000000000000026645352591004,2663,2948,756,145,130
