trial_index,arm_name,trial_status,generation_node,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
0,0_0,ABANDONED,SOBOL,3389,1,448,919,1725
1,1_0,FAILED,SOBOL,1942,3,77,1829,118
2,2_0,ABANDONED,SOBOL,240,0,324,64,896
3,3_0,ABANDONED,SOBOL,3797,4,200,1185,1260
4,4_0,ABANDONED,SOBOL,4913,0,41,1465,1097
5,5_0,ABANDONED,SOBOL,1048,4,422,283,746
6,6_0,FAILED,SOBOL,1773,2,167,1547,267
7,7_0,ABANDONED,SOBOL,2904,2,295,701,1888
8,8_0,ABANDONED,SOBOL,2700,1,152,449,183
9,9_0,ABANDONED,SOBOL,1332,3,279,1303,1535
10,10_0,ABANDONED,SOBOL,842,1,24,539,1446
11,11_0,ABANDONED,SOBOL,4475,3,407,1713,834
12,12_0,ABANDONED,SOBOL,4313,2,371,1933,562
13,13_0,ABANDONED,SOBOL,368,2,247,819,1156
14,14_0,ABANDONED,SOBOL,2461,0,494,1086,1825
15,15_0,ABANDONED,SOBOL,3515,4,124,167,455
16,16_0,ABANDONED,SOBOL,3691,0,254,1621,1360
17,17_0,ABANDONED,SOBOL,2245,4,129,627,984
18,18_0,ABANDONED,SOBOL,582,2,382,1391,3
19,19_0,ABANDONED,SOBOL,4138,2,2,357,1653
20,20_0,ABANDONED,SOBOL,4572,1,224,13,1988
21,21_0,ABANDONED,SOBOL,705,3,347,1236,355
22,22_0,ABANDONED,SOBOL,1469,1,102,969,631
23,23_0,ABANDONED,SOBOL,2602,3,470,1778,1025
24,24_0,ABANDONED,SOBOL,3042,2,86,1027,793
25,25_0,ABANDONED,SOBOL,1673,2,455,226,1425
26,26_0,ABANDONED,SOBOL,1143,0,209,1991,1592
27,27_0,FAILED,SOBOL,4778,4,331,761,189
28,28_0,ABANDONED,SOBOL,4010,0,429,605,415
29,29_0,ABANDONED,SOBOL,66,4,49,1647,1804
30,30_0,ABANDONED,SOBOL,2119,1,302,382,1213
31,31_0,ABANDONED,SOBOL,3172,3,175,1370,568
32,32_0,ABANDONED,SOBOL,3275,0,18,1783,1926
33,33_0,ABANDONED,SOBOL,2066,4,397,965,291
34,34_0,ABANDONED,SOBOL,129,1,144,1201,695
35,35_0,ABANDONED,SOBOL,3917,3,271,48,1086
36,36_0,ABANDONED,SOBOL,4714,2,486,330,1298
37,37_0,ABANDONED,SOBOL,1236,2,117,1418,920
38,38_0,FAILED,SOBOL,1570,0,362,685,66
39,39_0,ABANDONED,SOBOL,3096,4,240,1563,1715
40,40_0,ABANDONED,SOBOL,2519,1,316,1319,478
41,41_0,ABANDONED,SOBOL,1542,3,193,433,1865
42,42_0,ABANDONED,SOBOL,661,0,438,1666,1151
43,43_0,ABANDONED,SOBOL,4684,4,71,586,504
44,44_0,ABANDONED,SOBOL,4182,0,160,803,857
45,45_0,ABANDONED,SOBOL,470,4,286,1948,1486
46,46_0,ABANDONED,SOBOL,2328,2,33,214,1530
47,47_0,FAILED,SOBOL,3617,2,413,1039,126
48,48_0,ABANDONED,SOBOL,3558,1,215,736,1034
49,49_0,ABANDONED,SOBOL,2348,3,340,1512,685
50,50_0,ABANDONED,SOBOL,451,0,93,279,329
51,51_0,ABANDONED,SOBOL,4240,4,463,1469,1952
52,52_0,ABANDONED,SOBOL,4391,1,310,1126,1662
53,53_0,ABANDONED,SOBOL,915,3,183,122,57
54,54_0,ABANDONED,SOBOL,1288,1,438,1856,958
55,55_0,ABANDONED,SOBOL,2812,3,55,891,1323
56,56_0,ABANDONED,SOBOL,2840,0,391,147,624
57,57_0,ABANDONED,SOBOL,1865,4,9,1105,1220
58,58_0,ABANDONED,SOBOL,945,2,264,870,1762
59,59_0,FAILED,SOBOL,4966,2,135,1882,394
60,60_0,FAILED,SOBOL,3899,1,108,1725,245
61,61_0,ABANDONED,SOBOL,186,3,479,527,1599
62,62_0,ABANDONED,SOBOL,2005,0,232,1260,1383
63,63_0,ABANDONED,SOBOL,3296,4,355,492,773
64,64_0,ABANDONED,SOBOL,3336,0,244,1122,298
65,65_0,ABANDONED,SOBOL,1971,4,375,126,1920
66,66_0,ABANDONED,SOBOL,234,2,120,1891,1066
67,67_0,ABANDONED,SOBOL,3866,2,498,856,715
68,68_0,ABANDONED,SOBOL,4927,1,276,513,927
69,69_0,ABANDONED,SOBOL,980,3,155,1735,1291
70,70_0,ABANDONED,SOBOL,1817,0,402,470,1694
71,71_0,FAILED,SOBOL,2874,4,28,1278,86
72,72_0,ABANDONED,SOBOL,2765,2,418,1526,1856
73,73_0,ABANDONED,SOBOL,1320,2,44,726,487
74,74_0,ABANDONED,SOBOL,874,0,291,1490,531
75,75_0,ABANDONED,SOBOL,4427,4,171,262,1125
76,76_0,ABANDONED,SOBOL,4287,0,73,104,1477
77,77_0,ABANDONED,SOBOL,419,3,451,1148,865
78,78_0,FAILED,SOBOL,2389,1,196,881,152
79,79_0,ABANDONED,SOBOL,3522,3,328,1870,1504
80,80_0,ABANDONED,SOBOL,3658,1,52,420,663
81,81_0,ABANDONED,SOBOL,2292,3,425,1328,1056
82,82_0,ABANDONED,SOBOL,517,1,180,564,1957
83,83_0,FAILED,SOBOL,4150,3,298,1684,324
84,84_0,FAILED,SOBOL,4643,0,458,1966,34
85,85_0,ABANDONED,SOBOL,697,4,82,782,1685
86,86_0,ABANDONED,SOBOL,1496,1,335,1048,1328
87,87_0,ABANDONED,SOBOL,2551,3,205,200,953
88,88_0,ABANDONED,SOBOL,3048,0,350,948,1244
89,89_0,ABANDONED,SOBOL,1604,4,221,1804,599
90,90_0,ABANDONED,SOBOL,1197,1,474,38,383
91,91_0,ABANDONED,SOBOL,4749,3,97,1214,1773
92,92_0,ABANDONED,SOBOL,3965,2,133,1432,1623
93,93_0,ABANDONED,SOBOL,96,2,251,320,220
94,94_0,ABANDONED,SOBOL,2106,0,6,1584,762
95,95_0,ABANDONED,SOBOL,3240,4,377,668,1394
96,96_0,ABANDONED,SOBOL,3127,2,283,235,97
97,97_0,ABANDONED,SOBOL,2149,2,164,1013,1746
98,98_0,ABANDONED,SOBOL,23,0,409,778,1267
99,99_0,ABANDONED,SOBOL,4048,4,37,1970,889
100,100_0,ABANDONED,SOBOL,4822,0,190,1625,726
101,101_0,ABANDONED,SOBOL,1114,4,319,623,1117
102,102_0,ABANDONED,SOBOL,1716,1,66,1356,1895
103,103_0,ABANDONED,SOBOL,3004,3,443,392,260
104,104_0,ABANDONED,SOBOL,2644,0,113,648,1561
