trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
0,0_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,165,3613,952,249,15
1,1_0,ABANDONED,SOBOL,,,,4296,1227,226,11,141
2,2_0,ABANDONED,SOBOL,,,,3120,4355,737,173,235
3,3_0,ABANDONED,SOBOL,,,,1488,1736,464,71,111
4,4_0,ABANDONED,SOBOL,,,,3374,2466,786,129,195
5,5_0,ABANDONED,SOBOL,,,,4551,3088,298,59,181
6,6_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,0.000000000000000000000000000000,1161,474,528,201,55
7,7_0,ABANDONED,SOBOL,,,,835,3954,369,145,151
8,8_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4866,1491,582,99,25
9,9_0,ABANDONED,SOBOL,,,,2168,826,857,42,226
10,10_0,ABANDONED,SOBOL,,,,1835,2706,682,26,205
11,11_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,0.800000000000000044408920985006,2782,248,394,234,80
12,12_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,0.000000000000000000000000000000,3949,4620,882,86,46
13,13_0,ABANDONED,SOBOL,,,,426,4520,604,51,119
14,14_0,ABANDONED,SOBOL,,,,3874,1901,316,193,244
15,15_0,ABANDONED,SOBOL,,,,2542,2528,835,123,132
16,16_0,COMPLETED,SOBOL,0.920000000000000039968028886506,9.000000000000000000000000000000,0.880000000000000004440892098501,1593,143,124,136,7
17,17_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1925,3272,415,182,49
18,18_0,ABANDONED,SOBOL,,,,3460,658,630,77,174
19,19_0,ABANDONED,SOBOL,,,,758,1400,934,2,77
20,20_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,0.000000000000000000000000000000,4464,388,989,166,110
21,21_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3141,4765,471,18,16
22,22_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2253,2302,699,227,142
23,23_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1257,4163,781,208,165
24,24_0,ABANDONED,SOBOL,,,,2887,1626,54,36,39
25,25_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4210,3499,533,151,87
26,26_0,ABANDONED,SOBOL,,,,81,1040,262,108,212
27,27_0,ABANDONED,SOBOL,,,,8,4228,87,8,62
28,28_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4141,1843,864,236,186
29,29_0,ABANDONED,SOBOL,,,,2964,3720,352,72,189
30,30_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1332,1101,575,188,64
31,31_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2328,2981,901,138,116
32,32_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4395,4973,663,191,135
33,33_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1004,2359,389,53,10
