trial_index,arm_name,trial_status,generation_method,result,n_samples,n_permutations,update_interval,n_consecutive_deviations
0,0_0,COMPLETED,Sobol,0.282299812754708723261387603998,479,19,144,3
1,1_0,COMPLETED,Sobol,0.290230201564048884144142448349,473,19,180,5
2,2_0,COMPLETED,Sobol,0.292102654477365386576082073589,964,14,131,5
3,3_0,COMPLETED,Sobol,0.290230201564048884144142448349,406,20,147,5
4,4_0,COMPLETED,Sobol,0.292763520211477001886635207484,280,49,225,5
5,5_0,COMPLETED,Sobol,0.281694019165106279700694358326,321,24,112,5
6,6_0,COMPLETED,Sobol,0.296233065315563370845097779238,399,14,212,5
7,7_0,COMPLETED,Sobol,0.310717039321511179217338849412,981,18,52,1
8,8_0,COMPLETED,Sobol,0.286044718581341506080661929445,286,24,81,4
9,9_0,COMPLETED,Sobol,0.290946139442669893249160395499,595,13,174,2
10,10_0,COMPLETED,Sobol,0.299206961119065972809494269313,234,31,238,4
11,11_0,COMPLETED,Sobol,0.299977971142196264686674567201,383,14,242,4
12,12_0,COMPLETED,Sobol,0.286265007159378748191613794916,729,39,171,1
13,13_0,COMPLETED,Sobol,0.289624407974446551605751665193,638,18,195,3
14,14_0,COMPLETED,Sobol,0.295021478136358594746013750409,719,32,61,5
15,15_0,COMPLETED,Sobol,0.284502698535080922326301333669,879,20,109,3
16,16_0,COMPLETED,Sobol,0.292322943055402628687033939059,348,29,219,5
17,17_0,COMPLETED,Sobol,0.303667804824319875756089004426,728,44,59,1
18,18_0,COMPLETED,Sobol,0.288853397951316259728571367305,986,18,127,3
19,19_0,COMPLETED,Sobol,0.284667914968608881665090848401,445,27,148,1
20,20_0,COMPLETED,BoTorch,0.280923009141975987823514060437,478,25,118,3
21,21_0,COMPLETED,BoTorch,0.282024452032162087355970925273,533,35,133,3
22,22_0,COMPLETED,BoTorch,0.289238902962881350156010284991,431,15,112,4
23,23_0,COMPLETED,BoTorch,0.290120057275030318599817746872,206,28,121,3
24,24_0,COMPLETED,BoTorch,0.288798325806806865934106554050,557,31,111,4
25,25_0,COMPLETED,BoTorch,0.289899768696993076488865881402,431,15,117,3
26,26_0,COMPLETED,BoTorch,0.286595440026434666869192824379,165,13,99,5
27,27_0,COMPLETED,BoTorch,0.288467892939751058278829987103,279,40,109,5
28,28_0,COMPLETED,BoTorch,0.278995484084150202619412084459,350,39,158,3
29,29_0,COMPLETED,BoTorch,0.286099790725850899875126742700,611,27,128,2
30,30_0,COMPLETED,BoTorch,0.292378015199911911459196289798,576,22,106,4
31,31_0,COMPLETED,BoTorch,0.284612842824099598892928497662,673,37,122,3
32,32_0,COMPLETED,BoTorch,0.288908470095825542500733718043,198,18,117,3
33,33_0,COMPLETED,BoTorch,0.281694019165106279700694358326,307,34,128,3
34,34_0,COMPLETED,BoTorch,0.291772221610309467898503044125,428,21,111,3
35,35_0,COMPLETED,BoTorch,0.291001211587179176021322746237,425,38,121,3
36,36_0,COMPLETED,BoTorch,0.278609979072585112191973166773,141,33,112,4
37,37_0,COMPLETED,BoTorch,0.284833131402136841003880363132,557,14,122,2
38,38_0,COMPLETED,BoTorch,0.290450490142086126255094313819,611,24,126,3
39,39_0,COMPLETED,BoTorch,0.287751955061130049173812039953,612,32,119,4
40,40_0,COMPLETED,BoTorch,0.284502698535080922326301333669,465,36,157,3
41,41_0,COMPLETED,BoTorch,0.287807027205639442968276853207,444,40,158,2
42,42_0,COMPLETED,BoTorch,0.275140433968498743233510595019,493,47,168,3
43,43_0,COMPLETED,BoTorch,0.290230201564048884144142448349,432,31,151,3
44,44_0,COMPLETED,BoTorch,0.286815728604471908980144689849,381,50,167,2
45,45_0,COMPLETED,BoTorch,0.289844696552483793716703530663,557,34,160,3
46,46_0,COMPLETED,BoTorch,0.289293975107390632928172635729,420,43,155,4
47,47_0,COMPLETED,BoTorch,0.288247604361713816167878121632,401,43,142,3
48,48_0,COMPLETED,BoTorch,0.294415684546756262207622967253,659,47,175,3
49,49_0,COMPLETED,BoTorch,0.287201233616036999407583607535,418,33,150,2
50,50_0,COMPLETED,BoTorch,0.279986782685317736607544247818,368,34,170,2
51,51_0,COMPLETED,BoTorch,0.282520101332745854350037006952,479,36,164,2
52,52_0,COMPLETED,BoTorch,0.282685317766273813688826521684,100,50,169,3
53,53_0,COMPLETED,BoTorch,0.290615706575614085593883828551,100,35,131,5
54,54_0,COMPLETED,BoTorch,0.290120057275030318599817746872,932,50,161,3
55,55_0,COMPLETED,BoTorch,0.284612842824099598892928497662,100,44,141,4
56,56_0,COMPLETED,BoTorch,0.294470756691265544979785317992,100,32,95,5
57,57_0,COMPLETED,BoTorch,0.276241876858684842765967459854,851,50,148,2
58,58_0,COMPLETED,BoTorch,0.295902632448507563189821212291,408,50,180,3
59,59_0,COMPLETED,BoTorch,0.288137460072695250623553420155,754,50,169,4
60,60_0,COMPLETED,BoTorch,0.292212798766383952120406775066,100,50,112,4
61,61_0,COMPLETED,BoTorch,0.287036017182509040068794092804,1000,32,158,2
62,62_0,COMPLETED,BoTorch,0.290946139442669893249160395499,100,50,155,5
63,63_0,COMPLETED,BoTorch,0.287917171494658008512601554685,100,27,122,5
64,64_0,COMPLETED,BoTorch,0.275140433968498743233510595019,679,50,161,3
65,65_0,COMPLETED,BoTorch,0.291111355876197852587949910230,563,50,196,2
66,66_0,COMPLETED,BoTorch,0.283566472078422782132633983565,1000,44,152,2
67,67_0,COMPLETED,BoTorch,0.297995373939861196710410240485,100,27,67,5
68,68_0,COMPLETED,BoTorch,0.279215772662187444730363949930,713,50,143,1
69,69_0,COMPLETED,BoTorch,0.285438924991739173542271146289,100,39,156,2
70,70_0,COMPLETED,BoTorch,0.285989646436832223308499578707,100,28,157,3
71,71_0,COMPLETED,BoTorch,0.289404119396409309494799799722,582,50,140,2
72,72_0,COMPLETED,BoTorch,0.285549069280757739086595847766,1000,50,130,2
73,73_0,COMPLETED,BoTorch,0.283346183500385540021682118095,100,32,169,1
74,74_0,COMPLETED,BoTorch,0.286595440026434666869192824379,1000,50,144,1
75,75_0,COMPLETED,BoTorch,0.286209935014869465419451444177,264,50,147,1
76,76_0,COMPLETED,BoTorch,0.291607005176781619582015991909,449,49,138,1
77,77_0,COMPLETED,BoTorch,0.291331644454235094698901775701,100,41,129,1
78,78_0,COMPLETED,BoTorch,0.287696882916620766401649689215,730,48,134,1
79,79_0,COMPLETED,BoTorch,0.286209935014869465419451444177,100,29,152,1
80,80_0,COMPLETED,BoTorch,0.281253442009031795478790627385,714,32,144,1
81,81_0,COMPLETED,BoTorch,0.274534640378896299672817349347,127,50,140,2
82,82_0,COMPLETED,BoTorch,0.277563608326908295431678652676,667,50,157,1
83,83_0,COMPLETED,BoTorch,0.278830267650622354302925032243,713,42,150,2
84,84_0,COMPLETED,BoTorch,0.286375151448397424758240958909,1000,30,144,1
85,85_0,COMPLETED,BoTorch,0.285879502147813657764174877229,1000,50,140,3
86,86_0,COMPLETED,BoTorch,0.289404119396409309494799799722,175,10,155,1
87,87_0,COMPLETED,BoTorch,0.282024452032162087355970925273,654,50,148,3
88,88_0,COMPLETED,BoTorch,0.279986782685317736607544247818,892,50,160,1
89,89_0,COMPLETED,BoTorch,0.290946139442669893249160395499,595,50,153,2
90,90_0,COMPLETED,BoTorch,0.293589602379116687558280318626,189,50,165,1
91,91_0,COMPLETED,BoTorch,0.300198259720233506797626432672,100,20,180,1
92,92_0,COMPLETED,BoTorch,0.290009912986011642033190582879,100,34,175,2
93,93_0,COMPLETED,BoTorch,0.301024341887873081446969081298,100,50,181,1
94,94_0,COMPLETED,BoTorch,0.284778059257627447209415549878,370,50,156,1
95,95_0,COMPLETED,BoTorch,0.289018614384844108045058419521,961,38,138,2
96,96_0,COMPLETED,BoTorch,0.292928736645004961225424722215,763,41,152,1
97,97_0,COMPLETED,BoTorch,0.282905606344311055799778387154,300,50,151,3
98,98_0,COMPLETED,BoTorch,0.294140323824209737324508751044,791,50,158,2
99,99_0,COMPLETED,BoTorch,0.289679480118955834377914015931,802,40,141,2
100,100_0,COMPLETED,BoTorch,0.289404119396409309494799799722,767,31,150,2
101,101_0,COMPLETED,BoTorch,0.276241876858684842765967459854,886,10,146,1
102,102_0,COMPLETED,BoTorch,0.273928846789293967134426566190,873,15,152,2
103,103_0,COMPLETED,BoTorch,0.287146161471527716635421256797,964,50,158,2
104,104_0,COMPLETED,BoTorch,0.285438924991739173542271146289,100,50,144,3
105,105_0,COMPLETED,BoTorch,0.292102654477365386576082073589,788,41,157,1
106,106_0,COMPLETED,BoTorch,0.286980945037999757296631742065,100,10,133,4
107,107_0,COMPLETED,BoTorch,0.291827293754818861692967857380,778,45,156,2
108,108_0,COMPLETED,BoTorch,0.287531666483092807062860174483,100,50,151,3
109,109_0,COMPLETED,BoTorch,0.291276572309725700904436962446,1000,50,175,1
