start_time,end_time,run_time,program_string,n_samples,n_clusters,threshold,result,exit_code,signal,hostname,OO_Info_runtime,OO_Info_lpd
1727382292,1727382370,78,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 SemiParametricLogLikelihood n_samples 244 n_clusters 1 threshold 0.027889940015971663,244,1,0.027889940015971663,0.287917171494658,0,None,i7037,75,0.02332305319969158
1727382275,1727382373,98,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 SemiParametricLogLikelihood n_samples 348 n_clusters 2 threshold 0.060073542356491094,348,2,0.060073542356491094,0.2857142857142857,0,None,i7037,94,0.024424496089877734
1727382292,1727382388,96,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 SemiParametricLogLikelihood n_samples 256 n_clusters 3 threshold 0.06252763560414315,256,3,0.06252763560414315,0.28769688291662077,0,None,i7037,92,0.0234331974887102
1727382292,1727382396,104,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 SemiParametricLogLikelihood n_samples 467 n_clusters 1 threshold 0.06014735694229603,467,1,0.06014735694229603,0.2897345522634651,0,None,i7037,101,0.022414362815288025
1727382412,1727382499,87,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 SemiParametricLogLikelihood n_samples 225 n_clusters 3 threshold 0.06563505103811622,225,3,0.06563505103811622,0.29964753827514046,0,None,i7037,84,0.004364467452362589
1727382392,1727382507,115,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 SemiParametricLogLikelihood n_samples 358 n_clusters 4 threshold 0.06821549763903023,358,4,0.06821549763903023,0.28626500715937875,0,None,i7037,111,0.02414913536733121
1727382392,1727382529,137,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 SemiParametricLogLikelihood n_samples 668 n_clusters 2 threshold 0.03385135114565492,668,2,0.03385135114565492,0.29375481881264454,0,None,i7037,133,0.020404229540698315
1727382396,1727382561,165,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 SemiParametricLogLikelihood n_samples 709 n_clusters 4 threshold 0.0345907275043428,709,4,0.0345907275043428,0.27965634981826193,0,None,i7037,161,0.05490692807577924
1727382590,1727382651,61,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 SemiParametricLogLikelihood n_samples 169 n_clusters 3 threshold 0.003816889986395836,169,3,0.003816889986395836,0.2842824099570437,0,None,i7035,51,0.0018540955318133423
1727382590,1727382653,63,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 SemiParametricLogLikelihood n_samples 219 n_clusters 1 threshold 0.01711221405118704,219,1,0.01711221405118704,0.29480118955832135,0,None,i7035,53,0.003976208833571982
