2024-09-29 18:27:26, 20, 20
2024-09-29 18:36:40, 0, 1
2024-09-29 18:36:42, 0, 1
2024-09-29 18:36:45, 0, 2
2024-09-29 18:36:48, 0, 3
2024-09-29 18:36:50, 0, 4
2024-09-29 18:36:52, 0, 4
2024-09-29 18:36:55, 0, 5
2024-09-29 18:36:57, 0, 5
2024-09-29 18:37:00, 0, 7
2024-09-29 18:37:02, 0, 7
2024-09-29 18:37:05, 0, 9
2024-09-29 18:37:07, 0, 9
2024-09-29 18:37:10, 0, 10
2024-09-29 18:37:12, 0, 11
2024-09-29 18:37:14, 0, 11
2024-09-29 18:37:17, 0, 12
2024-09-29 18:37:19, 0, 12
2024-09-29 18:37:21, 0, 12
2024-09-29 18:37:23, 0, 12
2024-09-29 18:37:26, 0, 13
2024-09-29 18:37:28, 0, 13
2024-09-29 18:37:30, 0, 13
2024-09-29 18:37:32, 0, 14
2024-09-29 18:37:35, 0, 15
2024-09-29 18:37:37, 0, 15
2024-09-29 18:37:39, 0, 15
2024-09-29 18:37:41, 0, 15
2024-09-29 18:37:44, 0, 16
2024-09-29 18:37:46, 0, 19
2024-09-29 18:37:48, 0, 19
2024-09-29 18:37:51, 0, 19
2024-09-29 18:37:53, 0, 19
2024-09-29 18:37:55, 0, 19
2024-09-29 18:37:57, 0, 19
2024-09-29 18:37:59, 0, 19
2024-09-29 18:38:01, 0, 19
2024-09-29 18:38:03, 0, 19
2024-09-29 18:38:05, 0, 19
2024-09-29 18:38:07, 0, 19
2024-09-29 18:38:09, 0, 19
2024-09-29 18:38:11, 0, 19
2024-09-29 18:38:14, 0, 19
2024-09-29 18:38:16, 0, 19
2024-09-29 18:38:18, 0, 19
2024-09-29 18:38:20, 0, 19
2024-09-29 18:38:22, 0, 19
2024-09-29 18:38:24, 0, 19
2024-09-29 18:40:19, 20, 20
2024-09-29 18:50:38, 1, 1
2024-09-29 18:50:52, 1, 1
2024-09-29 18:51:17, 2, 2
2024-09-29 18:51:36, 1, 1
2024-09-29 18:51:49, 1, 1
2024-09-29 18:52:43, 4, 4
2024-09-29 18:54:20, 10, 10
2024-09-29 19:02:01, 2, 2
2024-09-29 19:02:40, 3, 3
2024-09-29 19:03:05, 1, 1
2024-09-29 19:04:44, 1, 1
2024-09-29 19:05:10, 3, 3
2024-09-29 19:05:49, 3, 3
