timestamp,ram_usage_mb,cpu_usage_percent
1727442452,476.59375,49.7
1727442452,476.59375,50.0
1727442452,476.59375,49.7
1727442452,476.59375,57.1
1727442452,476.59375,40.0
1727442452,476.59375,49.9
1727442452,476.59375,40.6
1727442498,485.51953125,49.8
1727442498,485.51953125,39.4
1727442498,485.51953125,50.2
1727442498,485.51953125,37.5
1727442504,486.4453125,49.7
1727442504,486.4453125,53.1
1727442504,486.4453125,48.8
1727442504,486.4453125,48.6
1727442506,486.49609375,49.9
1727442506,486.49609375,55.6
1727442506,486.49609375,51.2
1727442506,486.49609375,40.6
1727442508,486.49609375,49.9
1727442508,486.49609375,54.2
1727442508,486.49609375,48.5
1727442508,486.49609375,47.5
1727442511,486.5234375,49.9
1727442511,486.5234375,38.2
1727442511,486.5234375,52.5
1727442511,486.5234375,36.4
1727442513,486.52734375,49.9
1727442513,486.52734375,40.5
1727442513,486.52734375,52.8
1727442513,486.52734375,37.1
1727442515,486.52734375,49.9
1727442515,486.52734375,50.0
1727442515,486.52734375,48.5
1727442515,486.52734375,37.5
1727442518,486.53125,49.9
1727442518,486.53125,55.3
1727442518,486.53125,46.7
1727442518,486.53125,57.8
1727442520,486.53125,49.9
1727442520,486.53125,56.5
1727442520,486.53125,48.1
1727442520,486.53125,57.8
1727442522,486.53125,49.8
1727442522,486.53125,53.2
1727442522,486.53125,48.1
1727442522,486.53125,56.8
1727442525,486.53125,49.9
1727442525,486.53125,38.2
1727442525,486.53125,52.9
1727442525,486.53125,38.7
1727442527,486.53125,49.9
1727442527,486.53125,54.3
1727442527,486.53125,47.3
1727442527,486.53125,55.6
1727442529,486.53125,49.9
1727442529,486.53125,50.0
1727442529,486.53125,48.3
1727442529,486.53125,56.8
1727442532,486.53125,49.8
1727442532,486.53125,57.4
1727442532,486.53125,45.5
1727442532,486.53125,55.6
1727442534,486.53125,49.9
1727442534,486.53125,54.3
1727442534,486.53125,47.3
1727442534,486.53125,55.6
1727442536,486.53125,49.9
1727442536,486.53125,53.2
1727442536,486.53125,46.4
1727442536,486.53125,56.3
1727442538,486.53125,49.9
1727442538,486.53125,54.3
1727442538,486.53125,46.8
1727442538,486.53125,56.5
1727442541,486.53125,49.9
1727442541,486.53125,38.2
1727442541,486.53125,53.3
1727442541,486.53125,39.4
1727442543,486.53125,49.9
1727442543,486.53125,51.2
1727442543,486.53125,52.8
1727442543,486.53125,39.4
1727442545,486.53125,49.9
1727442545,486.53125,38.2
1727442545,486.53125,52.5
1727442545,486.53125,40.6
1727442547,486.53125,49.9
1727442547,486.53125,51.2
1727442547,486.53125,48.6
1727442547,486.53125,40.6
1727442550,486.53125,49.9
1727442550,486.53125,51.0
1727442550,486.53125,48.1
1727442550,486.53125,56.5
1727442552,486.53125,49.9
1727442552,486.53125,53.2
1727442552,486.53125,46.4
1727442552,486.53125,57.8
1727442554,486.53125,49.9
1727442554,486.53125,52.1
1727442554,486.53125,51.6
1727442554,486.53125,40.6
1727442557,486.53125,49.9
1727442557,486.53125,54.2
1727442557,486.53125,45.9
1727442557,486.53125,56.5
1727442559,486.53125,49.9
1727442559,486.53125,53.2
1727442559,486.53125,50.4
1727442559,486.53125,38.7
1727442561,486.53125,49.9
1727442561,486.53125,55.6
1727442561,486.53125,46.8
1727442561,486.53125,56.8
1727442564,486.625,49.9
1727442564,486.625,54.3
1727442564,486.625,50.4
1727442564,486.625,40.6
1727442566,486.625,49.9
1727442566,486.625,55.3
1727442566,486.625,51.2
1727442566,486.625,37.5
1727442568,486.625,49.9
1727442568,486.625,43.2
1727442568,486.625,51.2
1727442568,486.625,42.9
1727442572,486.66015625,49.9
1727442572,486.66015625,54.3
1727442572,486.66015625,51.6
1727442572,486.66015625,37.5
1727442575,486.66796875,49.9
1727442575,486.66796875,55.3
1727442575,486.66796875,45.6
1727442575,486.66796875,56.8
1727442578,486.7265625,49.9
1727442578,486.7265625,55.1
1727442578,486.7265625,45.5
1727442578,486.7265625,54.3
1727442581,486.7265625,49.9
1727442581,486.7265625,55.3
1727442581,486.7265625,46.9
1727442581,486.7265625,54.5
1727442738,523.0859375,50.2
1727442738,523.0859375,50.0
1727442738,523.0859375,50.8
1727442738,523.0859375,39.4
1727442848,526.52734375,50.2
1727442848,526.52734375,38.2
1727442848,526.52734375,52.1
1727442848,526.52734375,40.6
1727442962,530.90625,50.2
1727442962,530.90625,39.4
1727442962,530.90625,51.3
1727442962,530.90625,55.6
1727443109,529.83203125,50.2
1727443109,529.83203125,40.0
1727443109,529.83203125,50.3
1727443109,529.83203125,55.6
1727443293,543.5859375,50.2
1727443293,543.5859375,45.9
1727443293,543.5859375,49.4
1727443293,543.5859375,58.7
1727443542,543.3359375,50.2
1727443542,543.3359375,37.1
1727443542,543.3359375,50.3
1727443542,543.3359375,57.8
1727443795,543.109375,50.2
1727443795,543.109375,38.2
1727443795,543.109375,50.9
1727443795,543.109375,53.7
1727444060,544.45703125,50.2
1727444060,544.45703125,53.2
1727444060,544.45703125,48.6
1727444060,544.45703125,56.5
1727444339,546.2734375,50.2
1727444339,546.2734375,41.2
1727444339,546.2734375,50.7
1727444339,546.2734375,55.6
1727444625,555.33984375,50.2
1727444625,555.33984375,35.3
1727444625,555.33984375,51.0
1727444625,555.33984375,54.2
1727444905,555.9296875,50.2
1727444905,555.9296875,55.3
1727444905,555.9296875,49.8
1727444905,555.9296875,48.7
1727445248,557.9296875,50.2
1727445248,557.9296875,38.2
1727445248,557.9296875,51.8
1727445248,557.9296875,37.5
1727445630,559.58203125,50.2
1727445630,559.58203125,55.3
1727445630,559.58203125,48.6
1727445630,559.58203125,55.6
1727446042,558.453125,50.2
1727446042,558.453125,54.3
1727446042,558.453125,49.8
1727446042,558.453125,45.9
1727446508,437.05859375,50.2
1727446508,437.05859375,52.1
1727446508,437.05859375,49.1
1727446508,437.05859375,56.5
1727446972,453.19140625,50.2
1727446972,453.19140625,55.6
1727446972,453.19140625,50.8
1727446972,453.19140625,40.6
1727447440,420.7109375,50.2
1727447440,420.7109375,40.0
1727447440,420.7109375,50.0
1727447440,420.7109375,56.8
1727447930,426.375,50.1
1727447930,426.375,39.4
1727447930,426.375,49.6
1727447930,426.375,56.5
1727448411,427.48828125,50.1
1727448411,427.48828125,54.2
1727448411,427.48828125,50.4
1727448411,427.48828125,42.4
1727448941,426.51953125,50.1
1727448941,426.51953125,55.3
1727448941,426.51953125,50.0
1727448941,426.51953125,42.4
1727449487,429.109375,50.1
1727449487,429.109375,53.2
1727449487,429.109375,49.1
1727449487,429.109375,57.8
1727450097,432.19921875,50.2
1727450097,432.19921875,39.4
1727450098,432.19921875,50.5
1727450098,432.19921875,56.5
1727450640,423.74609375,50.1
1727450640,423.74609375,52.0
1727450640,423.74609375,49.0
1727450640,423.74609375,53.2
1727451246,437.44140625,50.1
1727451246,437.44140625,38.9
1727451246,437.44140625,51.9
1727451246,437.44140625,38.7
1727451878,437.8359375,50.1
1727451878,437.8359375,54.3
1727451878,437.8359375,49.5
1727451878,437.8359375,55.6
1727452475,438.39453125,50.1
1727452475,438.39453125,35.3
1727452475,438.39453125,50.3
1727452475,438.39453125,57.8
1727453140,439.2578125,50.1
1727453140,439.2578125,55.3
1727453140,439.2578125,49.0
1727453140,439.2578125,57.8
1727453799,441.2109375,50.2
1727453799,441.2109375,39.4
1727453799,441.2109375,49.7
1727453799,441.2109375,56.5
1727454454,436.921875,50.2
1727454454,436.921875,48.1
1727454454,436.921875,50.9
1727454454,436.921875,40.6
1727455061,446.953125,50.2
1727455061,446.953125,35.1
1727455090,446.9609375,49.8
1727455090,446.9609375,55.6
