trial_index,arm_name,trial_status,generation_method,result,n_samples,n_clusters,threshold
0,0_0,COMPLETED,Sobol,0.401350337584396088530525048554,666,3,0.028584242939949038031510752944
1,1_0,COMPLETED,Sobol,0.375843960990247527576002539718,625,2,0.067526180174201727579585963213
2,2_0,COMPLETED,Sobol,0.267816954238559667977881417755,164,3,0.045199380021542313878857299869
3,3_0,COMPLETED,Sobol,0.292073018254563665507816949685,259,3,0.026936942666769027321382878881
4,4_0,COMPLETED,Sobol,0.394598649662415645877899805782,631,3,0.060791124667972332162868553951
5,5_0,COMPLETED,Sobol,0.329332333083270811791010146408,312,3,0.025539161641150713577541608856
6,6_0,COMPLETED,Sobol,0.393598399599899950729309239250,642,3,0.012773629657924176830641194158
7,7_0,COMPLETED,Sobol,0.397599399849962509279066580348,684,2,0.016543359749019145854553869412
8,8_0,COMPLETED,Sobol,0.406101525381345362930574083293,681,3,0.058793892875313766288591921239
9,9_0,COMPLETED,Sobol,0.228807201800450110695805960859,122,1,0.063470526002347468774722472062
10,10_0,COMPLETED,Sobol,0.403600900225056236081400129478,830,4,0.062141189690679318746724391076
11,11_0,COMPLETED,Sobol,0.372593148287071795898839354777,601,4,0.064661811921745540598926993425
12,12_0,COMPLETED,Sobol,0.292573143285821402059809770435,284,3,0.044170842789113526349886740263
13,13_0,COMPLETED,Sobol,0.388097024256064071501270973386,470,2,0.009218912739306688031160064156
14,14_0,COMPLETED,Sobol,0.422105526381595375084998522652,946,4,0.043293720655143266839992577388
15,15_0,COMPLETED,Sobol,0.222305576394098536319177128462,118,1,0.048615649089217193024037300120
16,16_0,COMPLETED,Sobol,0.358089522380595104422695840185,521,1,0.041026077955961234855486452489
17,17_0,COMPLETED,Sobol,0.314828707176794231337169094331,403,1,0.044509116344153887290246984776
18,18_0,COMPLETED,Sobol,0.230057514378594674120392937766,106,3,0.067531508628278974493142072788
19,19_0,COMPLETED,Sobol,0.398349587396849225129358273989,843,1,0.013562355425208807296888480209
20,20_0,COMPLETED,BoTorch,0.237059264816204096071317053429,100,2,0.070000000000000006661338147751
21,21_0,COMPLETED,BoTorch,0.237809452363090811921608747070,100,1,0.051099697696514990996607963325
22,22_0,COMPLETED,BoTorch,0.237059264816204096071317053429,100,1,0.070000000000000006661338147751
23,23_0,COMPLETED,BoTorch,0.237809452363090811921608747070,100,2,0.056124776679056284645064067718
