trial_index,arm_name,trial_status,generation_method,result,n_samples,const,max_depth,threshold
0,0_0,COMPLETED,Sobol,0.296618570327128572294839159440,769,0.179557363688945759161441628748,4,0.684567558765411421362045985006
1,1_0,COMPLETED,Sobol,0.293038880934023526769749423693,200,0.793849396519362926483154296875,4,0.584290709905326499651323501894
2,2_0,COMPLETED,Sobol,0.298050446084370479482572591223,721,0.281833939626812912671027788747,3,0.548442964069545402239214126894
3,3_0,COMPLETED,Sobol,0.286925872893490474524469391326,119,0.481403946131467863622788172506,4,0.417066838219761870654167523753
4,4_0,COMPLETED,Sobol,0.294746117413812069862899534201,225,0.219617746211588388272062388751,2,0.776847092993557586382280533144
5,5_0,COMPLETED,Sobol,0.290946139442669893249160395499,134,0.765126441605389118194580078125,3,0.701942122541368007659912109375
6,6_0,COMPLETED,Sobol,0.292763520211477001886635207484,200,0.746354395803064063485976475931,4,0.704542430862784563316836283775
7,7_0,COMPLETED,Sobol,0.290009912986011642033190582879,207,0.507500544004142351006692024384,3,0.204876374453306198120117187500
8,8_0,COMPLETED,Sobol,0.300804053309835839336017215828,916,0.316926635522395416799668055319,4,0.705207260511815592352036219381
9,9_0,COMPLETED,Sobol,0.288412820795241775506667636364,135,0.634223212115466616900505414378,2,0.652044752985239117748506032513
10,10_0,COMPLETED,Sobol,0.292653375922458436342310506006,574,0.755943340808153174670280805003,2,0.270165017060935541692856531881
11,11_0,COMPLETED,Sobol,0.296122921026544805300773077761,475,0.533335997816175244601311078441,2,0.448894356191158361291115852509
12,12_0,COMPLETED,Sobol,0.297830157506333348393923188269,512,0.396652586106211013650124641572,4,0.599712880328297615051269531250
13,13_0,COMPLETED,Sobol,0.285769357858794981197547713236,142,0.115800998918712150231868918127,4,0.742901873216033070690400563763
14,14_0,COMPLETED,Sobol,0.294966405991849311973851399671,967,0.668990551866590954510627398122,3,0.707836289703846155418887065025
15,15_0,COMPLETED,Sobol,0.293479458090098010991653154633,220,0.559539464954286969167185361584,4,0.473165405727922983025734993134
16,16_0,COMPLETED,Sobol,0.298986672541028730698542403843,907,0.972348522208630994256850499369,2,0.336468357220292113574089398753
17,17_0,COMPLETED,Sobol,0.295462055292433078967917481350,718,0.660013105254620313644409179688,3,0.672342156805098123406594368134
18,18_0,COMPLETED,Sobol,0.300748981165326556563854865090,632,0.320575515180826164929328569997,4,0.320075014792382761541489344381
19,19_0,COMPLETED,Sobol,0.293314241656570051652863639902,204,0.419829713460058040475075813447,3,0.637583696842193736742387955019
20,20_0,COMPLETED,BoTorch,0.284888203546646123776042713871,100,0.178817477458164175718735577902,4,0.612318582597064509087658734643
21,21_0,COMPLETED,BoTorch,0.285328780702720607997946444812,100,0.166096812229695856011346677406,4,0.800000000000000044408920985006
22,22_0,COMPLETED,BoTorch,0.285328780702720607997946444812,100,0.384949810979415718570351145900,3,0.346852249515900434850834699319
23,23_0,COMPLETED,BoTorch,0.285824430003304374992012526491,122,0.100000000000000005551115123126,4,0.570140123873906334850403254677
24,24_0,COMPLETED,BoTorch,0.285218636413701931431319280819,100,0.625955711458969332738888624590,2,0.318947038178190145352175477456
25,25_0,COMPLETED,BoTorch,0.285328780702720607997946444812,100,0.270486862757708834692493837792,4,0.658530852418251155810935415502
26,26_0,COMPLETED,BoTorch,0.286154862870360182647289093438,100,0.100000000000000005551115123126,3,0.693723366458314338878210492112
27,27_0,COMPLETED,BoTorch,0.290064985130521035827655396133,143,0.100000000000000005551115123126,4,0.800000000000000044408920985006
28,28_0,COMPLETED,BoTorch,0.285328780702720607997946444812,100,0.579674771598672200489943406865,3,0.200000000000000011102230246252
29,29_0,COMPLETED,BoTorch,0.288467892939751058278829987103,100,0.100000000000000005551115123126,4,0.684444219083301330641688764445
30,30_0,COMPLETED,BoTorch,0.285328780702720607997946444812,100,0.285605756310100822314979041039,3,0.543310363468470391978826228296
31,31_0,COMPLETED,BoTorch,0.284888203546646123776042713871,100,0.183098479853907675218849249177,4,0.510293711603962640843690223846
32,32_0,COMPLETED,BoTorch,0.285328780702720607997946444812,100,0.791020412958522545210371390567,3,0.200000000000000011102230246252
33,33_0,COMPLETED,BoTorch,0.287641810772111483629487338476,148,0.100000000000000005551115123126,4,0.630613912475584736938571950304
34,34_0,COMPLETED,BoTorch,0.284998347835664689320367415348,100,0.209669280375856165177239631703,4,0.336619098613069600567371253419
35,35_0,COMPLETED,BoTorch,0.284888203546646123776042713871,100,0.354009725358397697725365560473,4,0.200000000000000011102230246252
36,36_0,COMPLETED,BoTorch,0.285218636413701931431319280819,100,0.860091372833587608504046784219,2,0.411238472239769281557641988911
37,37_0,COMPLETED,BoTorch,0.287476594338583524290697823744,100,0.100000000000000005551115123126,4,0.480384007833607129533959323453
38,38_0,COMPLETED,BoTorch,0.285328780702720607997946444812,100,0.662137609176870700622430376825,3,0.246987728661824501585897451150
39,39_0,COMPLETED,BoTorch,0.284888203546646123776042713871,100,0.233335951135688307589433065914,3,0.304177652883512728010373393772
40,40_0,COMPLETED,BoTorch,0.285328780702720607997946444812,100,0.422841435041076407763682709628,2,0.200000000000000011102230246252
41,41_0,COMPLETED,BoTorch,0.285218636413701931431319280819,100,0.909710362196232136255957811954,2,0.200000000000000011102230246252
42,42_0,COMPLETED,BoTorch,0.286980945037999757296631742065,100,0.100000000000000005551115123126,2,0.200000000000000011102230246252
43,43_0,COMPLETED,BoTorch,0.285218636413701931431319280819,100,0.541617983654499979273566623306,3,0.409797974348826921087152186374
44,44_0,COMPLETED,BoTorch,0.285328780702720607997946444812,100,0.269760893808887347589120508928,2,0.346548974969344891761124927143
45,45_0,COMPLETED,BoTorch,0.285218636413701931431319280819,100,0.639194822828227038336024179443,2,0.200000000000000011102230246252
46,46_0,COMPLETED,BoTorch,0.285218636413701931431319280819,100,0.427933794673768019833914877381,2,0.438816486938387706473463367729
47,47_0,COMPLETED,BoTorch,0.285218636413701931431319280819,100,0.521871732680072253351966082846,2,0.200000000000000011102230246252
48,48_0,COMPLETED,BoTorch,0.285218636413701931431319280819,100,1.000000000000000000000000000000,2,0.324347418889465166635943660367
49,49_0,COMPLETED,BoTorch,0.286925872893490474524469391326,100,0.100000000000000005551115123126,4,0.200000000000000011102230246252
50,50_0,COMPLETED,BoTorch,0.284888203546646123776042713871,100,0.100000000000000005551115123126,3,0.200000000000000011102230246252
51,51_0,COMPLETED,BoTorch,0.285438924991739173542271146289,100,0.427573606081281254454040663404,4,0.200000000000000011102230246252
52,52_0,COMPLETED,BoTorch,0.285438924991739173542271146289,100,0.291015047525964298813505592989,4,0.358822731145480855463603120370
53,53_0,COMPLETED,BoTorch,0.287421522194074241518535473006,100,0.100000000000000005551115123126,3,0.388374443291003790257320815726
54,54_0,COMPLETED,BoTorch,0.285328780702720607997946444812,100,1.000000000000000000000000000000,4,0.200000000000000011102230246252
55,55_0,COMPLETED,BoTorch,0.285438924991739173542271146289,100,0.358173282486457189577322424157,3,0.200000000000000011102230246252
56,56_0,COMPLETED,BoTorch,0.285328780702720607997946444812,100,1.000000000000000000000000000000,3,0.200000000000000011102230246252
