start_time,end_time,run_time,program_string,n_samples,const,max_depth,threshold,result,exit_code,signal,hostname,OO_Info_runtime,OO_Info_lpd
1727455213,1727455250,37,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 BayesianNonparametricDetectionMethod n_samples 260 const 0.47049672976136214 max_depth 2 threshold 0.5385781390592457,260,0.47049672976136214,2,0.5385781390592457,0.3588397099274818,0,None,i7186,33,0.040438681098846144
1727455213,1727455257,44,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 BayesianNonparametricDetectionMethod n_samples 646 const 0.49499776279553775 max_depth 4 threshold 0.7091418191790582,646,0.49499776279553775,4,0.7091418191790582,0.3895973993498375,0,None,i7186,40,0.08410435942318911
1727455213,1727455258,45,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 BayesianNonparametricDetectionMethod n_samples 804 const 0.35519191026687624 max_depth 2 threshold 0.6886049985885621,804,0.35519191026687624,2,0.6886049985885621,0.4246061515378845,0,None,i7186,41,0.10865216304076017
1727455249,1727455289,40,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 BayesianNonparametricDetectionMethod n_samples 116 const 0.3523334641940892 max_depth 2 threshold 0.7376988537609579,116,0.3523334641940892,2,0.7376988537609579,0.27606901725431354,0,None,i7170,20,0.0215200859038289
1727455252,1727455296,44,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 BayesianNonparametricDetectionMethod n_samples 597 const 0.9476610513404011 max_depth 4 threshold 0.22277756594121456,597,0.9476610513404011,4,0.22277756594121456,0.38834708677169294,0,None,i7170,27,0.08452113028257063
1727455252,1727455298,46,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 BayesianNonparametricDetectionMethod n_samples 854 const 0.6692670021206141 max_depth 2 threshold 0.3770375391468406,854,0.6692670021206141,2,0.3770375391468406,0.4163540885221305,0,None,i7170,30,0.11277819454863716
1727455240,1727455298,58,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 BayesianNonparametricDetectionMethod n_samples 250 const 0.9295958732254803 max_depth 2 threshold 0.6493914425373077,250,0.9295958732254803,2,0.6493914425373077,0.36384096024005996,0,None,i7173,30,0.03475868967241811
1727455249,1727455299,50,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 BayesianNonparametricDetectionMethod n_samples 919 const 0.3821979915723205 max_depth 4 threshold 0.3905004603788257,919,0.3821979915723205,4,0.3905004603788257,0.4266066516629158,0,None,i7170,30,0.10765191297824453
1727455249,1727455300,51,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 BayesianNonparametricDetectionMethod n_samples 958 const 0.16100119967013599 max_depth 3 threshold 0.37876148205250504,958,0.16100119967013599,3,0.37876148205250504,0.42485621405351337,0,None,i7170,32,0.10852713178294573
1727455249,1727455300,51,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py OutdoorObjects 1000 BayesianNonparametricDetectionMethod n_samples 948 const 0.614325035829097 max_depth 3 threshold 0.46614018678665164,948,0.614325035829097,3,0.46614018678665164,0.42685671417854465,0,None,i7170,32,0.1075268817204301
