trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,subset_bound,approximation_type
0,,,,,,,,,,,,,,,0_0,FAILED,SOBOL,,,2008,237,4621,0.220294158399105072243528979925,0.595439206004142795869427118305,6.439233098804951538340901606716,str\(\'t-test\'\),2,str\(\'bounded\'\)
1,,,,,,,,,,,,,,,1_0,FAILED,SOBOL,,,3666,4765,25,0.623876146869733916311417942779,0.133677290311083191154395422018,0.246261502091772860323359850554,str\(\'ks-test\'\),35,str\(\'bounded\'\)
2,,,,,,,,,,,,,,,2_0,FAILED,SOBOL,,,4222,1457,3161,0.499853241994976993378685392599,0.477719501491636056034195689790,3.767324244038201985773639535182,str\(\'t-test\'\),49,str\(\'bounded\'\)
3,,,,,,,,,,,,,,,3_0,FAILED,SOBOL,,,104,3545,1494,0.844778994066640698257231179014,0.750402902470901578269035780977,7.617293174177408587866011657752,str\(\'ks-test\'\),19,str\(\'bounded\'\)
4,,,,,,,,,,,,,,,4_0,FAILED,SOBOL,,,900,2314,824,0.941176804145798073797379856842,0.890679498061537788800023918157,5.227911975509488051727657875745,str\(\'t-test\'\),39,str\(\'bounded\'\)
5,,,,,,,,,,,,,,,5_0,FAILED,SOBOL,,,4755,2688,3897,0.338885657288134078957142492072,0.368508457040414239003212060197,1.534177848735824190029575220251,str\(\'ks-test\'\),22,str\(\'bounded\'\)
6,,,,,,,,,,,,,,,6_0,COMPLETED,SOBOL,4.000000000000000000000000000000,0.000000000000000000000000000000,2832,957,2021,0.712903480986133208929800275655,0.024470292728394269637925972916,2.556002766875550058500721206656,str\(\'t-test\'\),11,str\(\'bounded\'\)
7,,,,,,,,,,,,,,,7_0,FAILED,SOBOL,,,1516,4045,2711,0.067671664606779813322390282337,0.735712223174050494733933192038,8.905209688442759841109364060685,str\(\'ks-test\'\),31,str\(\'bounded\'\)
8,,,,,,,,,,,,,,,8_0,FAILED,SOBOL,,,1751,1670,2464,0.252878481453284620350530076394,0.222357423741370435754660661587,8.295490805604494255476311082020,str\(\'t-test\'\),42,str\(\'bounded\'\)
9,,,,,,,,,,,,,,,9_0,FAILED,SOBOL,,,2594,3332,2885,0.901948028586804895212480914779,0.510543621489778165489781258657,4.641404144831001943316550750751,str\(\'ks-test\'\),25,str\(\'bounded\'\)
